time_s,Kqv,Q0,V0
0,2.81,126.64,230.46
15,2.83,125.97,230.51
30,2.72,125.81,230.54
45,2.81,125.69,230.46
60,2.87,126.41,230.56
75,2.82,125.86,230.47
90,2.69,127.04,230.52
105,2.71,126.28,230.53
120,2.64,127.06,230.54
135,2.81,127.7,230.46
150,2.88,128,230.55
165,2.86,127.07,230.52
180,2.81,127.38,230.47
195,2.82,127.42,230.49
210,2.82,127.82,230.56
225,2.83,127.76,230.54
240,2.82,128.1,230.48
255,2.75,128.35,230.5
270,2.67,128.43,230.57
285,2.77,128.19,230.49
300,2.79,128.73,230.49
315,2.73,128.37,230.55
330,2.73,128.39,230.46
345,2.86,128.91,230.56
360,2.73,128.58,230.48
375,2.9,129.24,230.51
390,2.65,129.07,230.55
405,2.93,128.94,230.47
420,2.73,129.31,230.56
435,2.8,129.34,230.54
450,2.83,129.04,230.47
465,2.71,129.1,230.48
480,2.87,129.06,230.49
495,2.77,129.26,230.55
510,2.71,129.59,230.56
525,2.83,129.47,230.55
540,2.75,129.12,230.46
555,2.59,129.9,230.56
570,2.75,129.6,230.48
585,2.82,129.52,230.46
600,2.79,129.28,230.47
615,2.57,129.26,230.5
630,2.81,129.46,230.55
645,2.8,129.74,230.54
660,2.75,129.58,230.54
675,2.55,129.92,230.56
690,2.71,129.81,230.5
705,2.84,129.91,230.47
720,2.84,129.74,230.53
735,2.76,129.87,230.56
750,2.73,129.79,230.48
765,2.69,129.63,230.46
780,2.82,129.15,230.47
795,2.78,129.6,230.51
810,2.69,129.32,230.49
825,2.68,129.64,230.46
840,2.74,129.91,230.48
855,2.79,130.17,230.49
870,2.77,129.83,230.48
885,2.78,129.84,230.54
900,2.75,129.38,230.55
915,2.75,129.49,230.47
930,2.86,129.67,230.49
945,2.85,129.62,230.56
960,2.72,129.33,230.47
975,2.62,129.42,230.52
990,2.81,129.72,230.54
1005,2.79,129.23,230.47
1020,2.79,129.72,230.55
1035,2.67,129.64,230.55
1050,2.7,129.67,230.5
1065,2.76,129.57,230.48
1080,2.88,129.55,230.55
1095,2.67,129.53,230.49
1110,2.68,129.83,230.56
1125,2.52,129.35,230.47
1140,2.69,129.88,230.53
1155,2.87,129.33,230.53
1170,2.78,129.31,230.48
1185,2.7,129.47,230.55
1200,2.77,129.89,230.53
1215,2.84,129.25,230.49
1230,2.77,129.15,230.47
1245,2.71,129.22,230.51
1260,2.75,129.88,230.57
1275,2.89,129.46,230.52
1290,2.75,129.37,230.47
1305,2.63,129.41,230.54
1320,2.74,129.75,230.52
1335,2.81,128.96,230.46
1350,2.65,129.43,230.52
1365,2.81,129.72,230.56
1380,2.78,129.79,230.54
1395,2.77,129.47,230.53
1410,2.7,129.48,230.54
1425,2.78,129.37,230.48
1440,2.84,129.42,230.46
1455,2.8,129.66,230.48
1470,2.66,129.57,230.5
1485,2.74,130.17,230.48
1500,2.73,129.79,230.47
1515,2.82,128.88,230.49
1530,2.72,129.88,230.56
1545,2.78,129.99,230.55
1560,2.85,129.93,230.49
1575,2.82,130.09,230.49
1590,2.8,130.12,230.57
1605,2.61,129.94,230.49
1620,2.69,130.23,230.5
1635,2.7,130.11,230.54
1650,2.64,130.19,230.47
1665,2.77,130.75,230.56
1680,2.83,130.41,230.48
1695,2.84,130.71,230.52
1710,2.69,130.35,230.56
1725,2.78,129.45,230.5
1740,2.68,128.54,230.52
1755,2.74,129.3,230.52
1770,2.81,129.62,230.5
1785,2.79,130.06,230.53
1800,2.79,129.97,230.52
1815,2.69,129.75,230.51
1830,2.82,130.2,230.56
1845,2.8,130.18,230.48
1860,2.83,129.66,230.51
1875,2.77,130,230.55
1890,2.65,129.05,230.5
1905,2.86,129.36,230.48
1920,2.81,129.11,230.57
1935,2.75,129.92,230.55
1950,2.83,129.94,230.51
1965,2.8,129.49,230.49
1980,2.73,128.24,230.5
1995,2.79,129.67,230.5
2010,2.76,129.8,230.54
2025,2.67,129.83,230.55
2040,2.75,130.1,230.53
2055,2.86,130.1,230.55
2070,2.8,130.08,230.57
2085,2.73,130.08,230.57
2100,2.68,130.19,230.53
2115,2.62,130.2,230.47
2130,2.72,130.51,230.49
2145,2.8,130.12,230.5
2160,2.8,130.47,230.57
2175,2.83,130.04,230.57
2190,2.66,129.09,230.57
2205,2.71,130.07,230.51
2220,2.78,129.96,230.47
2235,2.85,130.06,230.55
2250,2.74,130.1,230.55
2265,2.65,129.9,230.47
2280,2.72,130.18,230.52
2295,2.72,129.88,230.57
2310,2.76,129.54,230.48
2325,2.73,129.8,230.51
2340,2.55,130.22,230.55
2355,2.74,130.07,230.55
2370,2.81,130.19,230.47
2385,2.77,130.01,230.56
2400,2.72,130.17,230.57
2415,2.64,129.55,230.52
2430,2.84,129.13,230.48
2445,2.69,128.18,230.53
2460,2.79,129.58,230.57
2475,2.8,129.07,230.51
2490,2.72,129.41,230.5
2505,2.8,128.86,230.53
2520,2.79,129.4,230.52
2535,2.82,129.46,230.5
2550,2.69,129.89,230.54
2565,2.77,129.85,230.55
2580,2.85,129.87,230.48
2595,2.77,129.53,230.57
2610,2.67,129.96,230.47
2625,2.89,130.05,230.56
2640,2.83,129.63,230.48
2655,2.66,129.59,230.55
2670,2.81,129.75,230.48
2685,2.86,129.94,230.56
2700,2.71,130.01,230.52
2715,2.67,130.05,230.49
2730,2.77,130.34,230.56
2745,2.8,130.14,230.49
2760,2.75,129.61,230.57
2775,2.74,128.9,230.49
2790,2.8,129.41,230.54
2805,2.62,129.75,230.52
2820,2.87,129.03,230.49
2835,2.62,129.67,230.57
2850,2.72,129.7,230.47
2865,2.88,129.93,230.57
2880,2.68,129.56,230.48
2895,2.74,130.15,230.56
2910,2.88,129.43,230.47
2925,2.67,129.7,230.56
2940,2.77,129.67,230.47
2955,2.88,130.19,230.53
2970,2.77,130.19,230.57
2985,2.6,130.57,230.58
3000,2.82,129.82,230.58
3015,2.61,128.82,230.57
3030,2.87,129.06,230.57
3045,2.72,130.04,230.58
3060,2.66,130.24,230.57
3075,2.83,130.77,230.57
3090,2.85,130.61,230.56
3105,2.74,130.43,230.5
3120,2.63,129.24,230.5
3135,2.78,130.22,230.56
3150,2.73,129.49,230.58
3165,2.77,129.06,230.51
3180,2.74,128.33,230.48
3195,2.81,128.31,230.55
3210,2.87,128.04,230.56
3225,2.78,129.09,230.48
3240,2.69,128.58,230.56
3255,2.83,127.95,230.52
3270,2.88,128.36,230.58
3285,2.75,128.93,230.53
3300,2.71,127.82,230.48
