time_s,Kpv,P0,V0
15,1.51,2015.41,230.33
30,1.5,2017.68,230.42
45,1.5,2018.08,230.49
60,1.5,2014.38,230.4
75,1.51,2014.28,230.36
90,1.5,2024.66,230.37
105,1.5,2033.71,230.48
120,1.49,2039.6,230.43
135,1.49,2040.2,230.36
150,1.49,2046.68,230.36
165,1.48,2047.41,230.47
180,1.49,2043.66,230.43
195,1.48,2047.03,230.46
210,1.48,2049.05,230.43
225,1.47,2067.38,230.36
240,1.47,2067.19,230.43
255,1.47,2069.61,230.41
270,1.47,2069.03,230.45
285,1.47,2066.61,230.35
300,1.47,2067.01,230.49
315,1.47,2071.36,230.35
330,1.47,2070.64,230.49
345,1.47,2069.7,230.37
360,1.47,2071.83,230.41
375,1.47,2069.56,230.49
390,1.47,2068.4,230.37
405,1.47,2067.44,230.37
420,1.47,2068.97,230.48
435,1.47,2067.68,230.41
450,1.47,2070.09,230.4
465,1.47,2066.63,230.46
480,1.47,2069.22,230.36
495,1.47,2064.9,230.47
510,1.46,2067.6,230.39
525,1.48,2061.59,230.42
540,1.47,2064.46,230.42
555,1.47,2064.35,230.37
570,1.48,2064.06,230.37
585,1.44,2060.84,230.39
600,1.47,2059.81,230.38
615,1.48,2058.91,230.39
630,1.47,2060.83,230.37
645,1.48,2064.41,230.36
660,1.48,2060.66,230.37
675,1.47,2058.5,230.37
690,1.48,2061.46,230.39
705,1.48,2060.22,230.47
720,1.47,2057.39,230.5
735,1.48,2059.25,230.41
750,1.48,2057.09,230.37
765,1.48,2059.31,230.46
780,1.48,2056.29,230.51
795,1.47,2054.53,230.51
810,1.48,2058.03,230.51
825,1.48,2053.54,230.48
840,1.48,2052.68,230.46
855,1.48,2048.76,230.42
870,1.48,2053.47,230.37
885,1.48,2051.36,230.41
900,1.48,2047.84,230.37
915,1.48,2045.88,230.48
930,1.48,2047.07,230.44
945,1.49,2047.96,230.43
960,1.48,2048.99,230.39
975,1.48,2043.44,230.51
990,1.48,2047.8,230.39
1005,1.48,2044.37,230.43
1020,1.48,2048.23,230.5
1035,1.48,2044.97,230.38
1050,1.48,2041.89,230.52
1065,1.48,2044.74,230.39
1080,1.49,2039.76,230.48
1095,1.48,2043.71,230.42
1110,1.49,2043.85,230.42
1125,1.45,2040.64,230.51
1140,1.49,2042.48,230.42
1155,1.49,2040.5,230.41
1170,1.49,2039.56,230.52
1185,1.49,2044.56,230.43
1200,1.49,2043.48,230.38
1215,1.49,2038.47,230.48
1230,1.5,2040.29,230.51
1245,1.5,2038.74,230.39
1260,1.49,2042.45,230.4
1275,1.49,2039.63,230.46
1290,1.49,2038.22,230.51
1305,1.49,2038.76,230.52
1320,1.5,2036.76,230.51
1335,1.49,2037.8,230.46
1350,1.5,2039.12,230.44
1365,1.5,2041.78,230.47
1380,1.49,2036.72,230.42
1395,1.5,2040.67,230.4
1410,1.5,2035.45,230.39
1425,1.49,2032.95,230.4
1440,1.5,2036.3,230.43
1455,1.49,2035.55,230.52
1470,1.5,2037.13,230.49
1485,1.5,2037.89,230.45
1500,1.5,2035.34,230.39
1515,1.5,2034.35,230.52
1530,1.5,2033.79,230.46
1545,1.5,2031.5,230.39
1560,1.5,2031.81,230.49
1575,1.5,2035.29,230.44
1590,1.5,2032.53,230.45
1605,NaN,2060.14,230.5
1620,1.45,2471.15,230.42
1635,1.44,2468.92,230.38
1650,1.45,2467.81,230.42
1665,1.44,2471.96,230.51
1680,1.44,2471.99,230.45
1695,1.45,2469,230.41
1710,1.45,2468.71,230.51
1725,1.42,2467.16,230.39
1740,1.45,2467.35,230.51
1755,1.43,2470.61,230.5
1770,1.45,2466.59,230.48
1785,1.45,2467.04,230.44
1800,1.44,2463.28,230.38
1815,1.43,2471.23,230.43
1830,1.42,2470.84,230.52
1845,1.43,2469.9,230.42
1860,1.43,2469.24,230.38
1875,1.43,2468.86,230.41
1890,1.44,2464.67,230.5
1905,1.68,4373.56,230.63
1920,1.68,4367.35,230.62
1935,1.67,4369.19,230.61
1950,1.67,4361.52,230.62
1965,1.67,4364.38,230.58
1980,1.63,5791.81,230.55
1995,1.55,5830.53,230.58
2010,1.55,5830.73,230.59
2025,NaN,6571.5,230.53
2040,1.6,6564.79,230.52
2055,1.6,6556.96,230.47
2070,1.61,6558.91,230.56
2085,1.6,6555.6,230.53
2100,1.6,6553.71,230.47
2115,1.6,6554.77,230.56
2130,NaN,5826.3,230.55
2145,1.55,5827.19,230.51
2160,1.54,5826,230.5
2175,1.54,5832.48,230.55
2190,1.55,5832.8,230.6
2205,1.55,5827.81,230.54
2220,1.55,5828.46,230.49
2235,1.56,5823.44,230.49
2250,1.43,5816.73,230.5
2265,1.32,3928.13,230.39
2280,1.34,3925.84,230.39
2295,1.35,3922.83,230.45
2310,1.32,3923.34,230.48
2325,1.34,3925.68,230.49
2340,1.34,3919,230.43
2355,1.34,3921.79,230.37
2370,1.33,3920.69,230.46
2385,1.33,3921.33,230.48
2400,1.33,3916.87,230.41
2415,1.34,3924,230.37
2430,1.34,3914.05,230.38
2445,1.33,3915.42,230.48
2460,1.34,3924.11,230.46
2475,1.35,3916.63,230.4
2490,1.33,3911.79,230.35
2505,1.33,3913.17,230.35
2520,1.33,3915.22,230.45
2535,1.33,3910.23,230.45
2550,1.32,3916.07,230.41
2565,1.32,3910.09,230.39
2580,1.33,3912.38,230.44
2595,1.32,3910.07,230.47
2610,1.31,3905.01,230.45
2625,1.31,3911.52,230.41
2640,1.33,3907.54,230.38
2655,1.33,3906.68,230.42
2670,1.34,3902.46,230.47
2685,1.33,3906.71,230.48
2700,1.32,3903.67,230.48
2715,1.33,3900.2,230.47
2730,1.32,3900.72,230.48
2745,1.32,3902.12,230.44
2760,1.32,3900.36,230.36
2775,1.33,3902.51,230.41
2790,1.33,3900.55,230.48
2805,1.32,3897.32,230.46
2820,1.34,3899.78,230.43
2835,1.32,3905.99,230.39
2850,1.33,3903.4,230.38
2865,1.34,3900.44,230.38
2880,1.33,3903.75,230.45
2895,1.32,3899.39,230.48
2910,1.33,3903.06,230.45
2925,1.31,3904.04,230.48
2940,1.32,3901.12,230.49
2955,1.33,3904.91,230.49
2970,1.32,3898.02,230.47
2985,1.32,3902.39,230.44
3000,1.34,3903.94,230.37
3015,1.32,3905.02,230.4
3030,1.34,3901.7,230.48
3045,1.33,3897.7,230.49
3060,1.33,3898.47,230.48
3075,1.34,3900.57,230.41
3090,1.33,3903.46,230.37
3105,1.32,3909.53,230.46
3120,1.32,3899.5,230.49
3135,1.32,3902.29,230.41
3150,1.32,3904.69,230.37
3165,1.32,3900.86,230.43
3180,1.32,3907.05,230.48
3195,1.33,3897.53,230.49
3210,1.33,3905.92,230.5
3225,1.33,3902.72,230.48
3240,1.33,3900.4,230.48
3255,1.33,3898.77,230.5
3270,1.33,3900.77,230.47
3285,1.32,3902.62,230.49
3300,1.32,3904.54,230.4
3315,1.34,3895.99,230.48
3330,1.34,3901.34,230.45
3345,1.33,3901.01,230.38
3360,1.33,3894.97,230.38
3375,1.32,3897.9,230.37
3390,1.33,3898.57,230.38
3405,1.33,3902.15,230.37
3420,1.33,3897.88,230.49
3435,1.33,3899.35,230.46
3450,1.33,3900.24,230.37
3465,1.32,3897.31,230.44
3480,1.32,3904.78,230.46
3495,1.33,3900.2,230.42
3510,1.33,3898.6,230.43
3525,1.34,3898.24,230.49
3540,1.33,3892.4,230.4
3555,1.33,3900.8,230.4
3570,1.34,3899.25,230.44
3585,1.34,3900.08,230.45
3600,1.35,3893.15,230.41
3615,0.93,2404.55,230.47
3630,NaN,1203.83,230.61
3645,NaN,534.94,230.43
3660,0.64,163.44,230.55
3675,0.58,163.9,230.41
3690,0.64,164.35,230.53
3705,0.64,162.67,230.49
3720,0.65,165.06,230.43
3735,0.63,160.54,230.47
3750,0.62,160.48,230.49
3765,0.6,157.12,230.51
3780,0.63,159.37,230.42
3795,0.54,157.45,230.55
3810,0.68,162.31,230.42
3825,0.65,157.53,230.53
3840,0.64,158.42,230.41
3855,0.66,158.88,230.52
3870,0.59,159.64,230.41
3885,0.44,158.88,230.54
3900,0.74,159.08,230.42
3915,0.6,157.72,230.56
3930,0.7,157.65,230.42
3945,0.7,158.85,230.53
3960,0.59,159.07,230.44
3975,0.67,157.97,230.54
3990,0.67,158.91,230.41
4005,0.69,156.18,230.5
4020,0.71,158.23,230.53
4035,0.59,160.62,230.41
4050,0.54,156.38,230.51
4065,0.71,158.8,230.48
4080,0.73,157,230.41
4095,0.64,155.86,230.52
4110,0.63,157.76,230.53
4125,0.77,160.67,230.41
4140,0.56,156.73,230.43
4155,0.75,156.43,230.54
4170,0.49,158.06,230.48
4185,0.65,156.5,230.42
4200,0.71,157.9,230.51
4215,0.55,157.8,230.53
4230,0.66,159.3,230.44
4245,0.78,156.38,230.43
4260,0.61,155.67,230.52
4275,0.73,157.66,230.53
4290,0.79,158.02,230.42
4305,0.64,156.45,230.42
4320,0.68,154.94,230.48
4335,0.65,157.18,230.47
