time_s,Kqv,Q0,V0
0,1.39,315.9,230.33
15,1.39,316.7,230.42
30,1.39,317.03,230.49
45,1.39,316.2,230.4
60,1.39,316.22,230.36
75,1.37,312.66,230.37
90,1.36,313.66,230.48
105,1.35,313.19,230.43
120,1.34,312.03,230.36
135,1.33,312.72,230.36
150,1.34,313.48,230.47
165,1.35,312.72,230.43
180,1.36,313.26,230.46
195,1.35,312.47,230.43
210,1.23,322.6,230.36
225,1.25,322.3,230.43
240,1.21,323.07,230.41
255,1.22,322.83,230.45
270,1.26,321.82,230.35
285,1.2,323.54,230.49
300,1.23,322.74,230.35
315,1.25,324,230.49
330,1.22,322.12,230.37
345,1.23,323.18,230.41
360,1.22,323.71,230.49
375,1.24,323.13,230.37
390,1.23,323.14,230.37
405,1.21,325.3,230.48
420,1.23,323.3,230.41
435,1.22,322.91,230.4
450,1.19,323.46,230.46
465,1.23,324.09,230.36
480,1.21,324.25,230.47
495,1.2,324.79,230.39
510,1.23,323.77,230.42
525,1.19,323.86,230.42
540,1.23,324.23,230.37
555,1.23,324.07,230.37
570,1.2,323.08,230.39
585,1.22,322.53,230.38
600,1.24,323.3,230.39
615,1.2,322.79,230.37
630,1.22,323.64,230.36
645,1.23,322.64,230.37
660,1.21,322.6,230.37
675,1.23,323.86,230.39
690,1.23,324.59,230.47
705,1.21,324.41,230.5
720,1.21,323.72,230.41
735,1.23,323.06,230.37
750,1.24,324.7,230.46
765,1.24,323.86,230.51
780,1.2,323.7,230.51
795,1.21,324.92,230.51
810,1.2,323.43,230.48
825,1.22,324.17,230.46
840,1.24,323.01,230.42
855,1.23,323.8,230.37
870,1.2,322.5,230.41
885,1.24,322.3,230.37
900,1.21,324.7,230.48
915,1.19,323.01,230.44
930,1.21,323.46,230.43
945,1.2,322.41,230.39
960,1.21,322.78,230.51
975,1.24,323.69,230.39
990,1.21,322.15,230.43
1005,1.23,323.84,230.5
1020,1.24,321.52,230.38
1035,1.23,322.41,230.52
1050,1.23,322.57,230.39
1065,1.24,322.08,230.48
1080,1.23,322.69,230.42
1095,1.24,322.62,230.42
1110,1.2,321.87,230.51
1125,1.23,321.51,230.42
1140,1.22,322.3,230.41
1155,1.24,322.14,230.52
1170,1.25,322.55,230.43
1185,1.27,321.98,230.38
1200,1.24,321.18,230.48
1215,1.25,322.85,230.51
1230,1.25,320.25,230.39
1245,1.24,321.75,230.4
1260,1.27,321.82,230.46
1275,1.25,321.01,230.51
1290,1.24,322.8,230.52
1305,1.27,321.77,230.51
1320,1.24,321.55,230.46
1335,1.26,321.1,230.44
1350,1.26,321.93,230.47
1365,1.27,320.18,230.42
1380,1.25,321.54,230.4
1395,1.28,320.13,230.39
1410,1.27,319.68,230.4
1425,1.26,321.9,230.43
1440,1.26,320.75,230.52
1455,1.25,321.35,230.49
1470,1.28,321.74,230.45
1485,1.27,319.83,230.39
1500,1.26,321.77,230.52
1515,1.28,320.51,230.46
1530,1.26,319.27,230.39
1545,1.27,321.37,230.49
1560,1.29,319.79,230.44
1575,1.28,319.57,230.45
1590,1.28,516.84,230.52
1605,1.69,607.74,230.42
1620,1.7,607.08,230.38
1635,1.69,607.42,230.42
1650,1.68,609.56,230.51
1665,1.69,608.17,230.45
1680,1.7,607.06,230.41
1695,1.69,609.41,230.51
1710,1.7,606.58,230.39
1725,1.7,608.71,230.51
1740,1.68,609.24,230.5
1755,1.7,608.59,230.48
1770,1.68,608.49,230.44
1785,1.69,606.64,230.38
1800,1.69,607.15,230.43
1815,1.69,609.29,230.52
1830,1.7,607.31,230.42
1845,1.7,606.28,230.38
1860,1.68,606.9,230.41
1875,1.69,608.33,230.5
1890,1.65,607.35,230.63
1905,1.65,608.67,230.62
1920,1.64,609.44,230.61
1935,1.65,609.61,230.62
1950,1.65,609.28,230.58
1965,1.59,653.32,230.55
1980,1.6,659.32,230.58
1995,1.59,661.35,230.59
2010,1.6,665.62,230.56
2025,1.6,666.55,230.52
2040,1.59,665.35,230.47
2055,1.59,667.4,230.56
2070,1.6,667.38,230.53
2085,1.6,666.59,230.47
2100,1.59,668.57,230.56
2115,1.59,663.47,230.58
2130,1.59,662.59,230.51
2145,1.59,662.25,230.5
2160,1.58,659.77,230.55
2175,1.57,660.44,230.6
2190,1.57,660,230.54
