time_s,Kpv,P0,V0
0,2,1469.73,230.58
15,1.99,1469.37,230.57
30,1.99,1466.09,230.35
45,1.99,1464.87,230.27
60,1.99,1464.95,230.28
75,1.99,1467.92,230.46
90,1.99,1469.44,230.58
105,1.99,1469.96,230.65
120,1.99,1468.92,230.58
135,1.99,1466.42,230.41
150,1.99,1467.14,230.49
165,1.99,1469.35,230.65
180,1.99,1468.47,230.63
195,1.99,1464.11,230.33
210,1.99,1463.78,230.27
225,1.98,1468.09,230.52
240,1.99,1468.13,230.6
255,1.99,1464.48,230.37
270,1.98,1463.16,230.27
285,1.99,1464.62,230.37
300,1.99,1467.96,230.65
315,1.99,1466.06,230.61
330,1.99,1463.4,230.48
345,1.99,1461,230.32
360,1.99,1458.97,230.26
375,1.99,1459.93,230.3
390,1.99,1461.53,230.43
405,1.99,1463.71,230.65
420,1.99,1458.13,230.4
435,1.99,1456.18,230.27
450,1.99,1458.82,230.44
465,1.99,1459.82,230.63
480,1.99,1454.18,230.26
495,1.99,1458.75,230.6
510,1.99,1456.95,230.63
525,1.99,1453.91,230.39
540,1.99,1452.39,230.26
555,1.99,1452.33,230.27
570,1.99,1453,230.31
585,1.99,1456.69,230.56
600,1.99,1456.45,230.57
615,1.99,1456.51,230.6
630,1.99,1455.66,230.54
645,1.99,1456.48,230.63
660,1.99,1456.35,230.67
675,1.99,1455.06,230.62
690,1.99,1452.33,230.46
705,1.99,1451.14,230.39
720,1.99,1449.12,230.29
735,1.99,1449.8,230.28
750,1.99,1449.95,230.27
765,1.99,1453.24,230.47
