time_s,Kqv,Q0,V0
0,0,11.62,230.59
15,0,11.65,230.57
30,0,12.28,230.35
45,0,12.78,230.27
60,0,12.83,230.28
75,0,12.57,230.46
90,0,12.15,230.58
105,0,11.87,230.65
120,0,12.14,230.58
135,0,12.69,230.41
150,0,12.46,230.49
165,0,11.85,230.65
180,0,11.51,230.63
195,0,12.33,230.33
210,0,12.77,230.27
225,0,12.4,230.52
240,0,11.62,230.6
255,0,12.26,230.37
270,0,12.86,230.27
285,0,12.87,230.37
300,0,11.92,230.65
315,0,11.65,230.61
330,0,11.98,230.48
345,0,12.45,230.32
360,0,12.89,230.26
375,0,12.96,230.3
390,0,12.7,230.43
405,0,11.9,230.65
420,0,12.18,230.4
435,0,12.87,230.27
450,0,12.62,230.44
465,0,11.56,230.63
480,0,12.78,230.26
495,0,12.1,230.6
510,0,11.53,230.63
525,0,12.12,230.39
540,0,12.78,230.26
555,0,12.8,230.27
570,0,12.88,230.31
585,0,12.2,230.56
600,0,12.13,230.57
615,0,12.04,230.6
630,0,12.23,230.54
645,0,11.89,230.63
660,0,11.51,230.67
675,0,11.51,230.62
690,0,11.87,230.46
705,0,12.09,230.39
720,0,12.51,230.29
735,0,12.55,230.28
750,0,12.76,230.27
765,0,12.45,230.47
