time_s,Kpv,P0,V0
0,0.33,129.25,230.87
15,0.29,130.81,230.81
30,0.29,135.18,230.69
45,0.29,137.66,230.89
60,0.26,138.72,230.88
75,0.25,141.09,230.76
90,0.22,142.89,230.69
105,0.24,140.64,230.69
120,0.26,139.11,230.66
135,0.24,137.91,230.66
150,0.23,138.24,230.72
165,0.24,137.29,230.74
180,0.24,134.75,230.53
195,0.28,132.22,230.57
210,0.29,129.67,230.62
225,0.32,126.07,230.94
240,0.31,123.76,230.77
255,0.33,122.17,230.69
270,0.32,119.27,230.8
285,0.35,116.89,230.78
300,0.34,114.87,230.75
315,0.36,112.63,230.89
330,0.41,109.94,230.95
345,0.37,108.22,230.91
360,0.38,106.96,230.9
375,0.4,105.13,230.95
390,0.4,103.71,230.95
405,0.4,102.27,230.91
420,0.41,101.28,230.93
435,0.42,101.25,230.96
450,0.44,100.31,230.96
465,0.44,98.97,230.96
480,0.43,97.78,230.89
495,0.44,96.99,230.84
510,0.47,96.47,230.75
525,0.44,96.1,230.76
540,0.46,95.37,230.86
555,0.46,94.69,230.91
570,0.44,93.99,230.92
585,0.46,93.62,230.86
600,0.46,92.9,230.86
615,0.46,92.83,230.92
630,0.5,99.42,230.91
645,0.4,116.5,230.91
660,0.33,128.37,230.77
675,0.31,133.62,230.7
690,0.31,138.12,230.7
705,0.29,141.83,230.7
720,0.26,146.9,230.71
735,0.24,150.1,230.75
750,0.23,150.88,230.62
765,0.23,152.08,230.62
780,0.25,154.45,230.6
795,0.21,155.51,230.63
810,0.22,155.63,230.61
825,0.22,157.29,230.61
840,0.23,158.03,230.68
855,0.2,157.47,230.82
870,0.23,157.46,230.87
885,0.23,157.51,230.77
900,0.2,158.23,230.7
915,0.21,157.66,230.74
930,0.2,158.59,230.76
945,0.2,159.47,230.83
960,0.23,159.14,230.83
975,0.2,158.43,230.82
990,0.22,157.41,230.92
1005,0.21,158.46,230.97
1020,0.23,158.78,230.94
1035,0.2,160.17,230.85
1050,0.22,159.13,230.69
1065,0.2,158.38,230.7
1080,0.24,159.46,230.74
1095,0.21,158.23,230.87
1110,0.23,158.18,230.94
1125,0.2,158.64,230.7
1140,0.24,157.27,230.83
1155,0.24,157.06,230.96
1170,0.22,157.67,230.79
1185,0.23,158.34,230.69
1200,0.23,155.02,230.74
1215,0.22,155.16,230.86
1230,0.23,157.01,230.95
1245,0.24,155.63,230.7
1260,0.24,153.64,230.76
1275,0.24,155.37,230.94
1290,0.21,156.56,230.93
1305,0.24,154.05,230.66
1320,0.23,153.87,230.71
1335,0.23,154.24,230.87
1350,0.24,153,230.79
1365,0.25,149.89,230.86
1380,0.25,151.33,230.9
1395,0.23,152.99,230.83
1410,0.24,152.76,230.75
1425,0.25,150.57,230.76
1440,0.24,151.44,230.75
1455,0.25,150.5,230.71
1470,0.28,148.28,230.77
1485,0.26,146.88,230.72
1500,0.24,149.53,230.77
1515,0.24,152.62,230.64
1530,0.26,151.41,230.71
1545,0.27,146.58,230.8
1560,0.24,148.67,230.83
1575,0.25,151.01,230.68
1590,0.22,151.65,230.66
1605,0.26,147.85,230.82
1620,0.26,147.18,230.98
1635,0.26,150.01,231
1650,0.23,150.9,230.98
1665,0.23,145.61,230.87
1680,0.23,145.77,230.82
1695,0.24,147.57,230.72
1710,0.25,149.05,230.55
1725,0.28,147.5,230.56
1740,0.29,144.84,230.7
1755,0.26,145.8,230.76
1770,0.26,149.25,230.86
1785,0.25,147.99,230.81
1800,0.27,143.92,230.72
1815,0.26,142.42,230.6
1830,0.25,147.21,230.61
1845,0.28,148.04,230.83
1860,0.26,146.37,230.88
1875,0.28,143.17,230.66
1890,0.28,142.48,230.87
1905,0.26,144.7,230.73
1920,0.24,147.93,230.72
1935,0.28,146.63,230.95
1950,0.29,142.33,230.99
1965,0.28,140.78,230.79
1980,0.27,141.45,230.64
1995,0.26,145.27,230.66
2010,0.27,146.87,230.96
2025,0.27,141.69,230.77
2040,0.3,141.05,230.66
2055,0.27,141.38,230.85
2070,0.28,143.19,230.98
2085,0.25,144.85,230.99
2100,0.3,142.99,230.89
2115,0.31,139.78,230.63
2130,0.29,139.73,230.68
2145,0.3,139.57,230.88
2160,0.28,142.14,230.96
2175,0.3,144,230.98
2190,0.27,141.56,230.97
