time_s,Kpv,P0,V0
0,1.53,39.98,230.41
15,1.71,34.96,230.21
30,1.59,33.62,230.46
45,1.72,33.72,230.28
60,1.57,34.39,229.95
75,1.48,34.76,230.24
90,1.6,35.43,230.32
105,1.57,37.05,229.97
120,1.59,36.35,230.17
135,1.57,36.39,230.4
150,1.56,37.99,230.18
165,1.52,37.88,230.01
180,1.65,37.71,230.38
195,1.37,38.38,230.1
210,1.49,37.93,230.05
225,1.49,38.15,230.38
240,1.31,38.78,230
255,1.33,38.47,230.11
270,1.43,38.24,230.38
285,1.49,38.7,230.19
300,1.36,39.17,229.97
315,1.45,38.84,229.97
330,1.47,38.54,230.03
345,1.53,38.34,230.27
360,1.26,38.31,230.38
375,1.22,39.08,230
390,1.63,38.59,230.3
405,1.31,39.11,230.13
420,0.82,64.59,229.96
435,0.79,56.8,230.33
450,0.88,56.81,230.22
465,0.83,59.71,230.01
480,0.92,57.54,230.63
495,0.74,58.95,230.35
510,0.68,59.02,230.42
525,0.81,59.45,230.46
540,0.69,62.03,230.41
555,0.6,59.73,230.59
570,0.78,60.19,230.23
585,0.51,59.9,230.46
600,0.73,59.95,230.5
615,0.8,60.67,230.18
630,0.59,62.82,230.6
645,0.76,60.82,230.43
660,0.48,60.66,230.2
675,0.5,61.84,230.51
690,0.64,60.66,230.63
705,0.6,60.97,230.58
720,0.72,63.82,230.44
735,0.76,61.13,230.48
750,0.54,60.89,230.54
765,0.8,63.12,230.62
780,0.48,60.63,230.64
795,0.54,61.34,230.46
810,0.78,61.13,230.4
825,0.55,60.93,230.22
840,0.65,62.21,230.35
855,0.7,60.38,230.65
870,0.85,62.66,230.48
885,0.5,61.14,230.24
900,0.87,60.81,230.27
915,0.48,61.22,230.31
930,0.7,60.84,230.21
945,0.88,60.97,230.33
960,0.54,60.08,230.54
975,0.82,61.96,230.57
990,0.62,60.05,230.44
1005,0.51,62.55,230.44
1020,0.74,59.92,230.55
1035,0.86,62.73,230.5
1050,0.76,59.83,230.34
1065,1.01,62.37,230.3
1080,0.64,59.81,230.32
1095,0.8,61.01,230.58
1110,0.81,59.08,230.64
1125,0.78,59.45,230.66
1140,0.96,59.85,230.66
1155,0.91,61,230.62
1170,0.72,60.28,230.54
1185,1.07,58.95,230.52
1200,0.34,58.65,230.64
1215,0.49,60.51,230.59
1230,0.63,58.61,230.49
1245,0.72,59.75,230.52
1260,0.45,58.32,230.53
1275,0.43,58.84,230.65
1290,0.66,60.24,230.58
1305,0.75,59.05,230.43
1320,0.57,59.51,230.44
1335,0.64,59.2,230.4
1350,0.65,58.29,230.42
1365,0.46,57.39,230.5
1380,0.55,57.31,230.5
1395,0.74,57.61,230.4
1410,0.64,57.79,230.51
