time_s,Kqv,Q0,V0
0,1.77,273.72,230.31
15,1.78,275.22,230.18
30,1.78,275.7,230.21
45,1.78,276.29,230.28
60,1.77,277.29,230.36
75,1.79,277.34,230.37
90,1.8,276.12,230.37
105,1.79,277.67,230.46
120,1.75,278.7,230.5
135,1.77,279.59,230.36
150,1.77,280.23,230.21
165,1.79,280.32,230.41
180,1.77,282.56,230.34
195,1.78,284.14,230.17
210,1.77,285.79,230.09
225,1.76,287.17,230.11
240,1.76,287.07,230.21
255,1.78,289.04,230.47
270,1.76,289.25,230.53
285,1.79,289.47,230.5
300,1.77,287.9,230.39
315,1.78,287.41,230.46
330,1.78,286.99,230.56
345,1.79,287.32,230.67
360,1.77,287.1,230.68
375,1.76,287.57,230.67
390,1.79,288.68,230.55
405,1.75,288.62,230.56
420,1.76,288.96,230.56
435,1.76,288.85,230.43
450,1.77,289.51,230.27
465,1.75,289.09,230.3
480,1.75,288.42,230.54
495,1.75,287.84,230.68
510,1.76,288.32,230.65
525,1.75,287.85,230.44
540,1.79,288.06,230.41
555,1.77,287.91,230.45
570,1.77,288.3,230.38
585,1.76,287.55,230.48
600,1.76,288.95,230.44
