time_s,Kpv,P0,V0
0,1.98,3610.76,230.75
15,1.98,3620.86,230.76
30,1.98,3338.23,230.49
45,1.98,3328.23,230.72
60,1.98,3534.3,230.9
75,1.98,3567.51,230.66
90,1.98,3325.71,230.7
105,1.98,3333.8,230.91
120,1.98,3529.85,230.73
135,1.98,3573.49,230.76
150,1.98,3337.15,230.91
165,1.98,3330.21,230.69
180,1.98,3539.05,230.8
195,1.98,3577.71,230.93
210,1.98,3329.59,230.64
225,1.98,3330.86,230.65
240,1.98,3543.92,230.93
255,1.98,3575.21,230.89
270,1.98,3333.7,230.79
285,1.98,3330.86,230.69
300,1.98,3537.03,230.64
315,1.98,3570.07,230.75
330,1.98,3336.13,230.87
345,1.98,3328.67,230.61
360,1.98,3548.06,230.93
375,1.98,3570.46,230.84
390,1.98,3328.5,230.61
405,1.98,3336.93,230.88
420,1.98,3543.32,230.73
435,NaN,326.56,230.25
450,NaN,407.81,230.49
465,1.95,296.03,230.16
480,1.75,53.2,230.42
495,1.74,51.88,230.13
510,NaN,299.49,230.36
525,1.95,296.92,230.43
540,1.75,51.89,230.11
555,1.74,53.12,230.4
570,NaN,297.91,230.3
585,1.95,296.37,230.19
600,1.73,52.98,230.42
615,1.77,51.75,230.28
630,NaN,297.7,230.13
645,1.95,296.66,230.25
660,1.75,53.04,230.34
675,1.75,52.95,230.43
690,NaN,283.61,230.43
705,NaN,597.51,230.55
720,1.76,52.97,230.32
