time_s,Kpv,P0,V0
0,0,10.88,230.09
15,0,32.44,230.05
30,0,55.85,230.11
45,0,18.7,230.17
60,0,18.52,230.25
75,0,69.45,230.15
90,0,81.93,230.18
105,0,80.85,230.11
120,0,93.86,230.04
135,0,11.85,229.9
150,0,49.86,229.96
165,0,91.64,229.97
180,0,100.97,230.32
195,0,98.07,230.26
210,0,95.97,229.9
225,0,95.14,230.13
240,0,97.6,230.26
255,0,99.29,230.14
270,0,100.57,230.09
285,0,98.78,230.05
300,0,95.42,230.1
315,1.85,2139.16,230.48
330,1.92,2126.17,230.43
345,1.99,2129.93,230.35
360,1.9,2121,230.1
375,2.06,2129.43,230.27
390,1.93,2119.03,230.42
405,1.96,2118.24,230.07
420,1.92,2113.92,230.08
435,1.93,2118.42,230.12
450,0,54.87,230.14
465,0,18.49,230.14
480,0,8.47,229.89
495,0,8.91,229.78
510,1.81,2089.8,230.22
525,1.81,2137.81,230.44
540,1.86,2141.78,230.42
555,0,99.87,229.99
570,0,98.18,230.06
585,0,101.7,230
600,0,101.24,229.94
615,0,98.36,230.13
630,0,99.31,230.34
645,0,100.41,230.25
660,0,99.22,230.05
675,0,99.14,230.01
690,0,98.51,230.32
705,0,85.36,230.33
720,0,81.78,230.26
735,0,87.76,230.38
750,0,81.03,230.3
765,0,81.66,230.07
780,0,82.44,230.15
795,0,81.23,230.34
810,0,84.56,230.07
825,0,81.73,230.04
840,0,81.84,230.37
855,0,77.97,230.28
870,0,80.05,229.97
885,0,70.22,230.16
900,0,34.4,230.37
915,0,9.56,230.13
930,0,8.96,229.97
945,0,10.35,230.04
960,0,74.91,230.28
975,0,116.5,230.37
990,0,100.33,230.37
1005,0,95.9,230.38
1020,0,95.93,230.37
1035,0,93.25,230.36
1050,0,94.7,230.35
1065,0,95.87,230.4
1080,0,95.17,230.46
1095,0,96.37,230.32
1110,0,96.78,230.36
1125,0,94.88,230.26
1140,0,91.8,230.12
1155,0,82.77,230.25
1170,0,81.29,230.29
1185,0,79.69,230.37
1200,0,78.57,230.21
1215,0,78.61,230.01
1230,0,82.48,229.98
1245,0,78.79,230
1260,0,78.53,229.97
1275,0,77.07,230
1290,0,78.24,229.98
1305,0,83.35,230.09
1320,0,81.13,229.98
1335,0,64.1,230.18
1350,0,26.37,230.32
1365,0,9.45,230.48
1380,0,9.21,230.48
1395,0,25.48,230.34
1410,0,83.26,230.33
1425,0,121.47,230.39
1440,0,95.28,230.23
1455,0,93.95,230.15
1470,0,95.34,230.16
1485,0,97.3,230.28
1500,0,95.74,230.33
1515,0,94.24,230.15
1530,0,90.84,229.98
1545,0,92.61,229.95
1560,0,93.3,229.99
1575,0,93.88,230.09
1590,0,88.91,230.34
1605,0,77.4,230.39
1620,0,80.96,230.14
1635,0,81.02,229.78
1650,0,77.57,229.86
1665,0,78.78,229.92
1680,0,79.2,230.13
1695,0,83.78,230.07
1710,0,81.9,229.93
1725,0,81.65,229.99
1740,0,79.56,230.14
