time_s,npv,P0,nqv,Q0,V0
0,1.07,485.41,3.96,95.52,230.49
15,1.06,485.46,4.44,96.34,230.55
30,1.07,490.73,4.62,95.0,230.49
45,1.02,507.71,4.95,94.07,230.48
60,1.02,506.69,4.69,93.72,230.53
75,0.98,510.9,5.08,93.3,230.55
90,0.98,517.0,5.08,92.82,230.49
105,0.96,521.91,4.89,91.99,230.47
120,0.96,532.02,5.67,90.95,230.52
135,0.93,540.77,5.02,89.3,230.54
150,0.92,553.79,5.44,87.59,230.48
165,0.87,562.46,5.95,86.7,230.53
180,0.85,575.4,5.42,85.31,230.49
195,0.84,583.84,5.47,84.97,230.47
210,0.82,597.3,5.55,83.96,230.49
225,0.78,604.42,5.07,84.34,230.53
240,0.78,618.72,5.39,84.43,230.55
255,0.76,625.9,4.99,84.85,230.55
270,0.74,640.81,4.94,85.19,230.54
285,0.72,648.92,4.34,86.22,230.54
300,0.69,662.36,4.76,87.38,230.54
315,0.68,669.23,5.49,88.88,230.52
330,0.67,683.47,4.15,90.09,230.48
345,0.66,689.71,3.99,91.91,230.46
360,0.62,701.91,4.08,93.27,230.46
375,0.63,708.29,3.95,94.77,230.49
390,0.62,719.92,3.79,96.13,230.53
405,0.6,726.48,3.63,98.06,230.52
420,0.57,737.03,3.62,99.38,230.51
435,0.56,742.9,3.61,101.21,230.54
450,0.54,753.04,3.51,102.53,230.54
465,0.54,758.6,3.49,103.63,230.53
480,0.54,767.45,3.18,105.11,230.51
495,0.54,773.0,3.19,106.3,230.51
510,0.51,781.52,3.23,107.38,230.45
525,0.5,788.18,3.47,108.61,230.48
540,0.47,795.0,3.4,110.08,230.53
555,0.5,800.36,3.2,110.7,230.48
570,0.5,805.77,3.2,111.56,230.44
585,0.48,813.88,3.2,112.95,230.46
600,0.48,817.83,3.2,113.88,230.53
615,0.46,822.06,3.13,114.1,230.46
630,0.47,825.08,3.09,114.95,230.52
645,0.46,830.48,3.05,115.4,230.46
660,0.43,833.23,3.18,116.34,230.48
675,0.43,838.54,3.14,117.07,230.51
690,0.42,839.46,3.09,117.49,230.45
705,0.42,844.88,3.04,117.82,230.47
720,0.42,846.14,3.21,118.37,230.48
735,0.43,851.76,2.99,119.05,230.48
750,0.43,852.23,3.04,119.66,230.46
765,0.4,858.56,2.96,120.0,230.44
780,0.4,858.38,3.13,120.59,230.44
795,0.42,863.83,2.99,120.66,230.44
810,0.38,861.73,3.17,121.42,230.49
825,0.42,868.3,2.91,121.61,230.48
840,0.42,867.69,2.95,122.1,230.46
855,0.39,873.15,2.85,122.49,230.53
870,0.38,872.29,3.09,122.88,230.45
885,0.38,876.81,2.9,122.93,230.48
900,0.38,875.32,3.09,123.39,230.53
915,0.38,881.84,2.86,123.82,230.45
930,0.38,879.85,3.0,124.01,230.5
945,0.38,883.83,2.98,124.18,230.5
960,0.36,884.05,3.0,124.41,230.45
975,0.36,887.75,2.88,124.93,230.53
990,0.35,887.73,2.94,125.17,230.49
1005,0.35,890.82,2.94,125.14,230.44
1020,0.36,892.47,2.8,125.64,230.45
1035,0.35,892.79,2.9,125.67,230.46
1050,0.35,894.07,2.87,125.81,230.44
1065,0.37,895.7,2.92,126.19,230.45
1080,0.37,894.27,2.83,125.84,230.46
1095,0.36,895.67,2.88,126.09,230.44
1110,0.36,896.98,2.91,126.41,230.49
