time_s,Kpv,P0,V0
0,0.33,914.76,230.46
15,0.34,912,230.51
30,0.35,912.02,230.54
45,0.34,911.45,230.46
60,0.33,913.63,230.56
75,0.35,912.69,230.47
90,0.34,918.97,230.52
105,0.34,913.76,230.53
120,0.33,919.32,230.54
135,0.33,921.46,230.46
150,0.33,919.62,230.55
165,0.36,912.88,230.52
180,0.36,918.62,230.47
195,0.35,915.6,230.49
210,0.36,919.37,230.56
225,0.36,916.39,230.54
240,0.33,921.91,230.48
255,0.32,919.19,230.5
270,0.33,922.87,230.57
285,0.33,919.26,230.49
300,0.32,924.88,230.49
315,0.33,918.96,230.55
330,0.32,924.81,230.46
345,0.33,920.08,230.56
360,0.34,925.75,230.48
375,0.31,923.81,230.51
390,0.34,927.38,230.55
405,0.31,923.1,230.47
420,0.33,928.24,230.56
435,0.32,924.54,230.54
450,0.31,927.7,230.47
465,0.33,924.84,230.48
480,0.33,926.48,230.49
495,0.32,926.04,230.55
510,0.31,928.14,230.56
525,0.32,927.01,230.55
540,0.31,928.07,230.46
555,0.32,928.61,230.56
570,0.31,928.52,230.48
585,0.33,928.97,230.46
600,0.33,928.24,230.47
615,0.32,927.27,230.5
630,0.33,927.08,230.55
645,0.33,930.11,230.54
660,0.33,928.47,230.54
675,0.32,929.23,230.56
690,0.31,928.49,230.5
705,0.31,931.36,230.47
720,0.31,928.52,230.53
735,0.31,930.75,230.56
750,0.31,928.38,230.48
765,0.34,929.86,230.46
780,0.33,924.85,230.47
795,0.32,930.15,230.51
810,0.3,926.45,230.49
825,0.32,930.56,230.46
840,0.32,927.04,230.48
855,0.31,932.17,230.49
870,0.32,927.3,230.48
885,0.33,931.38,230.54
900,0.32,925.35,230.55
915,0.33,929.81,230.47
930,0.31,926.62,230.49
945,0.32,930.09,230.56
960,0.33,926.32,230.47
975,0.31,929.01,230.52
990,0.31,926.18,230.54
1005,0.33,929.15,230.47
1020,0.32,928.01,230.55
1035,0.32,930.11,230.55
1050,0.34,927.95,230.5
1065,0.31,929.15,230.48
1080,0.32,927.36,230.55
1095,0.33,930.47,230.49
1110,0.31,929.09,230.56
1125,0.31,928.21,230.47
1140,0.33,928.72,230.53
1155,0.32,927.81,230.53
1170,0.31,927.92,230.48
1185,0.32,927.72,230.55
1200,0.33,929.07,230.53
1215,0.33,927.43,230.49
1230,0.31,928.28,230.47
1245,0.31,926.68,230.51
1260,0.32,928.68,230.57
1275,0.34,927.2,230.52
1290,0.32,929.53,230.47
1305,0.32,926.3,230.54
1320,0.32,929.23,230.52
1335,0.32,925.2,230.46
1350,0.33,928.56,230.52
1365,0.33,926.34,230.56
1380,0.32,930.3,230.54
1395,0.32,926.16,230.53
1410,0.31,928.25,230.54
1425,0.31,924.88,230.48
1440,0.33,929.53,230.46
1455,0.32,926.72,230.48
1470,0.32,929.74,230.5
1485,0.33,927.45,230.48
1500,0.31,930.23,230.47
1515,0.33,922.02,230.49
1530,0.33,929.88,230.56
1545,0.33,926.27,230.55
1560,0.31,930.88,230.49
1575,0.31,928.02,230.49
1590,0.32,930.94,230.57
1605,0.32,928.11,230.49
1620,0.31,932.22,230.5
1635,0.31,927.68,230.54
1650,0.32,931.63,230.47
1665,0.32,930.86,230.56
1680,0.31,932.53,230.48
1695,0.3,931.05,230.52
1710,0.3,930.54,230.56
1725,0.3,926.46,230.5
1740,0.32,923.64,230.52
1755,0.3,925.09,230.52
1770,0.31,928.33,230.5
1785,0.31,929.82,230.53
1800,0.31,929.26,230.52
1815,0.31,928.06,230.51
1830,0.31,928.26,230.56
1845,0.31,929.87,230.48
1860,0.31,927.25,230.51
1875,0.31,929.68,230.55
1890,0.31,924.29,230.5
1905,0.32,927.12,230.48
1920,0.33,923.96,230.57
1935,0.32,929.64,230.55
1950,0.31,927.49,230.51
1965,0.32,928.02,230.49
1980,0.32,918.6,230.5
1995,0.31,928.77,230.5
2010,0.32,926.18,230.54
2025,0.31,929.37,230.55
2040,0.31,926.1,230.53
2055,0.31,929.96,230.55
2070,0.31,926.67,230.57
2085,0.31,930.67,230.57
2100,0.31,926.84,230.53
2115,0.31,931.91,230.47
2130,0.3,928.24,230.49
2145,0.32,931.13,230.5
2160,0.33,928.64,230.57
2175,0.32,930.63,230.57
2190,0.32,921.54,230.57
2205,0.3,930.42,230.51
2220,0.32,927.92,230.47
2235,0.32,930.49,230.55
2250,0.31,928.24,230.55
2265,0.31,930.38,230.47
2280,0.32,927.78,230.52
2295,0.31,927.5,230.57
2310,0.33,927.13,230.48
2325,0.32,929.46,230.51
2340,0.32,928.97,230.55
2355,0.32,928.48,230.55
2370,0.31,929.48,230.47
2385,0.3,928.47,230.56
2400,0.32,929.76,230.57
2415,0.32,926.92,230.52
2430,0.31,924.91,230.48
2445,0.32,919.78,230.53
2460,0.31,926.49,230.57
2475,0.32,924.48,230.51
2490,0.31,926.22,230.5
2505,0.32,921.89,230.53
2520,0.33,925.83,230.52
2535,0.31,924.8,230.5
2550,0.32,928.71,230.54
2565,0.32,925.29,230.55
2580,0.31,928.66,230.48
2595,0.32,924.17,230.57
2610,0.31,929.28,230.47
2625,0.32,925.83,230.56
2640,0.31,928.36,230.48
2655,0.32,923.96,230.55
2670,0.31,928.03,230.48
2685,0.32,925.65,230.56
2700,0.31,930.46,230.52
2715,0.32,926.19,230.49
2730,0.31,929.87,230.56
2745,0.32,927.15,230.49
2760,0.32,927.72,230.57
2775,0.32,920.13,230.49
2790,0.31,926.77,230.54
2805,0.32,925.21,230.52
2820,0.32,924.79,230.49
2835,0.32,924.75,230.57
2850,0.31,927.11,230.47
2865,0.32,926.14,230.57
2880,0.32,927.4,230.48
2895,0.31,926.18,230.56
2910,0.32,926.3,230.47
2925,0.32,925,230.56
2940,0.31,926.32,230.47
2955,0.33,928.23,230.53
2970,0.31,928.5,230.57
2985,0.31,928.84,230.58
3000,0.33,925.02,230.58
3015,0.32,922.16,230.57
3030,0.32,921.76,230.57
3045,0.32,927.71,230.58
3060,0.32,926.78,230.57
3075,0.31,929.61,230.57
3090,0.32,928.92,230.56
3105,0.31,930.64,230.5
3120,0.33,922.99,230.5
3135,0.31,928.89,230.56
3150,0.32,923.71,230.58
3165,0.33,923.76,230.51
3180,0.33,918.67,230.48
3195,0.34,920.34,230.55
3210,0.33,914.7,230.56
3225,0.32,924.02,230.48
3240,0.33,917.56,230.56
3255,0.34,918.74,230.52
3270,0.33,914.65,230.58
3285,0.34,922.58,230.53
3300,0.34,914.39,230.48
3315,0.34,918.74,230.51
3330,0.35,912.77,230.55
3345,0.35,914.07,230.56
3360,0.34,912.67,230.57
3375,0.34,916.5,230.54
3390,0.33,914.5,230.5
3405,0.33,917.94,230.53
3420,0.35,912.11,230.54
3435,0.34,917.05,230.56
3450,0.34,914.06,230.55
3465,0.34,915.99,230.48
3480,0.34,911.7,230.51
3495,0.34,916.22,230.51
3510,0.33,918.1,230.48
3525,0.33,918.61,230.57
3540,0.34,914.02,230.53
3555,0.34,914.52,230.48
3570,0.34,915.12,230.49
3585,0.35,912.66,230.55
3600,0.33,913.27,230.51
3615,0.33,917.35,230.48
3630,0.33,920.47,230.55
3645,0.33,918.36,230.57
3660,0.32,920.97,230.57
3675,0.33,919.26,230.55
3690,0.33,921.68,230.48
3705,0.33,919.22,230.5
3720,0.33,922.22,230.56
3735,0.33,917.23,230.56
3750,0.32,922.74,230.53
3765,0.33,919,230.5
3780,0.32,924.23,230.5
3795,0.33,920.02,230.51
3810,0.32,925.06,230.48
3825,0.32,921.84,230.51
3840,0.31,925.47,230.58
3855,0.34,915.59,230.56
3870,0.34,921.27,230.48
3885,0.34,917.41,230.51
3900,0.33,924.91,230.57
3915,0.33,920.67,230.56
3930,0.33,922.44,230.5
3945,0.33,920.14,230.48
3960,0.32,924.98,230.48
3975,0.33,918.02,230.53
3990,0.34,916.69,230.58
4005,0.33,915.95,230.51
4020,0.33,918.71,230.47
4035,0.33,915,230.47
4050,0.32,921.54,230.48
4065,0.32,921.24,230.48
4080,0.33,917.21,230.47
4095,0.32,918.35,230.48
4110,0.32,921.07,230.52
4125,0.33,921.37,230.56
4140,0.33,921.4,230.57
4155,0.33,917.87,230.58
4170,0.32,918.76,230.54
4185,0.33,920.71,230.5
4200,0.33,917.33,230.5
4215,0.32,919.07,230.52
4230,0.32,916.91,230.56
4245,0.33,918.73,230.54
4260,0.33,919.96,230.49
4275,0.34,919.04,230.48
4290,0.34,912.66,230.48
4305,0.34,914.12,230.48
4320,0.34,910.26,230.48
4335,0.33,912.34,230.55
4350,0.33,909.97,230.57
4365,0.34,912.4,230.51
4380,0.34,909.61,230.5
4395,0.34,913.54,230.54
4410,0.34,906.21,230.54
4425,0.34,910.13,230.57
4440,0.33,905.06,230.57
4455,0.34,914.49,230.52
4470,0.34,908.15,230.5
4485,0.34,912.85,230.49
4500,0.34,904.62,230.51
4515,0.34,908.58,230.55
4530,0.34,904.26,230.55
