time_s,Kqv,Q0,V0
0,3.96,95.52,230.49
15,4.44,96.34,230.55
30,4.62,95,230.49
45,4.95,94.07,230.48
60,4.69,93.72,230.53
75,5.08,93.3,230.55
90,5.08,92.82,230.49
105,4.89,91.99,230.47
120,5.67,90.95,230.52
135,5.02,89.3,230.54
150,5.44,87.59,230.48
165,5.95,86.7,230.53
180,5.42,85.31,230.49
195,5.47,84.97,230.47
210,5.55,83.96,230.49
225,5.07,84.34,230.53
240,5.39,84.43,230.55
255,4.99,84.85,230.55
270,4.94,85.19,230.54
285,4.34,86.22,230.54
300,4.76,87.38,230.54
315,5.49,88.88,230.52
330,4.15,90.09,230.48
345,3.99,91.91,230.46
360,4.08,93.27,230.46
375,3.95,94.77,230.49
390,3.79,96.13,230.53
405,3.63,98.06,230.52
420,3.62,99.38,230.51
435,3.61,101.21,230.54
450,3.51,102.53,230.54
465,3.49,103.63,230.53
480,3.18,105.11,230.51
495,3.19,106.3,230.51
510,3.23,107.38,230.45
525,3.47,108.61,230.48
540,3.4,110.08,230.53
555,3.2,110.7,230.48
570,3.2,111.56,230.44
585,3.2,112.95,230.46
600,3.2,113.88,230.53
615,3.13,114.1,230.46
630,3.09,114.95,230.52
645,3.05,115.4,230.46
660,3.18,116.34,230.48
675,3.14,117.07,230.51
690,3.09,117.49,230.45
705,3.04,117.82,230.47
720,3.21,118.37,230.48
735,2.99,119.05,230.48
750,3.04,119.66,230.46
765,2.96,120,230.44
780,3.13,120.59,230.44
795,2.99,120.66,230.44
810,3.17,121.42,230.49
825,2.91,121.61,230.48
840,2.95,122.1,230.46
855,2.85,122.49,230.53
870,3.09,122.88,230.45
885,2.9,122.93,230.48
900,3.09,123.39,230.53
915,2.86,123.82,230.45
930,3,124.01,230.5
945,2.98,124.18,230.5
960,3,124.41,230.45
975,2.88,124.93,230.53
990,2.94,125.17,230.49
1005,2.94,125.14,230.44
1020,2.8,125.64,230.45
1035,2.9,125.67,230.46
1050,2.87,125.81,230.44
1065,2.92,126.19,230.45
1080,2.83,125.84,230.46
1095,2.88,126.09,230.44
1110,2.91,126.41,230.49
1125,3,126.83,230.54
1140,2.94,126.93,230.53
1155,2.93,127.25,230.54
1170,2.81,127.6,230.54
1185,2.81,127.87,230.54
1200,2.92,127.91,230.52
1215,2.87,127.85,230.48
1230,2.71,128.34,230.53
1245,2.95,128.36,230.54
1260,2.75,128.47,230.53
1275,2.89,128.58,230.53
1290,2.9,128.75,230.53
1305,2.74,128.7,230.5
1320,2.78,128.53,230.45
1335,2.73,128.95,230.44
1350,2.86,128.86,230.45
1365,2.8,129.33,230.51
1380,2.75,129.15,230.53
1395,2.77,129.42,230.53
1410,2.72,129.13,230.54
1425,3.08,125.3,230.5
1440,3.05,110.01,230.49
1455,3,104.24,230.52
1470,3.3,101.27,230.53
1485,3.3,99.91,230.54
1500,3.47,99.1,230.46
1515,3.47,98.72,230.54
1530,3.68,98.24,230.47
1545,3.68,32.58,230.54
1560,0,9.88,230.6
1575,0,9.97,230.56
1590,0,9.87,230.58
1605,0,9.95,230.54
1620,0,9.87,230.58
1635,0,9.95,230.58
1650,0,9.87,230.59
1665,0,9.9,230.59
1680,0,9.9,230.58
1695,0,9.89,230.57
1710,0,9.87,230.53
1725,0,9.87,230.59
1740,0,9.88,230.54
1755,0,9.84,230.59
1770,0,9.88,230.54
1785,0,9.83,230.58
1800,0,9.87,230.58
1815,0,9.82,230.54
1830,0,9.91,230.56
1845,0,9.81,230.57
1860,0,9.88,230.59
1875,0,9.71,230.57
1890,0,9.93,230.57
1905,0,9.74,230.55
1920,0,9.88,230.54
1935,0,9.78,230.54
1950,0,9.94,230.57
1965,0,9.72,230.57
1980,0,9.94,230.55
1995,0,9.71,230.55
2010,0,9.86,230.58
2025,0,9.75,230.59
2040,0,9.86,230.54
2055,0,9.76,230.58
2070,0,9.84,230.55
2085,0,9.77,230.54
