time_s,npv,P0,V0
0,1.07,485.41,230.49
15,1.06,485.46,230.55
30,1.07,490.73,230.49
45,1.02,507.71,230.48
60,1.02,506.69,230.53
75,0.98,510.9,230.55
90,0.98,517,230.49
105,0.96,521.91,230.47
120,0.96,532.02,230.52
135,0.93,540.77,230.54
150,0.92,553.79,230.48
165,0.87,562.46,230.53
180,0.85,575.4,230.49
195,0.84,583.84,230.47
210,0.82,597.3,230.49
225,0.78,604.42,230.53
240,0.78,618.72,230.55
255,0.76,625.9,230.55
270,0.74,640.81,230.54
285,0.72,648.92,230.54
300,0.69,662.36,230.54
315,0.68,669.23,230.52
330,0.67,683.47,230.48
345,0.66,689.71,230.46
360,0.62,701.91,230.46
375,0.63,708.29,230.49
390,0.62,719.92,230.53
405,0.6,726.48,230.52
420,0.57,737.03,230.51
435,0.56,742.9,230.54
450,0.54,753.04,230.54
465,0.54,758.6,230.53
480,0.54,767.45,230.51
495,0.54,773,230.51
510,0.51,781.52,230.45
525,0.5,788.18,230.48
540,0.47,795,230.53
555,0.5,800.36,230.48
570,0.5,805.77,230.44
585,0.48,813.88,230.46
600,0.48,817.83,230.53
615,0.46,822.06,230.46
630,0.47,825.08,230.52
645,0.46,830.48,230.46
660,0.43,833.23,230.48
675,0.43,838.54,230.51
690,0.42,839.46,230.45
705,0.42,844.88,230.47
720,0.42,846.14,230.48
735,0.43,851.76,230.48
750,0.43,852.23,230.46
765,0.4,858.56,230.44
780,0.4,858.38,230.44
795,0.42,863.83,230.44
810,0.38,861.73,230.49
825,0.42,868.3,230.48
840,0.42,867.69,230.46
855,0.39,873.15,230.53
870,0.38,872.29,230.45
885,0.38,876.81,230.48
900,0.38,875.32,230.53
915,0.38,881.84,230.45
930,0.38,879.85,230.5
945,0.38,883.83,230.5
960,0.36,884.05,230.45
975,0.36,887.75,230.53
990,0.35,887.73,230.49
1005,0.35,890.82,230.44
1020,0.36,892.47,230.45
1035,0.35,892.79,230.46
1050,0.35,894.07,230.44
1065,0.37,895.7,230.45
1080,0.37,894.27,230.46
1095,0.36,895.67,230.44
1110,0.36,896.98,230.49
1125,0.35,898.87,230.54
1140,0.34,900.46,230.53
1155,0.32,902.68,230.54
