time_s,npv,P0,nqv,Q0,V0
0,0.16,519.03,1.39,315.9,230.33
15,0.13,522.49,1.39,316.7,230.42
30,0.13,521.96,1.39,317.03,230.49
45,0.13,519.01,1.39,316.2,230.4
60,0.15,519.65,1.39,316.22,230.36
75,0.14,529.62,1.37,312.66,230.37
90,0.14,536.33,1.36,313.66,230.48
105,0.14,541.42,1.35,313.19,230.43
120,0.13,545.48,1.34,312.03,230.36
135,0.13,549.33,1.33,312.72,230.36
150,0.13,549.63,1.34,313.48,230.47
165,0.14,549.02,1.35,312.72,230.43
180,0.13,551.15,1.36,313.26,230.46
195,0.14,550.75,1.35,312.47,230.43
210,0.12,571.5,1.23,322.6,230.36
225,0.14,572.61,1.25,322.3,230.43
240,0.13,571.71,1.21,323.07,230.41
255,0.15,572.13,1.22,322.83,230.45
270,0.14,571.84,1.26,321.82,230.35
285,0.13,571.64,1.2,323.54,230.49
300,0.13,573.96,1.23,322.74,230.35
315,0.14,572.86,1.25,324.0,230.49
330,0.12,571.67,1.22,322.12,230.37
345,0.14,573.23,1.23,323.18,230.41
360,0.13,571.06,1.22,323.71,230.49
375,0.13,571.63,1.24,323.13,230.37
390,0.14,572.28,1.23,323.14,230.37
405,0.13,572.71,1.21,325.3,230.48
420,0.14,569.61,1.23,323.3,230.41
435,0.15,571.49,1.22,322.91,230.4
450,0.12,567.95,1.19,323.46,230.46
465,0.14,571.44,1.23,324.09,230.36
480,0.14,567.25,1.21,324.25,230.47
495,0.11,571.61,1.2,324.79,230.39
510,0.15,566.51,1.23,323.77,230.42
525,0.13,567.89,1.19,323.86,230.42
540,0.13,566.95,1.23,324.23,230.37
555,0.15,566.03,1.23,324.07,230.37
570,0.0,563.88,1.2,323.08,230.39
585,0.12,564.04,1.22,322.53,230.38
600,0.14,563.8,1.24,323.3,230.39
615,0.13,563.73,1.2,322.79,230.37
630,0.14,565.52,1.22,323.64,230.36
645,0.14,562.98,1.23,322.64,230.37
660,0.13,563.21,1.21,322.6,230.37
675,0.16,564.09,1.23,323.86,230.39
690,0.15,562.54,1.23,324.59,230.47
705,0.11,562.42,1.21,324.41,230.5
720,0.16,563.67,1.21,323.72,230.41
735,0.13,561.05,1.23,323.06,230.37
750,0.14,560.94,1.24,324.7,230.46
765,0.13,559.16,1.24,323.86,230.51
780,0.12,559.31,1.2,323.7,230.51
795,0.13,559.41,1.21,324.92,230.51
810,0.15,556.93,1.2,323.43,230.48
825,0.14,557.51,1.22,324.17,230.46
840,0.13,556.09,1.24,323.01,230.42
855,0.14,558.71,1.23,323.8,230.37
870,0.13,557.6,1.2,322.5,230.41
885,0.14,555.97,1.24,322.3,230.37
900,0.13,554.97,1.21,324.7,230.48
915,0.13,555.32,1.19,323.01,230.44
930,0.14,554.13,1.21,323.46,230.43
945,0.13,554.52,1.2,322.41,230.39
960,0.13,551.81,1.21,322.78,230.51
975,0.14,555.95,1.24,323.69,230.39
990,0.12,550.64,1.21,322.15,230.43
1005,0.14,553.53,1.23,323.84,230.5
1020,0.14,551.43,1.24,321.52,230.38
1035,0.12,549.78,1.23,322.41,230.52
1050,0.14,553.32,1.23,322.57,230.39
1065,0.14,548.73,1.24,322.08,230.48
1080,0.13,552.55,1.23,322.69,230.42
1095,0.15,550.43,1.24,322.62,230.42
1110,0.0,548.11,1.2,321.87,230.51
1125,0.14,550.61,1.23,321.51,230.42
1140,0.15,549.14,1.22,322.3,230.41
1155,0.13,547.72,1.24,322.14,230.52
1170,0.15,551.26,1.25,322.55,230.43
1185,0.16,549.95,1.27,321.98,230.38
1200,0.15,545.86,1.24,321.18,230.48
1215,0.18,549.29,1.25,322.85,230.51
1230,0.17,546.68,1.25,320.25,230.39
1245,0.14,548.05,1.24,321.75,230.4
1260,0.15,545.48,1.27,321.82,230.46
1275,0.14,544.77,1.25,321.01,230.51
1290,0.15,546.64,1.24,322.8,230.52
1305,0.17,546.12,1.27,321.77,230.51
1320,0.15,546.79,1.24,321.55,230.46
1335,0.2,546.93,1.26,321.1,230.44
