time_s,npv,P0,nqv,Q0,V0
0,1.51,2015.41,1.39,315.9,230.33
15,1.5,2017.68,1.39,316.7,230.42
30,1.5,2018.08,1.39,317.03,230.49
45,1.5,2014.38,1.39,316.2,230.4
60,1.51,2014.28,1.39,316.22,230.36
75,1.5,2024.66,1.37,312.66,230.37
90,1.5,2033.71,1.36,313.66,230.48
105,1.49,2039.6,1.35,313.19,230.43
120,1.49,2040.2,1.34,312.03,230.36
135,1.49,2046.68,1.33,312.72,230.36
150,1.48,2047.41,1.34,313.48,230.47
165,1.49,2043.66,1.35,312.72,230.43
180,1.48,2047.03,1.36,313.26,230.46
195,1.48,2049.05,1.35,312.47,230.43
210,1.47,2067.38,1.23,322.6,230.36
225,1.47,2067.19,1.25,322.3,230.43
240,1.47,2069.61,1.21,323.07,230.41
255,1.47,2069.03,1.22,322.83,230.45
270,1.47,2066.61,1.26,321.82,230.35
285,1.47,2067.01,1.2,323.54,230.49
300,1.47,2071.36,1.23,322.74,230.35
315,1.47,2070.64,1.25,324,230.49
330,1.47,2069.7,1.22,322.12,230.37
345,1.47,2071.83,1.23,323.18,230.41
360,1.47,2069.56,1.22,323.71,230.49
375,1.47,2068.4,1.24,323.13,230.37
390,1.47,2067.44,1.23,323.14,230.37
405,1.47,2068.97,1.21,325.3,230.48
420,1.47,2067.68,1.23,323.3,230.41
435,1.47,2070.09,1.22,322.91,230.4
450,1.47,2066.63,1.19,323.46,230.46
465,1.47,2069.22,1.23,324.09,230.36
480,1.47,2064.9,1.21,324.25,230.47
495,1.46,2067.6,1.2,324.79,230.39
510,1.48,2061.59,1.23,323.77,230.42
525,1.47,2064.46,1.19,323.86,230.42
540,1.47,2064.35,1.23,324.23,230.37
555,1.48,2064.06,1.23,324.07,230.37
570,1.44,2060.84,1.2,323.08,230.39
585,1.47,2059.81,1.22,322.53,230.38
600,1.48,2058.91,1.24,323.3,230.39
615,1.47,2060.83,1.2,322.79,230.37
630,1.48,2064.41,1.22,323.64,230.36
645,1.48,2060.66,1.23,322.64,230.37
660,1.47,2058.5,1.21,322.6,230.37
675,1.48,2061.46,1.23,323.86,230.39
690,1.48,2060.22,1.23,324.59,230.47
705,1.47,2057.39,1.21,324.41,230.5
720,1.48,2059.25,1.21,323.72,230.41
735,1.48,2057.09,1.23,323.06,230.37
750,1.48,2059.31,1.24,324.7,230.46
765,1.48,2056.29,1.24,323.86,230.51
780,1.47,2054.53,1.2,323.7,230.51
795,1.48,2058.03,1.21,324.92,230.51
810,1.48,2053.54,1.2,323.43,230.48
825,1.48,2052.68,1.22,324.17,230.46
840,1.48,2048.76,1.24,323.01,230.42
855,1.48,2053.47,1.23,323.8,230.37
870,1.48,2051.36,1.2,322.5,230.41
885,1.48,2047.84,1.24,322.3,230.37
900,1.48,2045.88,1.21,324.7,230.48
915,1.48,2047.07,1.19,323.01,230.44
930,1.49,2047.96,1.21,323.46,230.43
945,1.48,2048.99,1.2,322.41,230.39
960,1.48,2043.44,1.21,322.78,230.51
975,1.48,2047.8,1.24,323.69,230.39
990,1.48,2044.37,1.21,322.15,230.43
1005,1.48,2048.23,1.23,323.84,230.5
1020,1.48,2044.97,1.24,321.52,230.38
1035,1.48,2041.89,1.23,322.41,230.52
1050,1.48,2044.74,1.23,322.57,230.39
1065,1.49,2039.76,1.24,322.08,230.48
1080,1.48,2043.71,1.23,322.69,230.42
1095,1.49,2043.85,1.24,322.62,230.42
1110,1.45,2040.64,1.2,321.87,230.51
1125,1.49,2042.48,1.23,321.51,230.42
1140,1.49,2040.5,1.22,322.3,230.41
1155,1.49,2039.56,1.24,322.14,230.52
1170,1.49,2044.56,1.25,322.55,230.43
1185,1.49,2043.48,1.27,321.98,230.38
1200,1.49,2038.47,1.24,321.18,230.48
1215,1.5,2040.29,1.25,322.85,230.51
1230,1.5,2038.74,1.25,320.25,230.39
1245,1.49,2042.45,1.24,321.75,230.4
1260,1.49,2039.63,1.27,321.82,230.46
1275,1.49,2038.22,1.25,321.01,230.51
1290,1.49,2038.76,1.24,322.8,230.52
1305,1.5,2036.76,1.27,321.77,230.51
1320,1.49,2037.8,1.24,321.55,230.46
1335,1.5,2039.12,1.26,321.1,230.44
1350,1.5,2041.78,1.26,321.93,230.47
1365,1.49,2036.72,1.27,320.18,230.42
1380,1.5,2040.67,1.25,321.54,230.4
1395,1.5,2035.45,1.28,320.13,230.39
1410,1.49,2032.95,1.27,319.68,230.4
1425,1.5,2036.3,1.26,321.9,230.43
1440,1.49,2035.55,1.26,320.75,230.52
1455,1.5,2037.13,1.25,321.35,230.49
1470,1.5,2037.89,1.28,321.74,230.45
1485,1.5,2035.34,1.27,319.83,230.39
1500,1.5,2034.35,1.26,321.77,230.52
1515,1.5,2033.79,1.28,320.51,230.46
1530,1.5,2031.5,1.26,319.27,230.39
1545,1.5,2031.81,1.27,321.37,230.49
1560,1.5,2035.29,1.29,319.79,230.44
1575,1.5,2032.53,1.28,319.57,230.45
1590,NaN,2060.14,1.28,516.84,230.52
1605,1.45,2471.15,1.69,607.74,230.42
1620,1.44,2468.92,1.7,607.08,230.38
1635,1.45,2467.81,1.69,607.42,230.42
1650,1.44,2471.96,1.68,609.56,230.51
1665,1.44,2471.99,1.69,608.17,230.45
1680,1.45,2469,1.7,607.06,230.41
1695,1.45,2468.71,1.69,609.41,230.51
1710,1.42,2467.16,1.7,606.58,230.39
1725,1.45,2467.35,1.7,608.71,230.51
1740,1.43,2470.61,1.68,609.24,230.5
1755,1.45,2466.59,1.7,608.59,230.48
1770,1.45,2467.04,1.68,608.49,230.44
1785,1.44,2463.28,1.69,606.64,230.38
1800,1.43,2471.23,1.69,607.15,230.43
1815,1.42,2470.84,1.69,609.29,230.52
1830,1.43,2469.9,1.7,607.31,230.42
1845,1.43,2469.24,1.7,606.28,230.38
1860,1.43,2468.86,1.68,606.9,230.41
1875,1.44,2464.67,1.69,608.33,230.5
1890,1.68,4373.56,1.65,607.35,230.63
1905,1.68,4367.35,1.65,608.67,230.62
1920,1.67,4369.19,1.64,609.44,230.61
1935,1.67,4361.52,1.65,609.61,230.62
1950,1.67,4364.38,1.65,609.28,230.58
1965,1.63,5791.81,1.59,653.32,230.55
1980,1.55,5830.53,1.6,659.32,230.58
1995,1.55,5830.73,1.59,661.35,230.59
2010,NaN,6571.5,1.6,665.62,230.56
2025,1.6,6564.79,1.6,666.55,230.52
2040,1.6,6556.96,1.59,665.35,230.47
2055,1.61,6558.91,1.59,667.4,230.56
2070,1.6,6555.6,1.6,667.38,230.53
2085,1.6,6553.71,1.6,666.59,230.47
2100,1.6,6554.77,1.59,668.57,230.56
2115,NaN,5826.3,1.59,663.47,230.58
2130,1.55,5827.19,1.59,662.59,230.51
