time_s,npv,P0,npv,P0,V0
0,1.51,2015.41,0.16,519.03,230.33
15,1.5,2017.68,0.13,522.49,230.42
30,1.5,2018.08,0.13,521.96,230.49
45,1.5,2014.38,0.13,519.01,230.4
60,1.51,2014.28,0.15,519.65,230.36
75,1.5,2024.66,0.14,529.62,230.37
90,1.5,2033.71,0.14,536.33,230.48
105,1.49,2039.6,0.14,541.42,230.43
120,1.49,2040.2,0.13,545.48,230.36
135,1.49,2046.68,0.13,549.33,230.36
150,1.48,2047.41,0.13,549.63,230.47
165,1.49,2043.66,0.14,549.02,230.43
180,1.48,2047.03,0.13,551.15,230.46
195,1.48,2049.05,0.14,550.75,230.43
210,1.47,2067.38,0.12,571.5,230.36
225,1.47,2067.19,0.14,572.61,230.43
240,1.47,2069.61,0.13,571.71,230.41
255,1.47,2069.03,0.15,572.13,230.45
270,1.47,2066.61,0.14,571.84,230.35
285,1.47,2067.01,0.13,571.64,230.49
300,1.47,2071.36,0.13,573.96,230.35
315,1.47,2070.64,0.14,572.86,230.49
330,1.47,2069.7,0.12,571.67,230.37
345,1.47,2071.83,0.14,573.23,230.41
360,1.47,2069.56,0.13,571.06,230.49
375,1.47,2068.4,0.13,571.63,230.37
390,1.47,2067.44,0.14,572.28,230.37
405,1.47,2068.97,0.13,572.71,230.48
420,1.47,2067.68,0.14,569.61,230.41
435,1.47,2070.09,0.15,571.49,230.4
450,1.47,2066.63,0.12,567.95,230.46
465,1.47,2069.22,0.14,571.44,230.36
480,1.47,2064.9,0.14,567.25,230.47
495,1.46,2067.6,0.11,571.61,230.39
510,1.48,2061.59,0.15,566.51,230.42
525,1.47,2064.46,0.13,567.89,230.42
540,1.47,2064.35,0.13,566.95,230.37
555,1.48,2064.06,0.15,566.03,230.37
570,1.44,2060.84,0.0,563.88,230.39
585,1.47,2059.81,0.12,564.04,230.38
600,1.48,2058.91,0.14,563.8,230.39
615,1.47,2060.83,0.13,563.73,230.37
630,1.48,2064.41,0.14,565.52,230.36
645,1.48,2060.66,0.14,562.98,230.37
660,1.47,2058.5,0.13,563.21,230.37
675,1.48,2061.46,0.16,564.09,230.39
690,1.48,2060.22,0.15,562.54,230.47
705,1.47,2057.39,0.11,562.42,230.5
720,1.48,2059.25,0.16,563.67,230.41
735,1.48,2057.09,0.13,561.05,230.37
750,1.48,2059.31,0.14,560.94,230.46
765,1.48,2056.29,0.13,559.16,230.51
780,1.47,2054.53,0.12,559.31,230.51
795,1.48,2058.03,0.13,559.41,230.51
810,1.48,2053.54,0.15,556.93,230.48
825,1.48,2052.68,0.14,557.51,230.46
840,1.48,2048.76,0.13,556.09,230.42
855,1.48,2053.47,0.14,558.71,230.37
870,1.48,2051.36,0.13,557.6,230.41
885,1.48,2047.84,0.14,555.97,230.37
900,1.48,2045.88,0.13,554.97,230.48
915,1.48,2047.07,0.13,555.32,230.44
930,1.49,2047.96,0.14,554.13,230.43
945,1.48,2048.99,0.13,554.52,230.39
960,1.48,2043.44,0.13,551.81,230.51
975,1.48,2047.8,0.14,555.95,230.39
990,1.48,2044.37,0.12,550.64,230.43
1005,1.48,2048.23,0.14,553.53,230.5
1020,1.48,2044.97,0.14,551.43,230.38
1035,1.48,2041.89,0.12,549.78,230.52
1050,1.48,2044.74,0.14,553.32,230.39
1065,1.49,2039.76,0.14,548.73,230.48
1080,1.48,2043.71,0.13,552.55,230.42
1095,1.49,2043.85,0.15,550.43,230.42
1110,1.45,2040.64,0.0,548.11,230.51
1125,1.49,2042.48,0.14,550.61,230.42
1140,1.49,2040.5,0.15,549.14,230.41
1155,1.49,2039.56,0.13,547.72,230.52
1170,1.49,2044.56,0.15,551.26,230.43
1185,1.49,2043.48,0.16,549.95,230.38
1200,1.49,2038.47,0.15,545.86,230.48
1215,1.5,2040.29,0.18,549.29,230.51
1230,1.5,2038.74,0.17,546.68,230.39
1245,1.49,2042.45,0.14,548.05,230.4
1260,1.49,2039.63,0.15,545.48,230.46
1275,1.49,2038.22,0.14,544.77,230.51
1290,1.49,2038.76,0.15,546.64,230.52
1305,1.5,2036.76,0.17,546.12,230.51
1320,1.49,2037.8,0.15,546.79,230.46
1335,1.5,2039.12,0.2,546.93,230.44
1350,1.5,2041.78,0.18,547.51,230.47
1365,1.49,2036.72,0.16,545.07,230.42
1380,1.5,2040.67,0.17,546.69,230.4
1395,1.5,2035.45,0.16,543.14,230.39
1410,1.49,2032.95,0.15,542.32,230.4
1425,1.5,2036.3,0.19,543.64,230.43
1440,1.49,2035.55,0.14,541.85,230.52
1455,1.5,2037.13,0.16,543.26,230.49
1470,1.5,2037.89,0.18,545.24,230.45
1485,1.5,2035.34,0.16,542.34,230.39
1500,1.5,2034.35,0.17,542.64,230.52
1515,1.5,2033.79,0.18,542.44,230.46
1530,1.5,2031.5,0.15,541.1,230.39
1545,1.5,2031.81,0.17,541.27,230.49
1560,1.5,2035.29,0.16,541.85,230.44
1575,1.5,2032.53,0.14,539.14,230.45
1590,,2060.14,,569.13,230.5
1605,1.45,2471.15,0.65,980.79,230.42
1620,1.44,2468.92,0.61,977.96,230.38
1635,1.45,2467.81,0.64,975.27,230.42
1650,1.44,2471.96,0.61,978.63,230.51
1665,1.44,2471.99,0.62,978.64,230.45
1680,1.45,2469.0,0.63,975.32,230.41
1695,1.45,2468.71,0.63,978.12,230.51
1710,1.42,2467.16,0.57,976.33,230.39
1725,1.45,2467.35,0.64,974.56,230.51
1740,1.43,2470.61,0.59,977.83,230.5
1755,1.45,2466.59,0.63,974.74,230.48
1770,1.45,2467.04,0.62,976.53,230.44
1785,1.44,2463.28,0.62,973.05,230.38
1800,1.43,2471.23,0.58,972.8,230.43
1815,1.42,2470.84,0.55,974.46,230.52
1830,1.43,2469.9,0.59,974.71,230.42
1845,1.43,2469.24,0.58,973.13,230.38
1860,1.43,2468.86,0.58,973.49,230.41
1875,1.44,2464.67,0.6,970.04,230.5
1890,1.68,4373.56,1.52,2878.52,230.63
1905,1.68,4367.35,1.52,2869.97,230.62
1920,1.67,4369.19,1.51,2871.01,230.61
1935,1.67,4361.52,1.51,2866.8,230.62
1950,1.67,4364.38,1.51,2867.03,230.58
1965,1.63,5791.81,1.51,4294.03,230.55
1980,1.55,5830.53,1.4,4335.89,230.58
1995,1.55,5830.73,1.4,4334.85,230.59
2010,,6571.5,,5073.2,230.53
2025,1.6,6564.79,1.49,5068.9,230.52
2040,1.6,6556.96,1.49,5062.38,230.47
2055,1.61,6558.91,1.5,5061.01,230.56
2070,1.6,6555.6,1.49,5058.7,230.53
2085,1.6,6553.71,1.49,5058.94,230.47
2100,1.6,6554.77,1.49,5059.41,230.56
2115,,5826.3,,4328.9,230.55
2130,1.55,5827.19,1.4,4329.41,230.51
2145,1.54,5826.0,1.39,4327.97,230.5
2160,1.54,5832.48,1.39,4333.87,230.55
2175,1.55,5832.8,1.41,4334.3,230.6
2190,1.55,5827.81,1.4,4331.05,230.54
2205,1.55,5828.46,1.4,4333.3,230.49
2220,1.56,5823.44,1.41,4327.18,230.49
2235,1.43,5816.73,1.25,4318.66,230.5
2250,1.32,3928.13,0.92,2429.54,230.39
2265,1.34,3925.84,0.94,2427.16,230.39
2280,1.35,3922.83,0.95,2425.04,230.45
2295,1.32,3923.34,0.92,2425.69,230.48
2310,1.34,3925.68,0.94,2429.69,230.49
2325,1.34,3919.0,0.94,2423.92,230.43
2340,1.34,3921.79,0.94,2425.22,230.37
2355,1.33,3920.69,0.93,2423.3,230.46
2370,1.33,3921.33,0.93,2423.3,230.48
2385,1.33,3916.87,0.93,2419.91,230.41
2400,1.34,3924.0,0.95,2428.23,230.37
2415,1.34,3914.05,0.94,2418.93,230.38
2430,1.33,3915.42,0.93,2418.31,230.48
2445,1.34,3924.11,0.95,2425.23,230.46
2460,1.35,3916.63,0.95,2418.95,230.4
2475,1.33,3911.79,0.93,2416.49,230.35
2490,1.33,3913.17,0.93,2415.81,230.35
2505,1.33,3915.22,0.93,2417.54,230.45
2520,1.33,3910.23,0.93,2415.26,230.45
2535,1.32,3916.07,0.91,2420.49,230.41
2550,1.32,3910.09,0.92,2414.04,230.39
2565,1.33,3912.38,0.93,2414.01,230.44
2580,1.32,3910.07,0.91,2412.94,230.47
2595,1.31,3905.01,0.9,2409.78,230.45
2610,1.31,3911.52,0.9,2412.89,230.41
2625,1.33,3907.54,0.93,2410.92,230.38
2640,1.33,3906.68,0.92,2411.5,230.42
2655,1.34,3902.46,0.94,2409.79,230.47
2670,1.33,3906.71,0.92,2411.94,230.48
2685,1.32,3903.67,0.91,2409.91,230.48
2700,1.33,3900.2,0.92,2408.33,230.47
2715,1.32,3900.72,0.92,2409.81,230.48
2730,1.32,3902.12,0.9,2410.37,230.44
2745,1.32,3900.36,0.91,2406.53,230.36
2760,1.33,3902.51,0.92,2408.05,230.41
2775,1.33,3900.55,0.93,2408.91,230.48
2790,1.32,3897.32,0.91,2405.46,230.46
2805,1.34,3899.78,0.94,2406.05,230.43
2820,1.32,3905.99,0.91,2411.29,230.39
2835,1.33,3903.4,0.93,2409.86,230.38
2850,1.34,3900.44,0.94,2408.33,230.38
2865,1.33,3903.75,0.93,2412.32,230.45
2880,1.32,3899.39,0.91,2408.36,230.48
2895,1.33,3903.06,0.92,2411.9,230.45
2910,1.31,3904.04,0.9,2410.62,230.48
2925,1.32,3901.12,0.91,2408.59,230.49
2940,1.33,3904.91,0.93,2413.04,230.49
2955,1.32,3898.02,0.91,2406.65,230.47
2970,1.32,3902.39,0.91,2410.55,230.44
2985,1.34,3903.94,0.94,2410.64,230.37
3000,1.32,3905.02,0.91,2411.49,230.4
3015,1.34,3901.7,0.93,2409.09,230.48
3030,1.33,3897.7,0.92,2406.7,230.49
3045,1.33,3898.47,0.92,2406.41,230.48
3060,1.34,3900.57,0.93,2406.17,230.41
3075,1.33,3903.46,0.92,2409.32,230.37
3090,1.32,3909.53,0.92,2416.08,230.46
3105,1.32,3899.5,0.92,2407.39,230.49
3120,1.32,3902.29,0.92,2411.65,230.41
3135,1.32,3904.69,0.91,2413.68,230.37
3150,1.32,3900.86,0.91,2408.68,230.43
3165,1.32,3907.05,0.92,2412.78,230.48
3180,1.33,3897.53,0.92,2405.87,230.49
3195,1.33,3905.92,0.93,2411.94,230.5
3210,1.33,3902.72,0.93,2410.4,230.48
3225,1.33,3900.4,0.93,2409.77,230.48
3240,1.33,3898.77,0.92,2406.11,230.5
3255,1.33,3900.77,0.93,2407.06,230.47
3270,1.32,3902.62,0.92,2408.75,230.49
3285,1.32,3904.54,0.92,2411.89,230.4
3300,1.34,3895.99,0.94,2402.98,230.48
3315,1.34,3901.34,0.94,2409.62,230.45
3330,1.33,3901.01,0.92,2409.65,230.38
3345,1.33,3894.97,0.93,2404.57,230.38
3360,1.32,3897.9,0.9,2407.36,230.37
3375,1.33,3898.57,0.92,2405.13,230.38
3390,1.33,3902.15,0.92,2408.76,230.37
3405,1.33,3897.88,0.93,2406.86,230.49
3420,1.33,3899.35,0.92,2408.99,230.46
3435,1.33,3900.24,0.92,2409.29,230.37
3450,1.32,3897.31,0.92,2404.77,230.44
3465,1.32,3904.78,0.9,2411.44,230.46
3480,1.33,3900.2,0.93,2406.85,230.42
3495,1.33,3898.6,0.92,2404.91,230.43
3510,1.34,3898.24,0.94,2407.64,230.49
3525,1.33,3892.4,0.93,2401.57,230.4
3540,1.33,3900.8,0.93,2408.01,230.4
3555,1.34,3899.25,0.94,2406.47,230.44
3570,1.34,3900.08,0.95,2408.23,230.45
3585,1.35,3893.15,0.95,2402.63,230.41
3600,0.93,2404.55,0.93,2404.55,230.47
3615,,1203.83,,1203.83,230.61
3630,,534.94,,534.94,230.43
3645,0.64,163.44,0.64,163.44,230.55
3660,0.58,163.9,0.58,163.9,230.41
3675,0.64,164.35,0.64,164.35,230.53
3690,0.64,162.67,0.64,162.67,230.49
3705,0.65,165.06,0.65,165.06,230.43
3720,0.63,160.54,0.63,160.54,230.47
3735,0.62,160.48,0.62,160.48,230.49
3750,0.6,157.12,0.6,157.12,230.51
3765,0.63,159.37,0.63,159.37,230.42
3780,0.54,157.45,0.54,157.45,230.55
3795,0.68,162.31,0.68,162.31,230.42
3810,0.65,157.53,0.65,157.53,230.53
3825,0.64,158.42,0.64,158.42,230.41
3840,0.66,158.88,0.66,158.88,230.52
3855,0.59,159.64,0.59,159.64,230.41
3870,0.44,158.88,0.44,158.88,230.54
3885,0.74,159.08,0.74,159.08,230.42
3900,0.6,157.72,0.6,157.72,230.56
3915,0.7,157.65,0.7,157.65,230.42
3930,0.7,158.85,0.7,158.85,230.53
3945,0.59,159.07,0.59,159.07,230.44
3960,0.67,157.97,0.67,157.97,230.54
3975,0.67,158.91,0.67,158.91,230.41
3990,0.69,156.18,0.69,156.18,230.5
