time_s,Kpv,P0,V0
0,0.16,519.03,230.33
15,0.13,522.49,230.42
30,0.13,521.96,230.49
45,0.13,519.01,230.4
60,0.15,519.65,230.36
75,0.14,529.62,230.37
90,0.14,536.33,230.48
105,0.14,541.42,230.43
120,0.13,545.48,230.36
135,0.13,549.33,230.36
150,0.13,549.63,230.47
165,0.14,549.02,230.43
180,0.13,551.15,230.46
195,0.14,550.75,230.43
210,0.12,571.5,230.36
225,0.14,572.61,230.43
240,0.13,571.71,230.41
255,0.15,572.13,230.45
270,0.14,571.84,230.35
285,0.13,571.64,230.49
300,0.13,573.96,230.35
315,0.14,572.86,230.49
330,0.12,571.67,230.37
345,0.14,573.23,230.41
360,0.13,571.06,230.49
375,0.13,571.63,230.37
390,0.14,572.28,230.37
405,0.13,572.71,230.48
420,0.14,569.61,230.41
435,0.15,571.49,230.4
450,0.12,567.95,230.46
465,0.14,571.44,230.36
480,0.14,567.25,230.47
495,0.11,571.61,230.39
510,0.15,566.51,230.42
525,0.13,567.89,230.42
540,0.13,566.95,230.37
555,0.15,566.03,230.37
570,0,563.88,230.39
585,0.12,564.04,230.38
600,0.14,563.8,230.39
615,0.13,563.73,230.37
630,0.14,565.52,230.36
645,0.14,562.98,230.37
660,0.13,563.21,230.37
675,0.16,564.09,230.39
690,0.15,562.54,230.47
705,0.11,562.42,230.5
720,0.16,563.67,230.41
735,0.13,561.05,230.37
750,0.14,560.94,230.46
765,0.13,559.16,230.51
780,0.12,559.31,230.51
795,0.13,559.41,230.51
810,0.15,556.93,230.48
825,0.14,557.51,230.46
840,0.13,556.09,230.42
855,0.14,558.71,230.37
870,0.13,557.6,230.41
885,0.14,555.97,230.37
900,0.13,554.97,230.48
915,0.13,555.32,230.44
930,0.14,554.13,230.43
945,0.13,554.52,230.39
960,0.13,551.81,230.51
975,0.14,555.95,230.39
990,0.12,550.64,230.43
1005,0.14,553.53,230.5
1020,0.14,551.43,230.38
1035,0.12,549.78,230.52
1050,0.14,553.32,230.39
1065,0.14,548.73,230.48
1080,0.13,552.55,230.42
1095,0.15,550.43,230.42
1110,0,548.11,230.51
1125,0.14,550.61,230.42
1140,0.15,549.14,230.41
1155,0.13,547.72,230.52
1170,0.15,551.26,230.43
1185,0.16,549.95,230.38
1200,0.15,545.86,230.48
1215,0.18,549.29,230.51
1230,0.17,546.68,230.39
1245,0.14,548.05,230.4
1260,0.15,545.48,230.46
1275,0.14,544.77,230.51
1290,0.15,546.64,230.52
1305,0.17,546.12,230.51
1320,0.15,546.79,230.46
1335,0.2,546.93,230.44
1350,0.18,547.51,230.47
1365,0.16,545.07,230.42
1380,0.17,546.69,230.4
1395,0.16,543.14,230.39
1410,0.15,542.32,230.4
1425,0.19,543.64,230.43
1440,0.14,541.85,230.52
1455,0.16,543.26,230.49
1470,0.18,545.24,230.45
1485,0.16,542.34,230.39
1500,0.17,542.64,230.52
1515,0.18,542.44,230.46
1530,0.15,541.1,230.39
1545,0.17,541.27,230.49
1560,0.16,541.85,230.44
1575,0.14,539.14,230.45
1590,NaN,569.13,230.5
1605,0.65,980.79,230.42
1620,0.61,977.96,230.38
1635,0.64,975.27,230.42
1650,0.61,978.63,230.51
1665,0.62,978.64,230.45
1680,0.63,975.32,230.41
1695,0.63,978.12,230.51
1710,0.57,976.33,230.39
1725,0.64,974.56,230.51
1740,0.59,977.83,230.5
1755,0.63,974.74,230.48
1770,0.62,976.53,230.44
1785,0.62,973.05,230.38
1800,0.58,972.8,230.43
1815,0.55,974.46,230.52
1830,0.59,974.71,230.42
1845,0.58,973.13,230.38
1860,0.58,973.49,230.41
1875,0.6,970.04,230.5
1890,1.52,2878.52,230.63
1905,1.52,2869.97,230.62
1920,1.51,2871.01,230.61
1935,1.51,2866.8,230.62
1950,1.51,2867.03,230.58
1965,1.51,4294.03,230.55
1980,1.4,4335.89,230.58
1995,1.4,4334.85,230.59
2010,NaN,5073.2,230.53
2025,1.49,5068.9,230.52
2040,1.49,5062.38,230.47
2055,1.5,5061.01,230.56
2070,1.49,5058.7,230.53
2085,1.49,5058.94,230.47
2100,1.49,5059.41,230.56
2115,NaN,4328.9,230.55
2130,1.4,4329.41,230.51
2145,1.39,4327.97,230.5
2160,1.39,4333.87,230.55
2175,1.41,4334.3,230.6
2190,1.4,4331.05,230.54
2205,1.4,4333.3,230.49
2220,1.41,4327.18,230.49
2235,1.25,4318.66,230.5
2250,0.92,2429.54,230.39
2265,0.94,2427.16,230.39
2280,0.95,2425.04,230.45
2295,0.92,2425.69,230.48
2310,0.94,2429.69,230.49
2325,0.94,2423.92,230.43
2340,0.94,2425.22,230.37
2355,0.93,2423.3,230.46
2370,0.93,2423.3,230.48
2385,0.93,2419.91,230.41
2400,0.95,2428.23,230.37
2415,0.94,2418.93,230.38
2430,0.93,2418.31,230.48
2445,0.95,2425.23,230.46
2460,0.95,2418.95,230.4
2475,0.93,2416.49,230.35
2490,0.93,2415.81,230.35
2505,0.93,2417.54,230.45
2520,0.93,2415.26,230.45
2535,0.91,2420.49,230.41
2550,0.92,2414.04,230.39
2565,0.93,2414.01,230.44
2580,0.91,2412.94,230.47
2595,0.9,2409.78,230.45
2610,0.9,2412.89,230.41
2625,0.93,2410.92,230.38
2640,0.92,2411.5,230.42
2655,0.94,2409.79,230.47
2670,0.92,2411.94,230.48
2685,0.91,2409.91,230.48
2700,0.92,2408.33,230.47
2715,0.92,2409.81,230.48
2730,0.9,2410.37,230.44
2745,0.91,2406.53,230.36
2760,0.92,2408.05,230.41
2775,0.93,2408.91,230.48
2790,0.91,2405.46,230.46
2805,0.94,2406.05,230.43
2820,0.91,2411.29,230.39
2835,0.93,2409.86,230.38
2850,0.94,2408.33,230.38
2865,0.93,2412.32,230.45
2880,0.91,2408.36,230.48
2895,0.92,2411.9,230.45
2910,0.9,2410.62,230.48
2925,0.91,2408.59,230.49
2940,0.93,2413.04,230.49
2955,0.91,2406.65,230.47
2970,0.91,2410.55,230.44
2985,0.94,2410.64,230.37
3000,0.91,2411.49,230.4
3015,0.93,2409.09,230.48
3030,0.92,2406.7,230.49
3045,0.92,2406.41,230.48
3060,0.93,2406.17,230.41
3075,0.92,2409.32,230.37
3090,0.92,2416.08,230.46
3105,0.92,2407.39,230.49
3120,0.92,2411.65,230.41
3135,0.91,2413.68,230.37
3150,0.91,2408.68,230.43
3165,0.92,2412.78,230.48
3180,0.92,2405.87,230.49
3195,0.93,2411.94,230.5
3210,0.93,2410.4,230.48
3225,0.93,2409.77,230.48
3240,0.92,2406.11,230.5
