time_s,npv,P0,nqv,Q0,V0
0,,190.08,0.0,25.65,230.86
15,,188.61,0.0,25.15,230.96
30,,171.5,,52.46,230.94
45,,175.63,,52.06,230.94
60,1.96,2777.35,1.02,65.56,231.31
75,1.96,2740.4,0.96,66.21,231.24
90,1.9,2737.28,1.3,66.29,231.3
105,1.94,2737.05,0.99,66.09,231.36
120,1.94,2732.95,1.11,66.76,231.36
135,1.98,2727.42,0.86,67.33,231.23
150,1.96,2731.44,0.86,66.88,231.35
165,1.94,2723.52,1.15,67.16,231.11
180,1.97,2718.69,0.97,67.71,230.99
195,1.92,2725.29,1.14,67.17,231.3
210,1.96,2720.92,0.99,67.01,231.31
225,1.93,2718.56,1.01,67.44,231.18
240,1.95,2715.11,1.02,70.39,230.9
255,1.95,2710.83,1.05,71.25,230.86
270,1.96,2711.93,0.98,70.96,230.86
285,1.96,2078.98,,66.54,230.75
300,1.92,2093.4,1.06,64.84,230.61
315,1.89,2096.11,1.21,64.27,230.73
330,1.94,2105.04,1.21,48.05,230.82
345,1.98,2111.6,1.21,37.0,230.93
360,1.91,2106.95,0.0,37.56,230.64
375,1.9,2095.67,1.14,64.32,230.73
390,1.99,2095.91,0.89,64.64,230.93
405,1.89,2095.82,1.07,64.66,230.88
420,1.88,2095.87,1.17,64.63,230.8
435,1.94,2093.34,1.0,66.69,230.75
450,1.96,2095.13,0.84,66.3,230.85
465,1.9,2098.58,1.07,66.12,231.1
480,1.92,2095.77,1.09,66.5,231.1
495,1.92,2091.53,1.03,65.23,230.68
510,1.93,2090.45,1.0,65.25,230.57
525,1.97,2091.86,0.92,64.42,230.74
540,1.95,2095.04,0.89,65.91,231.07
555,1.93,2096.34,0.97,63.93,231.26
570,1.94,2094.83,1.02,64.13,231.27
585,1.92,2014.39,,47.94,231.17
600,1.93,2069.01,0.91,65.79,231.0
615,1.96,2061.13,,65.46,230.89
630,1.94,2744.74,1.15,67.25,231.17
645,1.95,2095.61,0.91,64.09,231.26
660,1.93,2093.68,0.99,64.41,231.09
675,1.97,2103.42,0.99,37.27,230.9
690,1.92,2106.5,0.99,36.81,231.05
705,1.96,2095.7,,63.97,231.13
720,1.91,2090.63,0.91,64.28,230.94
735,1.93,2088.76,0.89,64.75,230.9
750,1.94,2089.34,0.9,64.81,231.01
765,1.95,2087.95,0.91,65.03,230.96
780,1.89,2089.28,0.95,64.42,230.97
795,1.9,2091.89,0.99,64.11,231.26
810,1.91,2089.06,0.95,64.7,231.11
825,1.95,2086.91,0.88,65.04,230.9
840,1.95,2090.43,0.78,64.25,231.12
855,2.01,2093.93,0.64,64.2,231.27
870,1.94,2087.71,0.91,65.13,230.98
885,1.92,2087.01,0.85,64.65,230.92
900,1.92,2092.85,0.93,64.02,231.22
915,1.85,2091.32,0.93,64.38,231.2
930,1.97,2064.42,0.79,65.77,231.09
945,1.94,2063.63,0.79,66.0,230.91
960,1.97,2087.95,0.8,64.38,230.92
975,1.93,2088.14,0.94,64.37,230.93
990,1.94,2087.51,0.9,64.65,230.94
1005,1.93,2101.2,,36.18,230.96
1020,1.92,2102.03,0.0,36.36,231.02
1035,,325.95,,43.97,230.86
1050,,177.22,0.48,53.64,230.79
1065,,177.18,0.43,53.83,230.64
1080,,174.48,0.49,54.33,230.63
1095,,174.68,0.62,54.0,230.62
1110,,173.8,0.49,54.39,230.66
1125,,176.09,0.46,53.75,230.8
1140,,818.71,,54.1,230.68
1155,1.99,2092.4,0.66,64.63,230.91
1170,1.9,2092.76,0.88,64.26,230.98
1185,1.96,2089.78,0.74,64.13,231.14
1200,1.89,2093.86,0.98,64.05,231.27
1215,1.92,2090.53,0.86,63.82,231.26
1230,1.98,2095.04,0.63,63.8,231.27
1245,1.9,2091.26,0.89,63.82,231.27
1260,1.93,2062.77,,65.08,231.25
1275,1.91,2069.58,0.92,65.09,231.26
1290,1.97,2074.31,,64.43,231.14
1305,1.91,2088.35,0.84,64.55,231.2
1320,1.92,2088.21,0.72,64.12,231.19
1335,1.95,2085.88,0.0,64.44,231.05
1350,,189.65,0.0,26.36,230.67
1365,1.27,191.59,0.0,26.12,230.7
1380,1.27,172.91,0.48,53.38,230.86
1395,1.27,175.61,0.33,53.09,230.89
1410,1.27,174.28,0.49,53.42,230.84
1425,1.27,173.61,0.42,53.22,230.94
1440,1.27,175.01,0.32,53.16,230.96
1455,,2206.04,,64.02,231.22
1470,1.95,2092.56,0.79,64.15,231.08
1485,1.92,2092.19,0.84,63.89,231.06
1500,1.95,2095.6,0.76,63.49,231.23
1515,1.95,2092.36,0.76,63.65,231.26
1530,1.91,2091.93,0.84,63.93,231.22
1545,1.93,2090.0,0.75,64.14,231.12
1560,1.97,2087.88,0.74,64.35,231.02
1575,1.94,2084.92,0.83,64.39,230.9
1590,1.94,2103.31,,55.97,230.95
1605,1.97,2062.98,0.79,67.17,230.91
1620,1.92,2038.14,,44.34,231.07
1635,1.93,2088.39,0.86,66.17,231.11
1650,1.92,2087.63,0.82,66.21,231.11
1665,,170.35,0.41,53.46,230.95
1680,,189.69,0.0,25.88,230.91
1695,,188.71,0.0,26.68,230.67
1710,,184.06,0.0,37.99,230.6
1725,,174.81,0.53,54.28,230.49
1740,,176.06,0.41,53.8,230.55
1755,,177.45,0.4,53.36,230.72
1770,,176.85,0.4,53.43,230.81
1785,1.94,2096.62,0.83,66.6,230.98
1800,1.94,2090.38,0.83,66.99,230.83
1815,1.9,2087.83,0.92,66.51,230.77
1830,1.96,2088.93,0.78,66.16,230.86
1845,1.96,2087.91,0.76,65.63,231.05
1860,1.94,2086.41,0.78,66.26,231.05
1875,1.92,2083.89,0.94,66.64,230.78
1890,1.95,2084.88,0.84,66.31,230.81
1905,1.94,2082.25,0.8,66.26,230.79
1920,,171.46,0.26,53.97,230.51
1935,1.96,2070.06,0.81,64.96,230.94
1950,2.01,2063.41,0.81,65.32,230.89
1965,1.29,174.41,0.4,53.92,230.66
1980,1.57,172.08,0.36,53.4,230.84
1995,1.97,2106.03,0.7,63.36,231.27
2010,1.94,2090.97,,63.52,231.27
2025,1.91,2106.26,0.0,35.09,231.19
2040,1.95,2103.92,0.0,35.49,231.13
2055,1.95,2085.5,0.74,63.81,230.92
2070,,174.0,,53.71,230.68
2085,,172.53,0.4,53.04,230.91
2100,1.54,174.45,0.33,52.87,230.87
2115,1.16,174.64,0.44,53.1,230.72
2130,1.16,171.61,0.49,53.58,230.59
2145,1.16,176.89,0.41,53.38,230.68
2160,1.71,174.77,0.35,53.03,230.81
2175,,1008.39,,63.86,230.94
2190,1.96,2088.8,0.76,63.38,230.93
2205,1.96,2085.91,0.69,63.29,230.88
2220,1.94,2086.3,0.68,63.31,230.86
2235,1.92,2085.99,0.82,63.33,230.87
2250,1.93,2085.0,0.82,63.52,230.9
2265,1.95,2066.54,0.66,63.81,231.21
2280,1.93,2065.48,0.69,63.97,231.24
2295,1.9,2079.86,0.83,63.64,231.17
2310,1.94,2083.99,0.82,64.24,230.9
2325,1.94,2088.17,0.73,63.33,231.15
2340,1.94,2088.75,0.73,63.12,231.25
2355,1.93,2100.23,0.0,35.42,231.13
2370,1.32,189.96,0.0,26.08,230.64
2385,1.32,171.82,0.0,53.09,230.61
2400,1.13,173.37,0.35,52.66,230.88
2415,1.13,173.49,0.49,52.78,230.86
2430,1.13,174.68,0.44,53.15,230.69
2445,1.34,175.42,0.42,52.95,230.64
2460,1.95,174.75,0.28,52.41,230.93
2475,1.95,175.24,0.28,52.86,230.74
2490,1.97,2098.8,0.65,63.99,230.91
2505,1.93,2088.35,0.75,63.47,230.92
2520,1.95,2087.09,0.78,63.25,230.92
2535,1.92,2086.5,0.76,63.47,230.9
2550,1.92,2085.31,0.77,64.04,230.89
2565,1.93,2086.31,0.79,63.3,230.96
2580,1.96,2088.18,0.74,63.18,231.13
2595,1.91,2057.87,,64.47,231.23
2610,1.95,2061.27,0.67,64.98,230.96
2625,1.95,2092.74,,58.07,230.91
2640,1.97,2089.08,0.71,63.03,231.2
2655,1.95,2084.27,0.71,63.72,231.08
2670,1.39,173.16,0.43,53.05,230.66
2685,1.39,190.66,0.0,26.62,230.96
2700,1.55,190.92,0.0,26.05,230.61
2715,1.55,188.78,0.0,25.5,230.8
2730,1.36,174.95,0.32,52.17,230.94
2745,1.35,173.9,0.36,52.34,230.93
2760,1.35,175.18,0.32,53.06,230.63
2775,1.35,175.24,0.4,52.49,230.76
2790,,1188.84,,76.36,231.12
2805,1.91,2091.79,0.79,63.45,231.03
2820,1.93,2087.58,0.82,63.27,230.94
2835,1.92,2091.33,0.81,62.61,231.2
2850,1.92,2087.43,0.75,63.36,231.08
2865,1.94,2085.12,0.81,63.22,230.93
2880,1.94,2089.25,0.8,62.71,231.24
2895,,171.03,,53.01,230.68
2910,,173.53,0.44,52.12,230.88
2925,,96.89,,37.67,230.84
2940,1.41,170.16,0.29,54.02,230.6
2955,,162.31,,52.62,230.7
2970,,174.36,0.33,52.32,230.92
2985,,2141.84,,63.83,230.98
3000,1.94,2088.08,0.73,63.37,230.92
3015,1.97,2089.53,0.14,63.03,231.05
3030,1.96,2103.37,0.0,35.09,230.99
3045,1.95,2101.83,0.0,35.44,231.0
3060,1.91,2087.01,0.81,62.99,231.1
3075,1.95,2088.93,0.71,63.09,231.22
3090,1.97,2082.6,0.65,63.59,230.89
3105,1.97,2088.36,0.65,62.63,231.2
3120,1.97,173.0,0.41,52.78,230.69
3135,1.97,173.21,0.3,52.44,230.66
3150,1.97,175.04,0.38,52.31,230.78
3165,1.56,174.34,0.31,51.88,230.88
3180,1.56,173.42,0.29,52.34,230.86
3195,1.56,173.88,0.29,52.72,230.6
3210,1.93,2092.03,0.82,63.19,230.89
3225,1.96,2089.03,0.68,62.87,231.01
3240,1.94,2090.73,0.7,62.54,231.2
3255,1.94,2089.08,0.7,62.53,231.22
3270,1.96,2066.4,0.72,63.84,231.16
3285,1.95,2065.61,0.72,63.59,231.24
3300,1.93,2084.22,0.75,63.44,231.18
3315,1.95,2084.21,0.7,63.55,231.0
3330,1.94,2083.58,0.74,63.56,230.89
3345,1.98,2086.46,0.62,62.75,231.12
3360,1.94,2101.55,,34.77,231.21
3375,,1588.75,,39.08,230.93
3390,1.1,188.85,0.0,25.47,230.61
3405,1.41,174.23,0.35,52.09,230.81
3420,1.39,173.63,0.29,52.12,230.94
3435,1.43,175.88,0.33,51.78,230.93
3450,1.51,174.9,0.25,52.04,230.84
3465,1.55,174.96,0.34,52.15,230.78
3480,1.51,176.47,0.34,51.92,230.85
3495,1.51,173.46,0.4,52.0,230.94
3510,1.95,2103.94,0.7,63.19,231.23
3525,1.94,2089.28,0.77,63.05,231.17
3540,1.93,2086.27,0.75,63.45,230.95
3555,1.91,2083.8,0.79,63.22,230.9
3570,1.95,2086.66,0.69,62.98,231.05
3585,1.94,2089.15,0.7,62.74,231.25
3600,1.95,2062.33,,64.02,231.24
3615,1.97,2064.28,0.61,63.76,231.22
3630,1.93,2067.4,,63.58,230.95
3645,1.95,2082.45,0.76,63.54,230.91
3660,1.97,2081.41,0.69,63.6,230.95
3675,,172.43,,52.51,230.69
3690,1.57,171.99,0.0,52.3,230.81
3705,1.57,187.62,0.0,24.99,230.82
3720,1.54,187.42,0.0,24.97,230.76
3735,1.35,173.61,0.29,52.22,230.86
3750,1.35,173.46,0.32,52.03,230.9
3765,1.39,173.82,0.4,52.0,230.9
3780,1.36,173.99,0.36,52.12,230.78
3795,1.36,172.55,0.36,52.6,230.65
3810,1.93,2091.62,0.74,63.09,230.95
3825,1.94,2086.05,0.73,62.95,230.9
3840,1.93,2085.57,0.76,62.85,230.9
3855,1.91,2084.88,0.79,62.55,230.97
3870,1.95,2082.86,0.73,63.25,230.89
3885,1.95,2083.89,0.73,62.89,231.01
3900,1.48,173.45,0.32,52.23,230.9
3915,1.65,171.19,0.25,51.93,230.9
3930,,238.87,,48.12,230.98
3945,1.28,168.16,0.19,52.73,230.92
3960,,151.99,,33.92,230.97
3975,,173.4,0.32,52.15,230.86
3990,1.95,2094.99,0.7,62.84,231.14
4005,1.91,2088.4,0.84,62.91,231.03
4020,1.94,2085.37,0.74,62.9,230.9
4035,1.95,2102.56,0.0,34.43,231.03
4050,1.96,2103.64,0.0,34.5,231.23
4065,1.94,2089.74,,58.63,231.27
4080,1.93,2083.91,0.69,62.83,231.14
4095,,349.38,,67.24,230.88
4110,,172.22,0.21,52.03,230.92
4125,,171.9,0.31,51.5,230.91
4140,1.32,173.28,0.33,51.96,230.85
4155,1.32,172.55,0.35,52.23,230.73
4170,1.32,173.68,0.37,52.61,230.64
4185,,2118.77,,76.49,230.97
4200,1.94,2090.53,0.71,62.55,231.12
4215,1.93,2088.37,0.76,62.22,231.15
4230,1.93,2087.7,0.66,62.53,231.09
4245,1.94,2086.98,0.69,62.34,231.21
4260,1.86,2086.03,,62.56,231.18
4275,1.92,2062.42,0.57,63.79,231.14
4290,1.99,2063.54,0.57,63.76,231.1
4305,,172.53,,52.95,230.71
4320,1.54,173.32,0.31,52.93,230.64
4335,1.54,172.76,0.36,52.82,230.65
4350,1.54,170.9,0.39,52.99,230.64
4365,1.42,181.4,,41.74,230.67
4380,1.41,189.76,0.0,25.54,230.69
4395,,2146.45,0.0,35.02,231.14
4410,1.95,2091.65,0.68,62.64,231.2
4425,1.95,2090.03,0.71,62.62,231.2
4440,1.94,2088.22,0.74,62.67,231.17
4455,1.94,2086.7,0.67,62.6,231.2
4470,1.95,2085.23,0.68,62.86,231.18
4485,1.94,2082.7,0.7,63.06,231.04
4500,1.36,171.98,0.32,52.91,230.68
4515,1.62,173.54,0.31,52.07,230.78
4530,1.31,173.51,0.34,51.91,230.84
4545,1.3,173.77,0.29,52.1,230.72
4560,1.58,173.44,0.33,52.37,230.66
4575,1.15,173.86,0.35,52.66,230.66
4590,1.95,2112.63,0.72,63.17,231.05
4605,1.95,2063.92,0.64,64.46,230.99
4620,1.94,2065.03,0.56,63.77,231.08
4635,1.92,2081.61,0.69,62.79,231.19
4650,1.92,2087.15,0.7,62.62,231.22
4665,1.95,2085.01,0.69,62.38,231.16
4680,1.93,2085.2,0.74,62.46,231.15
4695,1.93,2084.03,0.67,62.38,231.14
4710,1.95,2097.52,0.0,35.02,231.04
4725,1.95,2098.65,0.0,34.77,231.1
4740,1.32,172.04,,51.73,230.9
4755,1.56,171.62,0.35,51.64,230.89
4770,1.26,173.96,0.25,51.8,230.89
4785,1.51,173.86,0.3,51.86,230.84
4800,1.24,172.95,0.32,51.88,230.85
4815,1.24,172.77,0.32,51.45,230.9
4830,1.91,2092.39,0.74,62.47,231.2
4845,1.94,2088.16,0.67,62.38,231.12
4860,1.97,2082.55,0.67,63.08,230.93
4875,1.93,2084.88,0.72,62.78,231.08
4890,1.93,2085.91,0.7,62.59,231.17
4905,,1556.54,,62.19,231.25
4920,1.28,171.75,0.18,51.67,230.86
4935,,168.49,,53.29,230.73
4950,1.29,165.99,0.19,53.55,230.64
4965,,192.1,,50.08,230.92
4980,1.24,172.76,0.24,52.24,230.79
4995,,746.48,,51.95,230.49
5010,1.94,2086.56,0.79,62.94,230.78
5025,1.92,2083.68,0.75,62.62,230.88
5040,1.93,2099.93,,34.25,230.85
5055,1.94,2096.57,0.0,34.81,230.81
5070,1.94,2095.05,0.53,35.36,230.72
5085,1.95,2078.61,0.72,62.99,230.7
5100,,172.08,,51.82,230.53
