time_s,Kpv,P0,V0
0,NaN,190.08,230.86
15,NaN,188.61,230.96
30,NaN,171.5,230.96
45,NaN,175.63,230.94
60,1.96,2777.35,231.31
75,1.96,2740.4,231.24
90,1.9,2737.28,231.3
105,1.94,2737.05,231.36
120,1.94,2732.95,231.36
135,1.98,2727.42,231.23
150,1.96,2731.44,231.35
165,1.94,2723.52,231.11
180,1.97,2718.69,230.99
195,1.92,2725.29,231.3
210,1.96,2720.92,231.31
225,1.93,2718.56,231.18
240,1.95,2715.11,230.9
255,1.95,2710.83,230.86
270,1.96,2711.93,230.86
285,1.96,2078.98,230.75
300,1.92,2093.4,230.61
315,1.89,2096.11,230.73
330,1.94,2105.04,230.82
345,1.98,2111.6,230.93
360,1.91,2106.95,230.64
375,1.9,2095.67,230.73
390,1.99,2095.91,230.93
405,1.89,2095.82,230.88
420,1.88,2095.87,230.8
435,1.94,2093.34,230.75
450,1.96,2095.13,230.85
465,1.9,2098.58,231.1
480,1.92,2095.77,231.1
495,1.92,2091.53,230.68
510,1.93,2090.45,230.57
525,1.97,2091.86,230.74
540,1.95,2095.04,231.07
555,1.93,2096.34,231.26
570,1.94,2094.83,231.27
585,1.92,2014.39,231.19
600,1.93,2069.01,231
615,1.96,2061.13,230.91
630,1.94,2744.74,231.15
645,1.95,2095.61,231.26
660,1.93,2093.68,231.09
675,1.97,2103.42,230.9
690,1.92,2106.5,231.05
705,1.96,2095.7,231.15
720,1.91,2090.63,230.94
735,1.93,2088.76,230.9
750,1.94,2089.34,231.01
765,1.95,2087.95,230.96
780,1.89,2089.28,230.97
795,1.9,2091.89,231.26
810,1.91,2089.06,231.11
825,1.95,2086.91,230.9
840,1.95,2090.43,231.12
855,2.01,2093.93,231.27
870,1.94,2087.71,230.98
885,1.92,2087.01,230.92
900,1.92,2092.85,231.22
915,1.85,2091.32,231.2
930,1.97,2064.42,231.09
945,1.94,2063.63,230.91
960,1.97,2087.95,230.92
975,1.93,2088.14,230.93
990,1.94,2087.51,230.94
1005,1.93,2101.2,230.97
1020,1.92,2102.03,231.02
1035,NaN,325.95,230.87
1050,NaN,177.22,230.79
1065,NaN,177.18,230.64
1080,NaN,174.48,230.63
1095,NaN,174.68,230.62
1110,NaN,173.8,230.66
1125,NaN,176.09,230.8
1140,NaN,818.71,232.41
1155,1.99,2092.4,230.91
1170,1.9,2092.76,230.98
1185,1.96,2089.78,231.14
1200,1.89,2093.86,231.27
1215,1.92,2090.53,231.26
1230,1.98,2095.04,231.27
1245,1.9,2091.26,231.27
1260,1.93,2062.77,231.26
1275,1.91,2069.58,231.26
1290,1.97,2074.31,231.15
1305,1.91,2088.35,231.2
1320,1.92,2088.21,231.19
1335,1.95,2085.88,231.05
1350,NaN,189.65,230.68
1365,1.27,191.59,230.7
1380,1.27,172.91,230.86
1395,1.27,175.61,230.89
1410,1.27,174.28,230.84
1425,1.27,173.61,230.94
1440,1.27,175.01,230.96
1455,NaN,2206.04,231.22
1470,1.95,2092.56,231.08
1485,1.92,2092.19,231.06
1500,1.95,2095.6,231.23
1515,1.95,2092.36,231.26
1530,1.91,2091.93,231.22
1545,1.93,2090,231.12
1560,1.97,2087.88,231.02
1575,1.94,2084.92,230.9
1590,1.94,2103.31,230.97
1605,1.97,2062.98,230.91
1620,1.92,2038.14,231.09
1635,1.93,2088.39,231.11
1650,1.92,2087.63,231.11
1665,NaN,170.35,230.95
1680,NaN,189.69,230.89
1695,NaN,188.71,230.67
1710,NaN,184.06,230.6
1725,NaN,174.81,230.49
1740,NaN,176.06,230.55
1755,NaN,177.45,230.72
1770,NaN,176.85,230.81
1785,1.94,2096.62,230.98
1800,1.94,2090.38,230.83
1815,1.9,2087.83,230.77
1830,1.96,2088.93,230.86
1845,1.96,2087.91,231.05
1860,1.94,2086.41,231.05
1875,1.92,2083.89,230.78
1890,1.95,2084.88,230.81
1905,1.94,2082.25,230.79
1920,NaN,171.46,230.51
1935,1.96,2070.06,230.94
1950,2.01,2063.41,230.89
1965,1.29,174.41,230.66
1980,1.57,172.08,230.84
1995,1.97,2106.03,231.25
2010,1.94,2090.97,231.25
2025,1.91,2106.26,231.19
2040,1.95,2103.92,231.13
2055,1.95,2085.5,230.92
2070,NaN,174,230.65
2085,NaN,172.53,230.91
2100,1.54,174.45,230.87
2115,1.16,174.64,230.72
2130,1.16,171.61,230.59
2145,1.16,176.89,230.68
2160,1.71,174.77,230.81
2175,NaN,1008.39,230.91
2190,1.96,2088.8,230.93
2205,1.96,2085.91,230.88
2220,1.94,2086.3,230.86
2235,1.92,2085.99,230.87
2250,1.93,2085,230.9
2265,1.95,2066.54,231.18
2280,1.93,2065.48,231.24
2295,1.9,2079.86,231.15
2310,1.94,2083.99,230.9
2325,1.94,2088.17,231.15
2340,1.94,2088.75,231.25
2355,1.93,2100.23,231.1
2370,1.32,189.96,230.64
2385,1.32,171.82,230.61
2400,1.13,173.37,230.88
2415,1.13,173.49,230.86
2430,1.13,174.68,230.69
2445,1.34,175.42,230.64
2460,1.95,174.75,230.93
2475,1.95,175.24,230.74
2490,1.97,2098.8,230.91
2505,1.93,2088.35,230.92
2520,1.95,2087.09,230.92
2535,1.92,2086.5,230.9
2550,1.92,2085.31,230.89
2565,1.93,2086.31,230.96
2580,1.96,2088.18,231.13
2595,1.91,2057.87,231.21
2610,1.95,2061.27,230.96
2625,1.95,2092.74,230.89
2640,1.97,2089.08,231.2
2655,1.95,2084.27,231.08
2670,1.39,173.16,230.66
2685,1.39,190.66,230.93
2700,1.55,190.92,230.61
2715,1.55,188.78,230.8
2730,1.36,174.95,230.94
2745,1.35,173.9,230.93
2760,1.35,175.18,230.63
2775,1.35,175.24,230.76
2790,NaN,1188.84,231.12
2805,1.91,2091.79,231.03
2820,1.93,2087.58,230.94
2835,1.92,2091.33,231.2
2850,1.92,2087.43,231.08
2865,1.94,2085.12,230.93
2880,1.94,2089.25,231.24
2895,NaN,171.03,230.68
2910,NaN,173.53,230.88
2925,NaN,96.89,230.82
2940,1.41,170.16,230.6
2955,NaN,162.31,230.7
2970,NaN,174.36,230.92
2985,NaN,2141.84,230.98
3000,1.94,2088.08,230.92
3015,1.97,2089.53,231.05
3030,1.96,2103.37,230.99
3045,1.95,2101.83,231
3060,1.91,2087.01,231.08
3075,1.95,2088.93,231.22
3090,1.97,2082.6,230.89
3105,1.97,2088.36,231.2
3120,1.97,173,230.69
3135,1.97,173.21,230.66
3150,1.97,175.04,230.78
3165,1.56,174.34,230.88
3180,1.56,173.42,230.86
3195,1.56,173.88,230.6
3210,1.93,2092.03,230.89
3225,1.96,2089.03,231.01
3240,1.94,2090.73,231.2
3255,1.94,2089.08,231.22
3270,1.96,2066.4,231.14
3285,1.95,2065.61,231.24
3300,1.93,2084.22,231.18
3315,1.95,2084.21,231
3330,1.94,2083.58,230.89
3345,1.98,2086.46,231.12
3360,1.94,2101.55,231.19
3375,NaN,1588.75,232.54
3390,1.1,188.85,230.61
3405,1.41,174.23,230.81
3420,1.39,173.63,230.94
3435,1.43,175.88,230.93
3450,1.51,174.9,230.84
3465,1.55,174.96,230.78
3480,1.51,176.47,230.85
3495,1.51,173.46,230.94
3510,1.95,2103.94,231.23
3525,1.94,2089.28,231.17
3540,1.93,2086.27,230.95
3555,1.91,2083.8,230.9
3570,1.95,2086.66,231.05
3585,1.94,2089.15,231.25
3600,1.95,2062.33,231.25
