time_s,nqv,Q0,V0
0,0,25.65,230.86
15,0,25.15,230.96
30,NaN,52.46,230.94
45,NaN,52.06,230.94
60,1.02,65.56,231.31
75,0.96,66.21,231.24
90,1.3,66.29,231.3
105,0.99,66.09,231.36
120,1.11,66.76,231.36
135,0.86,67.33,231.23
150,0.86,66.88,231.35
165,1.15,67.16,231.11
180,0.97,67.71,230.99
195,1.14,67.17,231.3
210,0.99,67.01,231.31
225,1.01,67.44,231.18
240,1.02,70.39,230.9
255,1.05,71.25,230.86
270,0.98,70.96,230.86
285,NaN,66.54,230.75
300,1.06,64.84,230.61
315,1.21,64.27,230.73
330,1.21,48.05,230.82
345,1.21,37,230.93
360,0,37.56,230.64
375,1.14,64.32,230.73
390,0.89,64.64,230.93
405,1.07,64.66,230.88
420,1.17,64.63,230.8
435,1,66.69,230.75
450,0.84,66.3,230.85
465,1.07,66.12,231.1
480,1.09,66.5,231.1
495,1.03,65.23,230.68
510,1,65.25,230.57
525,0.92,64.42,230.74
540,0.89,65.91,231.07
555,0.97,63.93,231.26
570,1.02,64.13,231.27
585,NaN,47.94,231.17
600,0.91,65.79,231
615,NaN,65.46,230.89
630,1.15,67.25,231.17
645,0.91,64.09,231.26
660,0.99,64.41,231.09
675,0.99,37.27,230.9
690,0.99,36.81,231.05
705,NaN,63.97,231.13
720,0.91,64.28,230.94
735,0.89,64.75,230.9
750,0.9,64.81,231.01
765,0.91,65.03,230.96
780,0.95,64.42,230.97
795,0.99,64.11,231.26
810,0.95,64.7,231.11
825,0.88,65.04,230.9
840,0.78,64.25,231.12
855,0.64,64.2,231.27
870,0.91,65.13,230.98
885,0.85,64.65,230.92
900,0.93,64.02,231.22
915,0.93,64.38,231.2
930,0.79,65.77,231.09
945,0.79,66,230.91
960,0.8,64.38,230.92
975,0.94,64.37,230.93
990,0.9,64.65,230.94
1005,NaN,36.18,230.96
1020,0,36.36,231.02
1035,NaN,43.97,230.86
1050,0.48,53.64,230.79
1065,0.43,53.83,230.64
1080,0.49,54.33,230.63
1095,0.62,54,230.62
1110,0.49,54.39,230.66
1125,0.46,53.75,230.8
1140,NaN,54.1,230.68
1155,0.66,64.63,230.91
1170,0.88,64.26,230.98
1185,0.74,64.13,231.14
1200,0.98,64.05,231.27
1215,0.86,63.82,231.26
1230,0.63,63.8,231.27
1245,0.89,63.82,231.27
1260,NaN,65.08,231.25
1275,0.92,65.09,231.26
1290,NaN,64.43,231.14
1305,0.84,64.55,231.2
