time_s,npv,P0,V0
0,2.19,123.29,230.59
15,2.21,123.33,230.74
30,2.2,123.16,230.88
45,2.22,123.06,230.92
60,2.22,122.37,230.99
75,2.21,122.09,230.81
90,2.2,122.34,230.65
105,2.21,122.45,230.64
120,2.21,122.39,230.64
135,2.2,122.49,230.65
150,2.21,122.71,230.71
165,2.2,122.56,230.66
180,2.2,122,230.67
195,2.22,121.77,230.84
210,2.21,121.95,230.99
225,2.2,122.63,230.92
240,2.21,122.56,230.67
255,2.2,121.94,230.91
270,2.2,122.38,230.98
285,2.2,122.49,230.68
300,2.2,121.65,230.73
315,2.21,121.57,230.88
330,2.21,122.18,231
345,2.21,122.3,230.68
360,2.22,121.51,230.83
375,2.2,122.13,230.98
390,2.2,122.18,230.66
405,2.22,121.47,230.91
420,2.2,122.2,230.93
435,2.22,121.67,230.65
450,2.2,121.7,231.01
465,2.21,121.93,230.65
480,2.21,121.55,231
495,2.21,121.37,230.68
510,2.21,122.09,230.88
525,2.22,121.32,230.91
540,2.2,121.98,230.7
555,2.21,121.89,230.99
570,2.21,121.16,230.74
585,2.22,121.59,230.65
600,2.21,121.71,230.66
615,2.21,121.6,230.65
630,2.22,121.6,230.6
645,2.22,121.76,230.65
660,2.21,121.84,230.69
675,2.21,122.03,230.82
690,2.2,121.71,230.99
705,2.21,121.35,230.97
720,2.21,121.07,230.77
735,2.2,121.77,230.66
750,2.2,121.97,230.81
