time_s,npv,P0,nqv,Q0,V0
0,0.0,7.83,1.73,20.16,230.57
15,0.0,7.72,1.84,20.24,230.57
30,0.0,21.17,1.84,31.1,230.34
45,0.0,23.05,2.79,33.95,230.24
60,0.0,23.73,2.69,34.44,230.15
75,0.0,22.45,2.72,32.1,229.86
90,0.0,32.39,2.72,40.91,229.86
105,0.0,18.68,0.0,18.79,229.89
120,0.0,18.48,0.0,18.94,229.96
135,0.0,18.27,0.0,18.64,230.14
150,0.0,26.67,0.0,18.49,230.36
165,,223.76,0.6,113.94,230.09
180,0.0,62.07,0.55,104.31,229.95
195,0.16,65.21,0.68,105.85,230.29
210,0.0,57.44,0.51,101.43,230.28
225,0.25,57.76,0.49,102.21,229.9
240,0.25,68.69,0.5,105.53,229.89
255,1.93,2010.93,0.53,107.79,230.37
270,1.93,2007.51,0.53,107.27,230.55
285,1.93,2006.79,0.52,104.38,230.61
300,1.93,2005.19,0.58,104.77,230.67
315,1.93,2001.29,0.57,102.46,230.26
330,1.93,2000.5,0.53,109.14,230.13
345,1.93,1999.15,0.45,110.5,230.08
360,1.93,1999.94,0.53,104.26,230.36
375,1.93,2004.75,0.53,102.78,230.63
390,1.93,2003.06,0.53,108.87,230.12
405,1.93,2002.58,0.52,108.06,230.34
420,1.93,2007.42,0.63,108.22,230.5
435,1.93,2003.59,0.56,106.01,230.59
450,1.94,2003.59,0.5,103.55,230.6
465,1.93,2002.08,0.53,105.84,230.37
480,1.93,2000.32,0.5,104.77,230.3
495,1.93,2008.38,0.4,103.32,230.59
510,1.93,2004.24,0.57,102.48,230.64
525,1.93,2001.57,0.32,103.31,230.45
540,1.93,1997.43,0.55,106.56,230.11
555,1.93,1999.34,0.55,106.26,230.27
570,0.0,57.03,0.54,102.78,230.05
585,0.0,57.04,0.49,102.35,230.14
600,0.0,64.53,0.62,104.83,230.35
615,0.0,57.8,0.46,105.01,230.48
630,0.0,58.6,0.4,103.41,230.19
645,0.0,57.07,0.51,100.81,229.9
660,0.0,57.12,0.55,101.86,230.02
675,0.0,57.64,0.55,103.68,230.46
690,0.15,57.94,0.55,103.77,230.33
705,0.15,62.57,0.51,103.19,229.98
720,0.11,57.13,0.53,99.99,229.93
735,0.28,57.08,0.62,101.31,230.13
750,0.14,56.2,0.5,100.8,230.37
765,0.16,56.85,0.54,104.15,230.49
780,0.18,56.38,0.51,99.73,230.46
795,0.13,57.02,0.61,101.1,230.07
810,0.13,64.14,0.61,103.65,230.01
825,0.13,56.38,0.61,101.32,230.45
840,0.28,56.67,0.55,100.79,230.26
855,0.0,56.85,0.54,101.85,229.94
870,0.0,56.17,0.54,100.95,230.22
885,0.0,53.76,0.54,97.35,230.48
900,0.16,55.77,0.6,99.51,230.2
915,0.16,58.72,0.6,96.51,229.95
930,0.17,55.92,0.6,100.63,230.36
945,0.49,55.85,0.68,102.22,230.47
960,0.49,53.97,0.68,96.46,230.4
975,0.0,55.46,0.52,98.57,230.18
990,0.17,55.48,0.56,98.72,230.17
1005,0.12,56.24,0.55,100.47,230.14
1020,0.3,60.87,0.44,99.02,230.08
1035,0.15,53.36,0.57,96.41,230.03
1050,0.15,56.09,0.57,98.17,230.11
1065,0.0,56.36,0.5,97.19,230.15
1080,0.12,56.84,0.51,99.33,230.34
1095,0.12,49.99,0.51,91.22,230.59
1110,0.12,55.38,0.51,98.64,230.59
1125,0.0,24.4,,36.82,230.63
1140,0.0,26.04,2.64,33.89,230.63
1155,0.0,24.03,2.66,34.3,230.66
1170,0.0,23.15,2.69,32.42,230.36
1185,0.0,37.47,2.69,50.66,230.06
1200,0.0,27.53,0.0,19.43,229.93
1215,0.0,27.16,0.0,19.37,230.08
1230,0.0,27.05,0.0,19.35,230.16
1245,,61.28,0.47,100.94,230.09
1260,0.0,59.98,0.51,103.27,230.13
1275,0.0,59.75,0.38,104.3,230.14
1290,0.12,56.75,0.53,100.3,230.19
1305,0.0,56.53,0.47,100.76,230.41
1320,0.0,59.93,0.47,106.02,230.34
1335,0.0,60.2,0.54,106.37,229.95
1350,0.13,65.62,0.47,106.95,230.0
1365,0.12,58.16,0.52,101.13,230.28
1380,0.2,58.09,0.53,101.95,230.25
1395,0.17,61.34,0.51,104.35,230.13
1410,0.11,61.32,0.54,107.37,230.15
1425,0.11,61.2,0.53,102.51,230.14
1440,0.0,57.74,0.53,101.02,230.19
1455,0.34,59.16,0.47,100.08,230.29
1470,0.13,60.14,0.5,106.92,229.95
1485,0.13,60.35,0.5,105.59,229.96
1500,0.0,27.59,2.61,32.5,229.99
1515,0.0,23.37,2.58,33.19,229.96
1530,0.0,23.12,2.64,33.13,230.17
1545,0.0,27.73,2.64,39.59,230.29
1560,0.0,18.49,0.0,18.72,230.41
1575,0.0,27.06,0.0,19.25,230.47
1590,0.0,27.37,0.0,19.26,230.31
1605,0.0,27.51,0.0,19.0,230.08
1620,,2020.68,,101.87,230.29
1635,1.93,2003.64,0.54,102.53,230.4
1650,1.93,2007.07,0.59,104.85,230.34
1665,1.93,1997.95,0.59,101.69,230.34
1680,0.41,57.07,0.51,100.51,230.44
1695,0.14,60.36,0.54,105.73,230.52
1710,1.93,2024.53,0.52,104.61,230.95
1725,1.93,2009.18,0.46,101.34,230.96
1740,1.93,2006.7,0.57,103.31,230.9
1755,1.94,2004.0,0.62,100.94,230.54
1770,1.93,2002.78,0.6,104.88,230.43
1785,1.93,2005.57,0.5,107.7,230.63
1800,1.94,2003.77,0.51,102.94,230.73
1815,1.93,2004.42,0.52,101.56,230.75
1830,1.93,2008.53,0.55,107.98,230.62
1845,1.93,2001.93,0.5,107.0,230.35
1860,1.94,2003.57,0.59,108.84,230.26
1875,1.93,2002.46,0.58,102.8,230.64
1890,1.93,2003.8,0.46,101.4,230.69
1905,1.93,2003.68,0.51,107.65,230.44
1920,1.93,2004.55,0.52,107.07,230.5
1935,1.93,2008.31,0.54,103.39,230.7
1950,0.0,60.25,0.52,107.0,230.12
1965,0.0,60.08,0.52,106.1,230.27
1980,0.0,17.88,,28.21,230.64
1995,0.0,24.91,2.63,34.56,230.56
2010,0.0,23.51,2.67,33.15,230.05
2025,0.0,23.22,2.69,33.21,230.03
2040,0.0,35.1,2.69,32.9,229.95
2055,0.0,31.42,2.49,30.3,229.95
2070,0.0,31.42,2.6,29.87,230.16
2085,0.0,31.93,2.65,31.53,230.63
2100,0.0,31.7,2.58,31.72,230.46
2115,0.0,32.14,2.54,31.4,230.11
2130,0.0,32.26,2.59,31.14,230.17
2145,0.0,32.05,2.58,31.02,230.49
2160,0.0,31.68,2.54,31.23,230.64
2175,0.0,31.49,2.6,31.09,230.52
2190,0.0,31.01,2.66,30.58,230.41
2205,0.0,30.59,2.64,29.3,230.36
2220,0.0,30.66,2.62,28.77,230.33
2235,0.0,30.79,2.6,28.7,230.27
2250,0.0,30.83,2.6,28.93,230.25
2265,0.0,30.91,2.53,28.8,230.16
2280,0.0,30.71,2.58,29.24,229.93
2295,0.0,30.41,2.6,29.05,230.09
2310,0.0,30.22,2.59,28.93,230.34
2325,0.0,30.64,2.58,28.51,230.34
