time_s,Kpv,P0,V0
0,0,7.83,230.57
15,0,7.72,230.57
30,0,21.17,230.32
45,0,23.05,230.24
60,0,23.73,230.15
75,0,22.45,229.86
90,0,32.39,229.86
105,0,18.68,229.89
120,0,18.48,229.96
135,0,18.27,230.14
150,0,26.67,230.36
165,NaN,223.76,230.11
180,0,62.07,229.95
195,0.16,65.21,230.29
210,0,57.44,230.28
225,0.25,57.76,229.9
240,0.25,68.69,229.89
255,1.93,2010.93,230.35
270,1.93,2007.51,230.55
285,1.93,2006.79,230.61
300,1.93,2005.19,230.67
315,1.93,2001.29,230.26
330,1.93,2000.5,230.13
345,1.93,1999.15,230.08
360,1.93,1999.94,230.36
375,1.93,2004.75,230.63
390,1.93,2003.06,230.12
405,1.93,2002.58,230.34
420,1.93,2007.42,230.5
435,1.93,2003.59,230.59
450,1.94,2003.59,230.6
465,1.93,2002.08,230.37
480,1.93,2000.32,230.3
495,1.93,2008.38,230.59
510,1.93,2004.24,230.64
525,1.93,2001.57,230.45
540,1.93,1997.43,230.11
555,1.93,1999.34,230.27
570,0,57.03,230.05
585,0,57.04,230.14
600,0,64.53,230.35
615,0,57.8,230.48
630,0,58.6,230.19
645,0,57.07,229.9
660,0,57.12,230.02
675,0,57.64,230.46
690,0.15,57.94,230.33
705,0.15,62.57,229.98
720,0.11,57.13,229.93
735,0.28,57.08,230.13
750,0.14,56.2,230.37
765,0.16,56.85,230.49
780,0.18,56.38,230.46
795,0.13,57.02,230.07
810,0.13,64.14,230.01
825,0.13,56.38,230.45
840,0.28,56.67,230.26
855,0,56.85,229.94
870,0,56.17,230.22
885,0,53.76,230.48
900,0.16,55.77,230.2
915,0.16,58.72,229.95
930,0.17,55.92,230.36
945,0.49,55.85,230.47
960,0.49,53.97,230.4
975,0,55.46,230.18
990,0.17,55.48,230.17
1005,0.12,56.24,230.14
1020,0.3,60.87,230.08
1035,0.15,53.36,230.03
1050,0.15,56.09,230.11
1065,0,56.36,230.15
1080,0.12,56.84,230.34
1095,0.12,49.99,230.59
1110,0.12,55.38,230.59
1125,0,24.4,230.63
1140,0,26.04,230.63
1155,0,24.03,230.66
1170,0,23.15,230.36
1185,0,37.47,230.06
1200,0,27.53,229.93
1215,0,27.16,230.08
1230,0,27.05,230.16
1245,NaN,61.28,230.07
1260,0,59.98,230.13
1275,0,59.75,230.14
1290,0.12,56.75,230.19
1305,0,56.53,230.41
1320,0,59.93,230.34
1335,0,60.2,229.95
1350,0.13,65.62,230
1365,0.12,58.16,230.28
1380,0.2,58.09,230.25
1395,0.17,61.34,230.13
1410,0.11,61.32,230.15
1425,0.11,61.2,230.14
1440,0,57.74,230.19
1455,0.34,59.16,230.29
1470,0.13,60.14,229.95
1485,0.13,60.35,229.96
1500,0,27.59,229.97
1515,0,23.37,229.96
1530,0,23.12,230.17
1545,0,27.73,230.29
1560,0,18.49,230.41
1575,0,27.06,230.47
1590,0,27.37,230.31
1605,0,27.51,230.08
1620,NaN,2020.68,230.31
1635,1.93,2003.64,230.4
1650,1.93,2007.07,230.34
1665,1.93,1997.95,230.34
1680,0.41,57.07,230.44
1695,0.14,60.36,230.52
1710,1.93,2024.53,230.92
1725,1.93,2009.18,230.96
1740,1.93,2006.7,230.9
1755,1.94,2004,230.54
1770,1.93,2002.78,230.43
1785,1.93,2005.57,230.63
1800,1.94,2003.77,230.73
1815,1.93,2004.42,230.75
1830,1.93,2008.53,230.62
1845,1.93,2001.93,230.35
1860,1.94,2003.57,230.26
1875,1.93,2002.46,230.64
1890,1.93,2003.8,230.69
1905,1.93,2003.68,230.44
1920,1.93,2004.55,230.5
1935,1.93,2008.31,230.7
1950,0,60.25,230.14
1965,0,60.08,230.27
1980,0,17.88,230.62
1995,0,24.91,230.56
2010,0,23.51,230.05
2025,0,23.22,230.03
2040,0,35.1,229.95
2055,0,31.42,229.95
2070,0,31.42,230.16
2085,0,31.93,230.63
2100,0,31.7,230.46
2115,0,32.14,230.11
2130,0,32.26,230.17
2145,0,32.05,230.49
2160,0,31.68,230.64
2175,0,31.49,230.52
2190,0,31.01,230.41
2205,0,30.59,230.36
2220,0,30.66,230.33
2235,0,30.79,230.27
2250,0,30.83,230.25
2265,0,30.91,230.16
2280,0,30.71,229.93
2295,0,30.41,230.09
2310,0,30.22,230.34
2325,0,30.64,230.34
2340,0,31.06,229.94
