time_s,nqv,Q0,V0
0,1.73,20.16,230.57
15,1.84,20.24,230.57
30,1.84,31.1,230.34
45,2.79,33.95,230.24
60,2.69,34.44,230.15
75,2.72,32.1,229.86
90,2.72,40.91,229.86
105,0,18.79,229.89
120,0,18.94,229.96
135,0,18.64,230.14
150,0,18.49,230.36
165,0.6,113.94,230.09
180,0.55,104.31,229.95
195,0.68,105.85,230.29
210,0.51,101.43,230.28
225,0.49,102.21,229.9
240,0.5,105.53,229.89
255,0.53,107.79,230.37
270,0.53,107.27,230.55
285,0.52,104.38,230.61
300,0.58,104.77,230.67
315,0.57,102.46,230.26
330,0.53,109.14,230.13
345,0.45,110.5,230.08
360,0.53,104.26,230.36
375,0.53,102.78,230.63
390,0.53,108.87,230.12
405,0.52,108.06,230.34
420,0.63,108.22,230.5
435,0.56,106.01,230.59
450,0.5,103.55,230.6
465,0.53,105.84,230.37
480,0.5,104.77,230.3
495,0.4,103.32,230.59
510,0.57,102.48,230.64
525,0.32,103.31,230.45
540,0.55,106.56,230.11
555,0.55,106.26,230.27
570,0.54,102.78,230.05
585,0.49,102.35,230.14
600,0.62,104.83,230.35
615,0.46,105.01,230.48
630,0.4,103.41,230.19
645,0.51,100.81,229.9
660,0.55,101.86,230.02
675,0.55,103.68,230.46
690,0.55,103.77,230.33
705,0.51,103.19,229.98
720,0.53,99.99,229.93
735,0.62,101.31,230.13
750,0.5,100.8,230.37
765,0.54,104.15,230.49
780,0.51,99.73,230.46
795,0.61,101.1,230.07
810,0.61,103.65,230.01
825,0.61,101.32,230.45
840,0.55,100.79,230.26
855,0.54,101.85,229.94
870,0.54,100.95,230.22
885,0.54,97.35,230.48
900,0.6,99.51,230.2
915,0.6,96.51,229.95
930,0.6,100.63,230.36
945,0.68,102.22,230.47
960,0.68,96.46,230.4
975,0.52,98.57,230.18
990,0.56,98.72,230.17
1005,0.55,100.47,230.14
1020,0.44,99.02,230.08
1035,0.57,96.41,230.03
1050,0.57,98.17,230.11
1065,0.5,97.19,230.15
1080,0.51,99.33,230.34
1095,0.51,91.22,230.59
1110,0.51,98.64,230.59
1125,NaN,36.82,230.63
1140,2.64,33.89,230.63
1155,2.66,34.3,230.66
1170,2.69,32.42,230.36
1185,2.69,50.66,230.06
1200,0,19.43,229.93
1215,0,19.37,230.08
1230,0,19.35,230.16
1245,0.47,100.94,230.09
1260,0.51,103.27,230.13
1275,0.38,104.3,230.14
1290,0.53,100.3,230.19
1305,0.47,100.76,230.41
1320,0.47,106.02,230.34
1335,0.54,106.37,229.95
1350,0.47,106.95,230
1365,0.52,101.13,230.28
1380,0.53,101.95,230.25
1395,0.51,104.35,230.13
1410,0.54,107.37,230.15
1425,0.53,102.51,230.14
1440,0.53,101.02,230.19
1455,0.47,100.08,230.29
1470,0.5,106.92,229.95
1485,0.5,105.59,229.96
1500,2.61,32.5,229.99
1515,2.58,33.19,229.96
1530,2.64,33.13,230.17
1545,2.64,39.59,230.29
1560,0,18.72,230.41
1575,0,19.25,230.47
1590,0,19.26,230.31
1605,0,19,230.08
1620,NaN,101.87,230.29
1635,0.54,102.53,230.4
1650,0.59,104.85,230.34
1665,0.59,101.69,230.34
1680,0.51,100.51,230.44
1695,0.54,105.73,230.52
1710,0.52,104.61,230.95
1725,0.46,101.34,230.96
1740,0.57,103.31,230.9
1755,0.62,100.94,230.54
1770,0.6,104.88,230.43
1785,0.5,107.7,230.63
1800,0.51,102.94,230.73
1815,0.52,101.56,230.75
1830,0.55,107.98,230.62
1845,0.5,107,230.35
1860,0.59,108.84,230.26
1875,0.58,102.8,230.64
1890,0.46,101.4,230.69
1905,0.51,107.65,230.44
1920,0.52,107.07,230.5
1935,0.54,103.39,230.7
1950,0.52,107,230.12
1965,0.52,106.1,230.27
1980,NaN,28.21,230.64
1995,2.63,34.56,230.56
2010,2.67,33.15,230.05
2025,2.69,33.21,230.03
2040,2.69,32.9,229.95
2055,2.49,30.3,229.95
2070,2.6,29.87,230.16
2085,2.65,31.53,230.63
2100,2.58,31.72,230.46
2115,2.54,31.4,230.11
2130,2.59,31.14,230.17
2145,2.58,31.02,230.49
2160,2.54,31.23,230.64
2175,2.6,31.09,230.52
2190,2.66,30.58,230.41
2205,2.64,29.3,230.36
2220,2.62,28.77,230.33
2235,2.6,28.7,230.27
2250,2.6,28.93,230.25
2265,2.53,28.8,230.16
2280,2.58,29.24,229.93
2295,2.6,29.05,230.09
2310,2.59,28.93,230.34
2325,2.58,28.51,230.34
2340,2.62,29.71,229.94
