time_s,npv,P0,nqv,Q0,V0
0,2.0,1469.73,0,11.62,230.59
15,1.99,1469.37,0,11.65,230.57
30,1.99,1466.09,0,12.28,230.35
45,1.99,1464.87,0,12.78,230.27
60,1.99,1464.95,0,12.83,230.28
75,1.99,1467.92,0,12.57,230.46
90,1.99,1469.44,0,12.15,230.58
105,1.99,1469.96,0,11.87,230.65
120,1.99,1468.92,0,12.14,230.58
135,1.99,1466.42,0,12.69,230.41
150,1.99,1467.14,0,12.46,230.49
165,1.99,1469.35,0,11.85,230.65
180,1.99,1468.47,0,11.51,230.63
195,1.99,1464.11,0,12.33,230.33
210,1.99,1463.78,0,12.77,230.27
225,1.98,1468.09,0,12.4,230.52
240,1.99,1468.13,0,11.62,230.6
255,1.99,1464.48,0,12.26,230.37
270,1.98,1463.16,0,12.86,230.27
285,1.99,1464.62,0,12.87,230.37
300,1.99,1467.96,0,11.92,230.65
315,1.99,1466.06,0,11.65,230.61
330,1.99,1463.4,0,11.98,230.48
345,1.99,1461.0,0,12.45,230.32
360,1.99,1458.97,0,12.89,230.26
375,1.99,1459.93,0,12.96,230.3
390,1.99,1461.53,0,12.7,230.43
405,1.99,1463.71,0,11.9,230.65
420,1.99,1458.13,0,12.18,230.4
435,1.99,1456.18,0,12.87,230.27
450,1.99,1458.82,0,12.62,230.44
465,1.99,1459.82,0,11.56,230.63
480,1.99,1454.18,0,12.78,230.26
495,1.99,1458.75,0,12.1,230.6
510,1.99,1456.95,0,11.53,230.63
525,1.99,1453.91,0,12.12,230.39
540,1.99,1452.39,0,12.78,230.26
555,1.99,1452.33,0,12.8,230.27
570,1.99,1453.0,0,12.88,230.31
585,1.99,1456.69,0,12.2,230.56
600,1.99,1456.45,0,12.13,230.57
615,1.99,1456.51,0,12.04,230.6
630,1.99,1455.66,0,12.23,230.54
645,1.99,1456.48,0,11.89,230.63
660,1.99,1456.35,0,11.51,230.67
675,1.99,1455.06,0,11.51,230.62
690,1.99,1452.33,0,11.87,230.46
705,1.99,1451.14,0,12.09,230.39
720,1.99,1449.12,0,12.51,230.29
735,1.99,1449.8,0,12.55,230.28
750,1.99,1449.95,0,12.76,230.27
765,1.99,1453.24,0,12.45,230.47
