time_s,npv,P0,nqv,Q0,V0
0,1.92,41.61,0,2.5,230.39
15,1.93,40.78,0,2.58,230.4
30,1.94,40.66,0,2.41,230.41
45,1.92,41.15,0,2.19,230.19
60,1.93,40.78,0,2.08,230.31
75,1.95,39.88,0,2.18,230.21
90,1.95,39.93,0,2.14,230.22
105,1.95,39.43,0,1.96,230.04
120,1.93,40.27,0,2.26,230.03
135,1.93,40.85,0,2.07,230.31
150,1.95,40.2,0,2.09,230.4
165,1.96,39.35,0,1.95,230.19
180,1.94,39.84,0,2.37,230.13
195,1.93,40.8,0,2.14,230.32
210,1.94,40.3,0,1.93,230.44
225,1.97,39.29,0,2.05,230.27
240,1.94,39.87,0,2.37,230.15
255,1.93,40.72,0,2.15,230.4
270,1.96,39.87,0,2.07,230.38
285,1.96,39.54,0,2.06,230.21
300,1.97,39.2,0,2.08,230.11
315,1.96,39.39,0,2.46,229.98
330,1.96,39.33,0,2.45,230.01
345,1.95,39.97,0,2.62,230.04
360,1.95,40.45,0,1.99,230.29
375,1.96,39.66,0,2.05,230.29
390,1.97,39.23,0,2.1,230.3
405,1.97,39.04,0,2.19,230.19
420,1.96,39.22,0,2.58,230.13
435,1.94,39.93,0,2.62,230.18
450,1.95,39.87,0,2.39,230.21
465,1.93,40.49,0,2.33,230.36
480,1.95,39.83,0,2.02,230.42
495,1.97,38.93,0,2.16,230.24
510,1.96,39.1,0,2.56,230.14
525,1.95,39.82,0,2.7,230.18
540,1.94,40.36,0,2.29,230.4
555,1.96,39.85,0,2.07,230.43
570,1.98,38.88,0,2.24,230.21
585,1.96,39.19,0,2.74,230.01
600,1.94,40.23,0,2.49,230.17
615,1.97,39.64,0,2.13,230.29
630,1.97,38.94,0,2.32,230.1
645,1.97,38.95,0,2.35,230.1
660,1.96,39.17,0,2.22,230.2
675,1.97,39.14,0,2.19,230.33
690,1.97,39.08,0,2.79,230.13
705,1.95,40.28,0,2.47,230.34
720,1.95,39.93,0,1.96,230.44
735,1.97,39.0,0,2.25,230.29
750,1.97,38.85,0,2.4,230.19
765,1.98,38.78,0,2.59,230.12
780,1.95,40.23,0,2.43,230.36
