time_s,Kpv,P0,V0
0,1.92,41.61,230.39
15,1.93,40.78,230.4
30,1.94,40.66,230.41
45,1.92,41.15,230.19
60,1.93,40.78,230.31
75,1.95,39.88,230.21
90,1.95,39.93,230.22
105,1.95,39.43,230.04
120,1.93,40.27,230.03
135,1.93,40.85,230.31
150,1.95,40.2,230.4
165,1.96,39.35,230.19
180,1.94,39.84,230.13
195,1.93,40.8,230.32
210,1.94,40.3,230.44
225,1.97,39.29,230.27
240,1.94,39.87,230.15
255,1.93,40.72,230.4
270,1.96,39.87,230.38
285,1.96,39.54,230.21
300,1.97,39.2,230.11
315,1.96,39.39,229.98
330,1.96,39.33,230.01
345,1.95,39.97,230.04
360,1.95,40.45,230.29
375,1.96,39.66,230.29
390,1.97,39.23,230.3
405,1.97,39.04,230.19
420,1.96,39.22,230.13
435,1.94,39.93,230.18
450,1.95,39.87,230.21
465,1.93,40.49,230.36
480,1.95,39.83,230.42
495,1.97,38.93,230.24
510,1.96,39.1,230.14
525,1.95,39.82,230.18
540,1.94,40.36,230.4
555,1.96,39.85,230.43
570,1.98,38.88,230.21
585,1.96,39.19,230.01
600,1.94,40.23,230.17
615,1.97,39.64,230.29
630,1.97,38.94,230.1
645,1.97,38.95,230.1
660,1.96,39.17,230.2
675,1.97,39.14,230.33
690,1.97,39.08,230.13
705,1.95,40.28,230.34
720,1.95,39.93,230.44
735,1.97,39,230.29
750,1.97,38.85,230.19
765,1.98,38.78,230.12
780,1.95,40.23,230.36
