time_s,Kqv,Q0,V0
0,0,2.5,230.39
15,0,2.58,230.4
30,0,2.41,230.41
45,0,2.19,230.19
60,0,2.08,230.31
75,0,2.18,230.21
90,0,2.14,230.22
105,0,1.96,230.04
120,0,2.26,230.03
135,0,2.07,230.31
150,0,2.09,230.4
165,0,1.95,230.19
180,0,2.37,230.13
195,0,2.14,230.32
210,0,1.93,230.44
225,0,2.05,230.27
240,0,2.37,230.15
255,0,2.15,230.4
270,0,2.07,230.38
285,0,2.06,230.21
300,0,2.08,230.11
315,0,2.46,229.98
330,0,2.45,230.01
345,0,2.62,230.04
360,0,1.99,230.29
375,0,2.05,230.29
390,0,2.1,230.3
405,0,2.19,230.19
420,0,2.58,230.13
435,0,2.62,230.18
450,0,2.39,230.21
465,0,2.33,230.36
480,0,2.02,230.42
495,0,2.16,230.24
510,0,2.56,230.14
525,0,2.7,230.18
540,0,2.29,230.4
555,0,2.07,230.43
570,0,2.24,230.21
585,0,2.74,230.01
600,0,2.49,230.17
615,0,2.13,230.29
630,0,2.32,230.1
645,0,2.35,230.1
660,0,2.22,230.2
675,0,2.19,230.33
690,0,2.79,230.13
705,0,2.47,230.34
720,0,1.96,230.44
735,0,2.25,230.29
750,0,2.4,230.19
765,0,2.59,230.12
780,0,2.43,230.36
