time_s,npv,P0,nqv,Q0,V0
0,0.33,129.25,0,18.58,230.87
15,0.29,130.81,0,18.68,230.81
30,0.29,135.18,0,18.93,230.69
45,0.29,137.66,0,19.41,230.89
60,0.26,138.72,0,19.43,230.88
75,0.25,141.09,0,19.72,230.76
90,0.22,142.89,0,19.74,230.69
105,0.24,140.64,0,19.51,230.69
120,0.26,139.11,0,19.45,230.66
135,0.24,137.91,0,19.41,230.66
150,0.23,138.24,0,19.83,230.72
165,0.24,137.29,0,19.46,230.74
180,0.24,134.75,0,19.28,230.53
195,0.28,132.22,0,18.88,230.57
210,0.29,129.67,0,18.82,230.62
225,0.32,126.07,0,18.57,230.94
240,0.31,123.76,0,18.42,230.77
255,0.33,122.17,0,18.53,230.69
270,0.32,119.27,0,18.57,230.8
285,0.35,116.89,0,18.57,230.78
300,0.34,114.87,0,18.73,230.75
315,0.36,112.63,0,18.79,230.89
330,0.41,109.94,0,18.93,230.95
345,0.37,108.22,0,18.69,230.91
360,0.38,106.96,0,19.04,230.9
375,0.4,105.13,0,19.23,230.95
390,0.4,103.71,0,19.52,230.95
405,0.4,102.27,0,19.72,230.91
420,0.41,101.28,0,20.99,230.93
435,0.42,101.25,0,19.58,230.96
450,0.44,100.31,0,20.21,230.96
465,0.44,98.97,0,20.43,230.96
480,0.43,97.78,0,20.48,230.89
495,0.44,96.99,0,20.57,230.84
510,0.47,96.47,0,21.19,230.75
525,0.44,96.1,0,21.13,230.76
540,0.46,95.37,0,20.92,230.86
555,0.46,94.69,0,21.27,230.91
570,0.44,93.99,0,21.47,230.92
585,0.46,93.62,0,21.39,230.86
600,0.46,92.9,0,21.84,230.86
615,0.46,92.83,0,22.88,230.92
630,0.5,99.42,0,21.68,230.91
645,0.4,116.5,0,20.03,230.91
660,0.33,128.37,0,20.45,230.77
675,0.31,133.62,0,20.72,230.7
690,0.31,138.12,0,21.42,230.7
705,0.29,141.83,0,21.74,230.7
720,0.26,146.9,0,23.05,230.71
735,0.24,150.1,0,23.36,230.75
750,0.23,150.88,0,23.48,230.62
765,0.23,152.08,0,23.68,230.62
780,0.25,154.45,0,23.81,230.6
795,0.21,155.51,0,24.52,230.63
810,0.22,155.63,0,24.22,230.61
825,0.22,157.29,0,24.61,230.61
840,0.23,158.03,0,24.89,230.68
855,0.2,157.47,0,25.24,230.82
870,0.23,157.46,0,25.29,230.87
885,0.23,157.51,0,25.14,230.77
900,0.2,158.23,0,24.87,230.7
915,0.21,157.66,0,24.83,230.74
930,0.2,158.59,0,24.87,230.76
945,0.2,159.47,0,25.35,230.83
960,0.23,159.14,0,25.36,230.83
975,0.2,158.43,0,25.12,230.82
990,0.22,157.41,0,25.08,230.92
1005,0.21,158.46,0,25.28,230.97
1020,0.23,158.78,0,25.38,230.94
1035,0.2,160.17,0,25.58,230.85
1050,0.22,159.13,0,24.91,230.69
1065,0.2,158.38,0,25.15,230.7
1080,0.24,159.46,0,25.03,230.74
1095,0.21,158.23,0,25.23,230.87
1110,0.23,158.18,0,25.15,230.94
1125,0.2,158.64,0,24.72,230.7
1140,0.24,157.27,0,24.86,230.83
1155,0.24,157.06,0,25.16,230.96
1170,0.22,157.67,0,24.66,230.79
1185,0.23,158.34,0,24.71,230.69
1200,0.23,155.02,0,24.08,230.74
1215,0.22,155.16,0,24.64,230.86
1230,0.23,157.01,0,25.11,230.95
1245,0.24,155.63,0,24.38,230.7
1260,0.24,153.64,0,23.87,230.76
1275,0.24,155.37,0,24.52,230.94
1290,0.21,156.56,0,24.92,230.93
1305,0.24,154.05,0,23.91,230.66
1320,0.23,153.87,0,23.94,230.71
1335,0.23,154.24,0,24.38,230.87
1350,0.24,153.0,0,23.91,230.79
1365,0.25,149.89,0,23.54,230.86
1380,0.25,151.33,0,23.93,230.9
1395,0.23,152.99,0,24.01,230.83
1410,0.24,152.76,0,23.67,230.75
1425,0.25,150.57,0,23.26,230.76
1440,0.24,151.44,0,23.41,230.75
1455,0.25,150.5,0,23.4,230.71
1470,0.28,148.28,0,22.79,230.77
1485,0.26,146.88,0,22.46,230.72
1500,0.24,149.53,0,23.08,230.77
1515,0.24,152.62,0,23.66,230.64
1530,0.26,151.41,0,23.49,230.71
1545,0.27,146.58,0,22.76,230.8
1560,0.24,148.67,0,23.24,230.83
1575,0.25,151.01,0,23.22,230.68
1590,0.22,151.65,0,23.43,230.66
1605,0.26,147.85,0,23.0,230.82
1620,0.26,147.18,0,23.24,230.98
1635,0.26,150.01,0,23.6,231.0
1650,0.23,150.9,0,23.9,230.98
1665,0.23,145.61,0,22.82,230.87
1680,0.23,145.77,0,22.59,230.82
1695,0.24,147.57,0,22.94,230.72
1710,0.25,149.05,0,22.98,230.55
1725,0.28,147.5,0,22.6,230.56
1740,0.29,144.84,0,22.51,230.7
1755,0.26,145.8,0,22.81,230.76
1770,0.26,149.25,0,23.72,230.86
1785,0.25,147.99,0,23.17,230.81
1800,0.27,143.92,0,22.59,230.72
1815,0.26,142.42,0,21.97,230.6
1830,0.25,147.21,0,22.75,230.61
1845,0.28,148.04,0,23.2,230.83
1860,0.26,146.37,0,22.93,230.88
1875,0.28,143.17,0,21.79,230.66
1890,0.28,142.48,0,22.24,230.87
1905,0.26,144.7,0,22.05,230.73
1920,0.24,147.93,0,22.89,230.72
1935,0.28,146.63,0,22.89,230.95
1950,0.29,142.33,0,22.66,230.99
1965,0.28,140.78,0,21.68,230.79
1980,0.27,141.45,0,21.44,230.64
1995,0.26,145.27,0,22.01,230.66
2010,0.27,146.87,0,22.89,230.96
2025,0.27,141.69,0,21.75,230.77
2040,0.3,141.05,0,21.62,230.66
2055,0.27,141.38,0,22.16,230.85
2070,0.28,143.19,0,22.91,230.98
2085,0.25,144.85,0,22.65,230.99
2100,0.3,142.99,0,22.32,230.89
2115,0.31,139.78,0,21.41,230.63
2130,0.29,139.73,0,21.6,230.68
2145,0.3,139.57,0,21.86,230.88
2160,0.28,142.14,0,22.49,230.96
2175,0.3,144.0,0,22.55,230.98
2190,0.27,141.56,0,22.2,230.97
2205,0.35,139.45,0,21.82,230.92
2220,0.31,138.68,0,21.32,230.7
2235,0.28,138.83,0,21.33,230.61
2250,0.26,142.78,0,21.96,230.73
2265,0.3,143.94,0,22.1,230.78
2280,0.31,140.07,0,21.25,230.63
2295,0.27,138.95,0,21.51,230.81
2310,0.28,138.08,0,21.68,230.96
2325,0.32,138.85,0,21.62,230.99
2340,0.3,140.94,0,22.03,230.9
2355,0.26,141.64,0,22.13,230.88
2370,0.27,140.92,0,22.01,230.87
2385,0.31,138.68,0,21.69,230.7
2400,0.3,138.97,0,21.87,230.72
2415,0.3,137.93,0,21.67,230.85
2430,0.29,138.74,0,21.45,230.78
2445,0.26,138.95,0,21.67,230.75
2460,0.31,139.32,0,21.48,230.55
2475,0.3,137.63,0,21.38,230.48
2490,0.3,137.79,0,21.44,230.47
2505,0.33,136.94,0,21.45,230.48
2520,0.31,136.88,0,21.17,230.58
2535,0.3,137.63,0,21.08,230.53
2550,0.32,136.8,0,21.27,230.47
2565,0.33,136.63,0,21.24,230.63
2580,0.3,137.68,0,21.99,230.83
2595,0.31,137.69,0,21.55,230.78
2610,0.31,138.25,0,21.16,230.51
2625,0.32,138.38,0,21.67,230.67
2640,0.32,136.53,0,21.45,230.81
2655,0.3,135.45,0,21.13,230.76
2670,0.31,135.58,0,20.85,230.61
2685,0.28,136.75,0,21.16,230.47
2700,0.3,137.43,0,21.51,230.65
2715,0.32,136.93,0,21.52,230.76
2730,0.31,136.43,0,21.8,230.82
2745,0.32,136.08,0,21.17,230.77
2760,0.33,135.56,0,21.23,230.68
2775,0.33,134.99,0,20.99,230.55
2790,0.32,136.17,0,21.11,230.47
2805,0.31,135.44,0,21.51,230.81
2820,0.32,135.19,0,21.08,230.76
2835,0.31,135.53,0,20.99,230.55
2850,0.32,135.92,0,21.24,230.62
2865,0.33,135.22,0,21.51,230.78
2880,0.35,134.03,0,20.8,230.47
2895,0.33,135.02,0,21.11,230.62
2910,0.33,133.42,0,21.65,230.8
2925,0.33,134.09,0,20.99,230.78
2940,0.33,133.46,0,20.98,230.77
2955,0.32,133.84,0,21.02,230.69
2970,0.33,134.68,0,20.94,230.48
2985,0.31,133.9,0,21.06,230.49
3000,0.33,133.93,0,20.84,230.48
3015,0.34,133.88,0,20.0,230.5
3030,0.33,132.91,0,20.74,230.49
3045,0.34,132.98,0,20.98,230.55
3060,0.33,134.4,0,21.04,230.64
3075,0.32,133.44,0,21.16,230.78
3090,0.32,133.34,0,21.53,230.82
3105,0.31,133.53,0,21.14,230.83
3120,0.33,133.29,0,21.3,230.83
3135,0.33,132.17,0,20.73,230.78
