time_s,nqv,Q0,V0
0,0,18.58,230.87
15,0,18.68,230.81
30,0,18.93,230.69
45,0,19.41,230.89
60,0,19.43,230.88
75,0,19.72,230.76
90,0,19.74,230.69
105,0,19.51,230.69
120,0,19.45,230.66
135,0,19.41,230.66
150,0,19.83,230.72
165,0,19.46,230.74
180,0,19.28,230.53
195,0,18.88,230.57
210,0,18.82,230.62
225,0,18.57,230.94
240,0,18.42,230.77
255,0,18.53,230.69
270,0,18.57,230.8
285,0,18.57,230.78
300,0,18.73,230.75
315,0,18.79,230.89
330,0,18.93,230.95
345,0,18.69,230.91
360,0,19.04,230.9
375,0,19.23,230.95
390,0,19.52,230.95
405,0,19.72,230.91
420,0,20.99,230.93
435,0,19.58,230.96
450,0,20.21,230.96
465,0,20.43,230.96
480,0,20.48,230.89
495,0,20.57,230.84
510,0,21.19,230.75
525,0,21.13,230.76
540,0,20.92,230.86
555,0,21.27,230.91
570,0,21.47,230.92
585,0,21.39,230.86
600,0,21.84,230.86
615,0,22.88,230.92
630,0,21.68,230.91
645,0,20.03,230.91
660,0,20.45,230.77
675,0,20.72,230.7
690,0,21.42,230.7
705,0,21.74,230.7
720,0,23.05,230.71
735,0,23.36,230.75
750,0,23.48,230.62
765,0,23.68,230.62
780,0,23.81,230.6
795,0,24.52,230.63
810,0,24.22,230.61
825,0,24.61,230.61
840,0,24.89,230.68
855,0,25.24,230.82
870,0,25.29,230.87
885,0,25.14,230.77
900,0,24.87,230.7
915,0,24.83,230.74
930,0,24.87,230.76
945,0,25.35,230.83
960,0,25.36,230.83
975,0,25.12,230.82
990,0,25.08,230.92
1005,0,25.28,230.97
1020,0,25.38,230.94
1035,0,25.58,230.85
1050,0,24.91,230.69
1065,0,25.15,230.7
1080,0,25.03,230.74
1095,0,25.23,230.87
1110,0,25.15,230.94
1125,0,24.72,230.7
1140,0,24.86,230.83
1155,0,25.16,230.96
1170,0,24.66,230.79
1185,0,24.71,230.69
1200,0,24.08,230.74
1215,0,24.64,230.86
1230,0,25.11,230.95
1245,0,24.38,230.7
1260,0,23.87,230.76
1275,0,24.52,230.94
1290,0,24.92,230.93
1305,0,23.91,230.66
1320,0,23.94,230.71
1335,0,24.38,230.87
1350,0,23.91,230.79
1365,0,23.54,230.86
1380,0,23.93,230.9
1395,0,24.01,230.83
1410,0,23.67,230.75
1425,0,23.26,230.76
1440,0,23.41,230.75
1455,0,23.4,230.71
1470,0,22.79,230.77
1485,0,22.46,230.72
1500,0,23.08,230.77
1515,0,23.66,230.64
1530,0,23.49,230.71
1545,0,22.76,230.8
1560,0,23.24,230.83
1575,0,23.22,230.68
1590,0,23.43,230.66
1605,0,23,230.82
1620,0,23.24,230.98
1635,0,23.6,231
1650,0,23.9,230.98
1665,0,22.82,230.87
1680,0,22.59,230.82
1695,0,22.94,230.72
1710,0,22.98,230.55
1725,0,22.6,230.56
1740,0,22.51,230.7
1755,0,22.81,230.76
1770,0,23.72,230.86
1785,0,23.17,230.81
1800,0,22.59,230.72
1815,0,21.97,230.6
1830,0,22.75,230.61
1845,0,23.2,230.83
1860,0,22.93,230.88
1875,0,21.79,230.66
1890,0,22.24,230.87
1905,0,22.05,230.73
1920,0,22.89,230.72
1935,0,22.89,230.95
1950,0,22.66,230.99
1965,0,21.68,230.79
1980,0,21.44,230.64
1995,0,22.01,230.66
2010,0,22.89,230.96
2025,0,21.75,230.77
2040,0,21.62,230.66
2055,0,22.16,230.85
2070,0,22.91,230.98
2085,0,22.65,230.99
2100,0,22.32,230.89
2115,0,21.41,230.63
2130,0,21.6,230.68
2145,0,21.86,230.88
2160,0,22.49,230.96
2175,0,22.55,230.98
2190,0,22.2,230.97
2205,0,21.82,230.92
2220,0,21.32,230.7
2235,0,21.33,230.61
2250,0,21.96,230.73
2265,0,22.1,230.78
2280,0,21.25,230.63
2295,0,21.51,230.81
2310,0,21.68,230.96
2325,0,21.62,230.99
2340,0,22.03,230.9
2355,0,22.13,230.88
2370,0,22.01,230.87
2385,0,21.69,230.7
2400,0,21.87,230.72
2415,0,21.67,230.85
2430,0,21.45,230.78
2445,0,21.67,230.75
2460,0,21.48,230.55
2475,0,21.38,230.48
2490,0,21.44,230.47
2505,0,21.45,230.48
2520,0,21.17,230.58
2535,0,21.08,230.53
2550,0,21.27,230.47
2565,0,21.24,230.63
2580,0,21.99,230.83
2595,0,21.55,230.78
2610,0,21.16,230.51
2625,0,21.67,230.67
2640,0,21.45,230.81
2655,0,21.13,230.76
2670,0,20.85,230.61
2685,0,21.16,230.47
2700,0,21.51,230.65
2715,0,21.52,230.76
2730,0,21.8,230.82
2745,0,21.17,230.77
2760,0,21.23,230.68
2775,0,20.99,230.55
2790,0,21.11,230.47
2805,0,21.51,230.81
2820,0,21.08,230.76
2835,0,20.99,230.55
2850,0,21.24,230.62
2865,0,21.51,230.78
2880,0,20.8,230.47
2895,0,21.11,230.62
2910,0,21.65,230.8
2925,0,20.99,230.78
2940,0,20.98,230.77
2955,0,21.02,230.69
2970,0,20.94,230.48
2985,0,21.06,230.49
3000,0,20.84,230.48
3015,0,20,230.5
3030,0,20.74,230.49
3045,0,20.98,230.55
3060,0,21.04,230.64
3075,0,21.16,230.78
3090,0,21.53,230.82
3105,0,21.14,230.83
3120,0,21.3,230.83
3135,0,20.73,230.78
3150,0,20.75,230.55
3165,0,20.78,230.5
3180,0,20.71,230.66
3195,0,20.58,230.66
3210,0,20.34,230.71
3225,0,18.45,230.64
3240,0,18.19,230.65
3255,0,18.4,230.77
3270,0,20.83,230.85
3285,0,20.35,230.73
3300,0,20.43,230.65
3315,0,21.15,230.64
3330,0,20.52,230.65
3345,0,21.07,230.66
3360,0,20.97,230.67
3375,0,21.22,230.71
3390,0,21.49,230.94
3405,0,21.28,230.91
3420,0,21.33,230.65
3435,0,21.4,230.82
3450,0,21.91,230.98
3465,0,21.09,230.83
3480,0,21.09,230.7
3495,0,21.05,230.64
3510,0,21.02,230.78
3525,0,21.25,230.99
3540,0,21.08,230.94
3555,0,20.86,230.8
3570,0,20.72,230.68
3585,0,20.76,230.64
3600,0,20.79,230.74
3615,0,21.21,230.99
3630,0,20.78,230.92
3645,0,20.6,230.71
3660,0,20.89,230.71
3675,0,20.49,230.73
3690,0,20.69,230.67
3705,0,20.41,230.75
3720,0,20.93,230.95
3735,0,21.05,230.97
3750,0,20.74,230.82
3765,0,20.54,230.68
3780,0,20.49,230.65
