time_s,nqv,Q0,V0
0,1.51,56.6,230.41
15,1.74,51.95,230.21
30,1.78,51.34,230.46
45,1.72,51.66,230.28
60,1.69,51.64,229.95
75,1.66,52.55,230.24
90,1.62,53.18,230.32
105,1.61,53.67,229.97
120,1.56,53.46,230.17
135,1.63,53.75,230.4
150,1.61,54.65,230.18
165,1.5,54.42,230.01
180,1.65,55.19,230.38
195,1.62,54.92,230.1
210,1.57,54.5,230.05
225,1.55,55.06,230.38
240,1.66,55.14,230
255,1.56,55.07,230.11
270,1.54,55.22,230.38
285,1.63,55.35,230.19
300,1.55,55.54,229.97
315,1.55,54.64,229.97
330,1.54,54.88,230.03
345,1.57,55.3,230.27
360,1.52,55.71,230.38
375,1.51,55.48,230
390,1.62,55.63,230.3
405,1.61,55.59,230.13
420,1.12,81.73,229.96
435,0.95,73.54,230.33
450,1.07,73.02,230.22
465,0.93,76.47,230.01
480,1.06,74.14,230.63
495,1.08,75.09,230.35
510,0.84,75.71,230.42
525,1.16,76.14,230.46
540,0.82,79.54,230.41
555,0.98,76.46,230.59
570,1.22,76.57,230.23
585,0.72,77.19,230.46
600,1.01,76.96,230.5
615,1.21,77.12,230.18
630,0.89,81.29,230.6
645,1.1,78.14,230.43
660,0.86,77.18,230.2
675,0.88,80.02,230.51
690,0.99,78.4,230.63
705,0.84,78.47,230.58
720,0.95,82.4,230.44
735,1.06,78.61,230.48
750,0.58,78.54,230.54
765,1.01,81.1,230.62
780,0.77,78.95,230.64
795,0.9,78.33,230.46
810,1.13,78.7,230.4
825,0.9,77.96,230.22
840,0.77,80.03,230.35
855,1.1,78.11,230.65
870,1.17,80.71,230.48
885,0.74,77.99,230.24
900,1.09,77.38,230.27
915,0.61,78.32,230.31
930,0.95,77.58,230.21
945,1.13,78.27,230.33
960,0.8,77.71,230.54
975,1.07,80.19,230.57
990,0.83,77.29,230.44
1005,0.85,80.73,230.44
1020,1.01,77.6,230.55
1035,0.99,81.19,230.5
1050,0.95,77.04,230.34
1065,1.28,79.91,230.3
1080,0.77,76.77,230.32
1095,1.13,78.81,230.58
1110,0.97,76.29,230.64
1125,0.89,77.28,230.66
1140,1.19,77.62,230.66
1155,1.16,79.21,230.62
1170,0.87,78.03,230.54
1185,1.18,76.22,230.52
1200,0.97,76.06,230.64
1215,1,78.32,230.59
1230,1.18,75.74,230.49
1245,1.03,77.22,230.52
1260,1.01,75.48,230.53
1275,1.04,75.96,230.65
1290,1.01,77.41,230.58
1305,1.18,75.48,230.43
1320,1.19,76.14,230.44
1335,0.94,75.42,230.4
1350,1.2,74.57,230.42
1365,1.05,73.6,230.5
1380,1.06,73.5,230.5
1395,1.28,73.98,230.4
1410,1.06,73.92,230.51
1425,1.24,74.42,230.47
1440,1.24,73.5,230.31
1455,1.1,74.61,230.18
1470,1.29,71.78,230.13
1485,1.13,72.94,230.29
1500,1.17,73.15,230.51
1515,1.33,72.82,230.55
1530,1.09,73.41,230.64
1545,1.01,71.64,230.65
1560,1.35,71.76,230.63
1575,1.03,71.24,230.63
1590,1.26,71.88,230.63
1605,1.23,72.26,230.51
1620,1.09,72.99,230.31
1635,1.31,72.09,230.23
1650,1.08,72.25,230.21
1665,0.89,71.42,230.49
1680,1.2,71.91,230.57
1695,1.02,72.59,230.64
1710,1.15,71.53,230.59
1725,1.33,70.63,230.25
1740,1.02,71.6,230.43
1755,1.25,70.38,230.63
1770,1.27,70.15,230.27
1785,0.87,70.16,230.25
1800,1.39,71.42,230.47
1815,1.1,72.51,230.66
1830,1.11,70.19,230.6
1845,1.19,71.56,230.26
1860,0.94,70.21,230.33
1875,1.23,70.95,230.69
1890,1.29,70.07,230.52
1905,0.99,69.32,230.18
1920,1.34,69.95,230.42
1935,1.04,71.79,230.68
1950,1.27,70.33,230.63
1965,1.31,69.5,230.69
1980,1,69.64,230.64
1995,1.11,71.94,230.6
2010,1.34,69.13,230.66
2025,0.97,70.1,230.7
2040,1.4,69.34,230.7
2055,1.28,68.96,230.7
2070,1.04,70.38,230.69
2085,1.25,69.16,230.69
2100,1.23,69.65,230.7
2115,1.18,69.13,230.69
2130,1.33,71.33,230.59
2145,1.17,68.75,230.31
2160,1.13,68.94,230.19
2175,1.34,69.47,230.18
2190,1.19,71.04,230.35
2205,1.13,68.76,230.43
2220,1.08,69.72,230.67
2235,1.05,68.2,230.42
2250,1.27,68.44,230.29
2265,1.11,69.62,230.42
2280,1.24,68.39,230.63
2295,1.3,67.98,230.67
2310,1.1,67.87,230.57
2325,1.24,70.61,230.57
2340,1.23,68.38,230.26
2355,1.14,70.16,230.1
2370,1.49,68.28,230.07
2385,0.99,68.74,230.13
2400,1.13,69.56,230.09
2415,1.16,68.58,230.08
2430,0.98,69.91,230.19
2445,1.27,68.16,230.19
2460,1.09,67.74,230.08
2475,1.1,68.8,230.27
2490,1.21,68.66,230.63
2505,1.12,67.69,230.16
2520,0.95,70.24,230.69
2535,1.32,69.01,230.27
2550,1.2,67.77,230.18
2565,1.11,67.57,230.35
2580,1.13,69.06,230.68
2595,1.1,67.55,230.63
2610,1.13,67.82,230.38
2625,1.46,69.17,230.19
2640,1.28,67.5,230.69
2655,1.41,67.53,230.36
2670,1.1,68.54,230.16
2685,1.28,67.2,230.24
2700,1.35,67.81,230.29
2715,1.12,68.11,230.59
2730,1.44,67.02,230.65
2745,1.32,67.08,230.3
2760,0.96,66.99,230.16
2775,1.44,66.98,230.22
2790,1.15,66.64,230.28
2805,1.3,66.4,230.26
2820,1.17,66.76,230.54
2835,1.25,69.09,230.71
2850,1.36,66.83,230.58
2865,1.02,66.63,230.25
2880,1.22,68.17,230.21
2895,1.43,66.8,230.65
2910,1.28,66.73,230.69
2925,1.21,68.35,230.48
2940,1.28,66.65,230.27
2955,1.33,68.28,230.17
2970,1.16,66.49,230.16
2985,1.48,68.22,230.17
3000,0.99,66.34,230.07
3015,1.35,67.29,230.07
3030,1.12,66.45,230.18
3045,1.11,66.41,230.45
3060,1.49,68.64,230.5
3075,1.06,66.95,230.6
3090,1.23,66.88,230.53
3105,1.58,68.07,230.42
3120,1.05,66.66,230.52
3135,1.41,68.26,230.61
3150,1.31,66.57,230.58
3165,1.11,67.3,230.4
3180,1.21,66.32,230.1
3195,1.08,66,230.22
3210,1.3,66.01,230.42
3225,1.17,66.27,230.56
3240,1.25,66.24,230.08
3255,0.97,65.84,230.16
3270,1.29,68.01,230.45
3285,0.91,66.23,230.6
3300,1.31,68.42,230.39
3315,1.26,65.99,230.08
3330,1.17,67.08,230.08
3345,1.2,65.79,230.23
3360,1.19,66.83,230.44
3375,1.03,66.04,230.55
3390,1.11,66.61,230.59
3405,1.29,67.55,230.38
3420,1.1,65.55,230.13
3435,1.17,65.67,230.45
3450,1.05,66.14,230.59
3465,1.37,65.67,230.12
3480,1.28,65.66,230.41
3495,1.2,67.45,230.48
3510,1.05,65.76,230.11
3525,1.14,67.51,230.14
3540,1.15,65.35,230.43
3555,1.21,66.77,230.44
3570,1.11,65.4,230.55
3585,1.18,66.02,230.52
3600,1.24,66.03,230.5
3615,1.14,66.64,230.48
3630,1.3,65.76,230.54
3645,1.15,65.74,230.42
3660,1.1,65.36,230.21
3675,1.25,65.56,230.11
3690,1.09,65.08,230.11
3705,1.16,65.43,230.16
3720,1.24,65.31,230.32
3735,1.12,65.31,230.33
