time_s,npv,P0,nqv,Q0,V0
0,0,553.52,1.8,114.07,230.52
15,0,551.33,1.81,113.63,230.48
30,0,550.53,1.79,113.6,230.48
45,0,550.45,1.8,113.71,230.49
60,0,551.94,1.81,113.88,230.49
75,0,552.28,1.8,113.53,230.48
90,0,552.07,1.8,113.42,230.5
105,0,551.25,1.79,113.84,230.54
120,0,551.2,1.8,114.1,230.55
135,0,550.43,1.8,114.0,230.56
150,0,550.06,1.79,113.96,230.56
165,0,548.8,1.79,113.39,230.54
180,0,548.43,1.79,112.91,230.49
195,0,547.93,1.79,112.78,230.48
210,0,546.37,1.8,112.57,230.49
225,0,545.12,1.79,112.35,230.49
240,0,545.05,1.79,112.76,230.49
255,0,543.59,1.79,112.95,230.53
270,0,542.78,1.78,112.85,230.53
285,0,541.46,1.79,112.91,230.55
300,0,541.06,1.79,112.91,230.54
