time_s,npv,P0,nqv,Q0,V0
0,0.88,1948.49,1.77,273.72,230.31
15,0.91,1956.22,1.78,275.22,230.18
30,0.92,1957.11,1.78,275.7,230.21
45,0.96,1954.97,1.78,276.29,230.28
60,0.89,1961.04,1.77,277.29,230.36
75,0.95,1956.24,1.79,277.34,230.37
90,1.0,1955.37,1.8,276.12,230.37
105,0.99,1957.74,1.79,277.67,230.46
120,0.89,1964.35,1.75,278.7,230.5
135,0.95,1957.04,1.77,279.59,230.36
150,0.95,1956.66,1.77,280.23,230.21
165,1.04,1955.91,1.79,280.32,230.41
180,1.01,1952.28,1.77,282.56,230.34
195,1.05,1954.02,1.78,284.14,230.17
210,1.04,1953.92,1.77,285.79,230.09
225,1.04,1937.21,1.76,287.17,230.11
240,1.02,1939.69,1.76,287.07,230.21
255,1.06,1938.76,1.78,289.04,230.47
270,1.01,1939.52,1.76,289.25,230.53
285,1.03,1937.0,1.79,289.47,230.5
300,1.04,1934.16,1.77,287.9,230.39
315,1.04,1938.5,1.78,287.41,230.46
330,1.05,1934.94,1.78,286.99,230.56
345,1.06,1937.02,1.79,287.32,230.67
360,1.02,1936.6,1.77,287.1,230.68
375,1.04,1931.85,1.76,287.57,230.67
390,1.09,1933.48,1.79,288.68,230.55
405,0.97,1930.39,1.75,288.62,230.56
420,1.0,1933.85,1.76,288.96,230.56
435,1.04,1932.98,1.76,288.85,230.43
450,1.04,1931.87,1.77,289.51,230.27
465,0.99,1925.72,1.75,289.09,230.3
480,0.98,1935.78,1.75,288.42,230.54
495,0.97,1938.75,1.75,287.84,230.68
510,1.0,1941.08,1.76,288.32,230.65
525,0.99,1932.49,1.75,287.85,230.44
540,1.05,1936.3,1.79,288.06,230.41
555,1.02,1934.42,1.77,287.91,230.45
570,1.03,1931.54,1.77,288.3,230.38
585,0.98,1933.65,1.76,287.55,230.48
600,1.01,1930.47,1.76,288.95,230.44
