time_s,Kpv,P0,V0
0,0.88,1948.49,230.31
15,0.91,1956.22,230.18
30,0.92,1957.11,230.21
45,0.96,1954.97,230.28
60,0.89,1961.04,230.36
75,0.95,1956.24,230.37
90,1,1955.37,230.37
105,0.99,1957.74,230.46
120,0.89,1964.35,230.5
135,0.95,1957.04,230.36
150,0.95,1956.66,230.21
165,1.04,1955.91,230.41
180,1.01,1952.28,230.34
195,1.05,1954.02,230.17
210,1.04,1953.92,230.09
225,1.04,1937.21,230.11
240,1.02,1939.69,230.21
255,1.06,1938.76,230.47
270,1.01,1939.52,230.53
285,1.03,1937,230.5
300,1.04,1934.16,230.39
315,1.04,1938.5,230.46
330,1.05,1934.94,230.56
345,1.06,1937.02,230.67
360,1.02,1936.6,230.68
375,1.04,1931.85,230.67
390,1.09,1933.48,230.55
405,0.97,1930.39,230.56
420,1,1933.85,230.56
435,1.04,1932.98,230.43
450,1.04,1931.87,230.27
465,0.99,1925.72,230.3
480,0.98,1935.78,230.54
495,0.97,1938.75,230.68
510,1,1941.08,230.65
525,0.99,1932.49,230.44
540,1.05,1936.3,230.41
555,1.02,1934.42,230.45
570,1.03,1931.54,230.38
585,0.98,1933.65,230.48
600,1.01,1930.47,230.44
