time_s,npv,P0,V0
0,0,64.77,230.51
15,0,64.73,230.21
30,0,64.15,230.45
45,0,64.17,230.6
60,0,64.28,230.22
75,0,63.49,230.62
90,0,63.78,230.53
105,0,63.83,230.22
120,0,63.18,230.39
135,0,62.81,230.69
150,0,63.17,230.42
165,0,63.07,230.21
180,0,62.48,230.36
195,0,61.99,230.64
210,0,61.99,230.67
225,0,61.98,230.62
240,0,61.82,230.61
255,0,61.98,230.39
270,0,61.91,230.29
285,0,61.44,230.55
300,0,61.07,230.66
315,0,60.83,230.68
330,0,60.61,230.69
345,0,60.47,230.55
360,0,60.31,230.55
375,0,60.21,230.54
390,0,60.02,230.68
405,0,60.06,230.68
420,0,59.89,230.69
435,0,59.73,230.56
450,0,59.67,230.5
465,0,59.47,230.67
480,0,59.46,230.69
495,0,59.56,230.62
510,0,59.34,230.67
525,0,59.11,230.6
540,0,59.31,230.37
555,0,59.32,230.35
570,0,59.12,230.51
585,0,59.05,230.68
600,0,59.41,230.56
615,0,59.64,230.25
630,0,59.09,230.38
645,0,59.01,230.66
660,0,59.44,230.21
675,0,58.84,230.43
690,0,58.66,230.69
705,0,59.23,230.32
720,0,58.76,230.33
735,0,58.35,230.69
750,0,58.98,230.25
765,0,58.18,230.68
780,0,58.84,230.24
795,0,58.05,230.62
810,0,58.66,230.37
825,0,58.14,230.4
840,0,57.98,230.69
855,0,58.5,230.33
