time_s,npv,P0,nqv,Q0,V0
0,0,66.06,0.8,30.47,230.84
15,0,65.42,0.74,30.4,230.96
30,0,65.45,0.76,31.18,230.73
45,0,66.01,0.74,30.93,230.69
60,0,66.24,0.78,30.64,230.87
75,0,65.64,0.85,30.5,230.96
90,0,65.49,0.77,30.84,230.85
105,0,65.67,0.79,31.07,230.7
120,0,65.78,0.85,31.0,230.68
135,0,65.81,0.86,31.21,230.67
150,0,66.37,0.8,31.12,230.7
165,0,66.4,0.77,30.83,230.77
180,0,66.08,0.89,31.26,230.66
195,0,65.74,0.76,31.36,230.69
210,0,65.7,0.74,31.41,230.71
225,0,65.99,0.76,31.25,230.76
240,0,65.51,0.78,30.62,230.92
255,0,65.53,0.79,30.53,230.92
270,0,65.55,0.81,30.82,230.92
285,0,65.46,0.8,31.0,230.8
300,0,65.78,0.83,31.2,230.7
315,0,65.83,0.77,31.13,230.73
330,0,65.8,0.8,30.85,230.9
345,0,65.56,0.79,30.59,230.94
360,0,65.73,0.84,31.24,230.8
375,0,65.69,0.71,31.11,230.73
390,0,66.11,0.81,31.15,230.67
405,0,66.12,0.84,31.34,230.7
420,0,65.56,0.82,30.76,230.87
435,0,65.87,0.83,30.67,230.95
450,0,66.03,0.81,30.49,230.95
465,0,65.68,0.88,30.76,230.92
480,0,65.74,0.81,31.03,230.77
495,0,66.32,0.81,31.22,230.64
510,0,66.76,0.81,30.82,230.78
525,0,65.95,0.81,30.59,230.95
540,0,66.15,0.75,31.33,230.67
555,0,66.84,0.86,30.75,230.83
570,0,66.08,0.84,30.66,230.94
585,0,65.94,0.83,31.23,230.72
