time_s,Kpv,P0,V0
0,0,66.06,230.84
15,0,65.42,230.96
30,0,65.45,230.73
45,0,66.01,230.69
60,0,66.24,230.87
75,0,65.64,230.96
90,0,65.49,230.85
105,0,65.67,230.7
120,0,65.78,230.68
135,0,65.81,230.67
150,0,66.37,230.7
165,0,66.4,230.77
180,0,66.08,230.66
195,0,65.74,230.69
210,0,65.7,230.71
225,0,65.99,230.76
240,0,65.51,230.92
255,0,65.53,230.92
270,0,65.55,230.92
285,0,65.46,230.8
300,0,65.78,230.7
315,0,65.83,230.73
330,0,65.8,230.9
345,0,65.56,230.94
360,0,65.73,230.8
375,0,65.69,230.73
390,0,66.11,230.67
405,0,66.12,230.7
420,0,65.56,230.87
435,0,65.87,230.95
450,0,66.03,230.95
465,0,65.68,230.92
480,0,65.74,230.77
495,0,66.32,230.64
510,0,66.76,230.78
525,0,65.95,230.95
540,0,66.15,230.67
555,0,66.84,230.83
570,0,66.08,230.94
585,0,65.94,230.72
