time_s,Kqv,Q0,V0
0,0.8,30.47,230.84
15,0.74,30.4,230.96
30,0.76,31.18,230.73
45,0.74,30.93,230.69
60,0.78,30.64,230.87
75,0.85,30.5,230.96
90,0.77,30.84,230.85
105,0.79,31.07,230.7
120,0.85,31,230.68
135,0.86,31.21,230.67
150,0.8,31.12,230.7
165,0.77,30.83,230.77
180,0.89,31.26,230.66
195,0.76,31.36,230.69
210,0.74,31.41,230.71
225,0.76,31.25,230.76
240,0.78,30.62,230.92
255,0.79,30.53,230.92
270,0.81,30.82,230.92
285,0.8,31,230.8
300,0.83,31.2,230.7
315,0.77,31.13,230.73
330,0.8,30.85,230.9
345,0.79,30.59,230.94
360,0.84,31.24,230.8
375,0.71,31.11,230.73
390,0.81,31.15,230.67
405,0.84,31.34,230.7
420,0.82,30.76,230.87
435,0.83,30.67,230.95
450,0.81,30.49,230.95
465,0.88,30.76,230.92
480,0.81,31.03,230.77
495,0.81,31.22,230.64
510,0.81,30.82,230.78
525,0.81,30.59,230.95
540,0.75,31.33,230.67
555,0.86,30.75,230.83
570,0.84,30.66,230.94
585,0.83,31.23,230.72
