time_s,nqv,Q0,V0
0,0,12.15,230.02
15,0,12.09,229.93
30,0,11.99,229.87
45,0,11.95,229.96
60,0,11.98,229.91
75,0,12.01,229.86
90,0,11.98,229.89
105,0,12.03,230.07
120,0,11.97,230.14
135,0,11.97,229.87
150,0,12.04,230.08
165,0,12.01,230.11
180,0,12.02,229.87
195,0,12.01,229.96
210,0,12.02,230.15
225,0,12.03,229.97
240,0,12,229.86
255,0,12,230.12
270,0,12.08,230.04
285,0,12.06,229.87
300,0,12.04,229.91
315,0,12,230.07
330,0,12.08,230.1
345,0,12.04,230.11
360,0,12.08,230.16
375,0,12.07,230.15
390,0,12.07,230.01
405,0,12.11,229.88
420,0,12.13,229.97
435,0,12.09,230.11
450,0,12.08,230.15
465,0,12.05,230.16
480,0,12.1,230.08
495,0,12.01,230.07
510,0,12.07,229.95
525,0,12.09,229.87
540,0,12.09,229.99
555,0,12.14,230.05
570,0,12.1,230.11
585,0,12.03,230.02
600,0,12.05,229.93
615,0,12.11,229.87
630,0,12.11,230.03
645,0,12.12,230.17
660,0,12.1,230.08
675,0,12.04,229.89
690,0,12.09,230.05
705,0,12.09,230.08
720,0,12.06,229.87
735,0,12.08,229.91
750,0,12.1,229.95
765,0,12.06,230.13
780,0,12.11,230.04
795,0,12.09,229.89
810,0,12.13,230.15
825,0,12.09,230
840,0,12.09,229.88
855,0,11.34,230.01
870,0,11.34,230.17
885,0,11.34,230.09
900,0,11.33,229.95
915,0,11.32,229.87
930,0,11.33,229.93
945,0,11.34,230.1
960,0,11.34,230.15
975,0,11.33,229.93
990,0,11.33,229.95
1005,0,11.34,230.1
1020,0,11.35,230.17
1035,0,11.34,230.08
1050,0,11.34,229.97
1065,0,11.34,229.92
1080,0,11.33,229.89
1095,0,11.32,229.9
1110,0,11.33,230.08
1125,0,11.34,230.01
1140,0,11.33,229.96
1155,0,11.33,229.92
1170,0,11.33,229.96
1185,0,11.34,230.07
1200,0,11.34,230.09
1215,0,11.34,230.02
1230,0,11.34,229.9
1245,0,11.34,229.98
1260,0,11.35,230.17
1275,0,11.35,230.15
1290,0,11.34,230.1
1305,0,11.33,229.99
1320,0,11.34,229.88
1335,0,11.35,229.91
1350,0,11.34,230
1365,0,11.35,230.17
1380,0,11.33,229.96
1395,0,11.35,230.14
1410,0,11.34,230.02
1425,0,11.34,229.88
1440,0,11.35,230.04
1455,0,11.36,230.13
1470,0,11.36,230.14
1485,0,11.36,230.05
1500,0,11.36,230.07
1515,0,11.35,229.98
1530,0,11.35,229.95
1545,0,11.34,229.87
1560,0,11.33,229.88
1575,0,11.35,230.11
1590,0,11.35,230.12
1605,0,11.34,229.93
1620,0,11.34,229.88
1635,0,11.34,229.92
1650,0,11.34,230.05
1665,0,11.36,230.11
1680,0,11.35,230.11
1695,0,11.36,230.14
1710,0,11.34,229.9
1725,0,11.35,229.92
1740,0,11.35,230.07
1755,0,11.35,230.09
1770,0,11.35,230.03
1785,0,11.36,229.92
1800,0,11.34,229.89
1815,0,11.36,229.96
1830,0,11.36,230.14
1845,0,11.36,230.17
1860,0,11.36,230.06
1875,0,11.38,230.14
1890,0,11.36,230.11
1905,0,11.35,229.96
1920,0,11.35,229.89
1935,0,11.36,230.08
1950,0,11.36,230.17
1965,0,11.36,230.15
1980,0,11.37,230.17
1995,0,11.35,230.17
2010,0,11.36,230.13
2025,0,11.35,230.06
2040,0,11.37,230.13
2055,0,11.37,230.08
2070,0,11.35,229.89
2085,0,11.35,229.97
