time_s,npv,P0,nqv,Q0,V0
0,1.98,3610.76,2.91,51.49,230.76
15,1.98,3620.86,2.91,51.09,230.76
30,1.98,3338.23,2.92,50.99,230.49
45,1.98,3328.23,2.99,51.27,230.72
60,1.98,3534.3,2.91,52.99,230.9
75,1.98,3567.51,2.94,49.86,230.66
90,1.98,3325.71,2.95,50.62,230.7
105,1.98,3333.8,2.95,51.34,230.91
120,1.98,3529.85,2.86,50.03,230.73
135,1.98,3573.49,2.93,48.74,230.76
150,1.98,3337.15,2.93,50.75,230.91
165,1.98,3330.21,2.95,49.82,230.69
180,1.98,3539.05,2.91,49.07,230.8
195,1.98,3577.71,2.92,48.99,230.93
210,1.98,3329.59,2.96,48.99,230.64
225,1.98,3330.86,2.96,48.53,230.65
240,1.98,3543.92,2.94,50.03,230.93
255,1.98,3575.21,2.95,48.65,230.89
270,1.98,3333.7,2.98,49.29,230.79
285,1.98,3330.86,2.97,48.77,230.69
300,1.98,3537.03,2.98,47.9,230.64
315,1.98,3570.07,2.95,46.88,230.75
330,1.98,3336.13,2.99,49.05,230.87
345,1.98,3328.67,3.03,47.49,230.61
360,1.98,3548.06,2.92,48.88,230.93
375,1.98,3570.46,2.95,47.44,230.84
390,1.98,3328.5,3.04,47.25,230.61
405,1.98,3336.93,2.94,48.33,230.88
420,1.98,3543.32,2.94,48.44,230.73
435,,326.56,2.94,55.02,230.25
450,,407.81,2.94,32.01,230.48
465,1.95,296.03,2.34,22.79,230.16
480,1.75,53.2,2.3,24.06,230.42
495,1.74,51.88,2.05,23.69,230.13
510,,299.49,2.26,22.93,230.38
525,1.95,296.92,2.26,23.36,230.43
540,1.75,51.89,2.42,23.48,230.11
555,1.74,53.12,2.42,23.92,230.4
570,,297.91,2.42,23.15,230.31
585,1.95,296.37,2.2,22.49,230.19
600,1.73,52.98,2.31,24.12,230.42
615,1.77,51.75,2.36,24.0,230.28
630,,297.7,2.36,22.59,230.15
645,1.95,296.66,2.14,22.84,230.25
660,1.75,53.04,2.27,23.83,230.36
675,1.75,52.95,2.26,24.27,230.43
690,,283.61,2.26,24.45,230.45
705,,597.51,1.54,22.59,230.41
720,1.76,52.97,2.23,23.57,230.32
