time_s,npv,P0,nqv,Q0,V0
0,4.89,337.07,3.67,412.72,230.24
15,5.02,337.33,3.85,413.38,230.33
30,4.79,325.36,3.58,395.69,230.48
45,4.93,337.21,3.77,412.32,230.65
60,4.8,340.08,3.55,415.98,230.66
75,4.97,334.62,3.78,408.52,230.62
90,4.85,337.4,3.6,413.53,230.3
105,4.8,337.8,3.51,414.98,230.27
120,4.84,329.86,3.53,404.26,230.43
135,4.81,339.86,3.58,417.82,230.64
150,4.85,339.28,3.58,417.17,230.57
165,4.75,338.21,3.46,416.8,230.29
180,4.84,337.29,3.58,416.26,230.29
195,4.91,336.07,3.61,415.54,230.31
210,4.93,337.12,3.64,416.42,230.48
225,4.9,333.63,3.66,412.18,230.09
240,4.93,336.18,3.66,416.24,230.1
255,4.96,335.23,3.7,415.07,230.11
270,4.81,335.02,3.5,414.78,230.06
285,5.06,336.21,3.83,415.7,230.23
