time_s,npv,P0,nqv,Q0,V0
0,0.0,10.88,0.0,34.11,230.09
15,0.0,32.44,0.0,23.94,230.08
30,0.0,55.85,0.0,73.24,230.11
45,0.0,18.7,0.0,23.99,230.17
60,0.0,18.52,0.0,23.62,230.25
75,0.0,69.45,0.0,88.61,230.11
90,0.0,81.93,0.0,100.89,230.22
105,0.0,80.85,0.0,100.03,230.11
120,0.0,93.86,0.0,101.84,230.04
135,0.0,11.85,0.0,33.91,229.9
150,0.0,49.86,0.0,70.03,229.96
165,0.0,91.64,0.0,110.29,229.97
180,0.0,100.97,0.0,120.98,230.32
195,0.0,98.07,0.0,115.82,230.26
210,0.0,95.97,0.0,115.47,229.9
225,0.0,95.14,0.0,114.44,230.13
240,0.0,97.6,0.0,117.13,230.26
255,0.0,99.29,0.0,117.29,230.14
270,0.0,100.57,0.0,119.49,230.09
285,0.0,98.78,0.0,116.32,230.05
300,0.0,95.42,0.0,113.37,230.1
315,1.85,2139.16,0.0,115.35,230.48
330,1.92,2126.17,0.0,116.3,230.43
345,1.99,2129.93,0.0,114.36,230.35
360,1.9,2121.0,0.0,119.2,230.1
375,2.06,2129.43,0.0,115.75,230.27
390,1.93,2119.03,0.0,114.98,230.42
405,1.96,2118.24,0.0,110.98,230.07
420,1.92,2113.92,0.0,115.05,230.08
435,1.93,2118.42,0.0,110.5,230.09
450,0.0,54.87,0.0,73.75,230.14
465,0.0,18.49,0.0,35.73,230.17
480,0.0,8.47,0.0,30.67,229.89
495,0.0,8.91,0.0,31.43,229.78
510,1.81,2089.8,0.0,82.46,230.22
525,1.81,2137.81,0.0,124.16,230.44
540,1.86,2141.78,0.0,137.72,230.42
555,0.0,99.87,0.0,118.95,229.99
570,0.0,98.18,0.0,118.05,230.06
585,0.0,101.7,0.0,120.74,230.0
600,0.0,101.24,0.0,120.53,229.94
615,0.0,98.36,0.0,116.81,230.09
630,0.0,99.31,0.0,117.41,230.34
645,0.0,100.41,0.0,119.13,230.25
660,0.0,99.22,0.0,118.97,230.05
675,0.0,99.14,0.0,117.38,230.01
690,0.0,98.51,0.0,117.01,230.32
705,0.0,85.36,0.0,103.52,230.33
720,0.0,81.78,0.0,100.97,230.26
735,0.0,87.76,0.0,105.91,230.38
750,0.0,81.03,0.0,98.76,230.3
765,0.0,81.66,0.0,100.06,230.07
780,0.0,82.44,0.0,100.73,230.15
795,0.0,81.23,0.0,99.85,230.34
810,0.0,84.56,0.0,104.09,230.07
825,0.0,81.73,0.0,100.38,230.04
840,0.0,81.84,0.0,99.43,230.37
855,0.0,77.97,0.0,97.61,230.28
870,0.0,80.05,0.0,99.65,229.97
885,0.0,70.22,0.0,88.23,230.16
900,0.0,34.4,0.0,53.42,230.37
915,0.0,9.56,0.0,31.61,230.13
930,0.0,8.96,0.0,31.43,229.97
945,0.0,10.35,0.0,32.41,230.04
960,0.0,74.91,0.0,93.19,230.28
975,0.0,116.5,0.0,133.66,230.37
990,0.0,100.33,0.0,118.74,230.37
1005,0.0,95.9,0.0,114.53,230.38
1020,0.0,95.93,0.0,114.64,230.37
1035,0.0,93.25,0.0,112.27,230.36
1050,0.0,94.7,0.0,114.52,230.35
1065,0.0,95.87,0.0,114.68,230.4
1080,0.0,95.17,0.0,113.52,230.46
1095,0.0,96.37,0.0,114.92,230.32
1110,0.0,96.78,0.0,115.01,230.39
1125,0.0,94.88,0.0,113.27,230.26
1140,0.0,91.8,0.0,111.24,230.12
1155,0.0,82.77,0.0,100.99,230.25
1170,0.0,81.29,0.0,99.03,230.29
1185,0.0,79.69,0.0,98.8,230.37
1200,0.0,78.57,0.0,97.57,230.21
