time_s,Kqv,Q0,V0
0,0,34.11,230.09
15,0,23.94,230.08
30,0,73.24,230.11
45,0,23.99,230.17
60,0,23.62,230.25
75,0,88.61,230.11
90,0,100.89,230.22
105,0,100.03,230.11
120,0,101.84,230.04
135,0,33.91,229.9
150,0,70.03,229.96
165,0,110.29,229.97
180,0,120.98,230.32
195,0,115.82,230.26
210,0,115.47,229.9
225,0,114.44,230.13
240,0,117.13,230.26
255,0,117.29,230.14
270,0,119.49,230.09
285,0,116.32,230.05
300,0,113.37,230.1
315,0,115.35,230.48
330,0,116.3,230.43
345,0,114.36,230.35
360,0,119.2,230.1
375,0,115.75,230.27
390,0,114.98,230.42
405,0,110.98,230.07
420,0,115.05,230.08
435,0,110.5,230.09
450,0,73.75,230.14
465,0,35.73,230.17
480,0,30.67,229.89
495,0,31.43,229.78
510,0,82.46,230.22
525,0,124.16,230.44
540,0,137.72,230.42
555,0,118.95,229.99
570,0,118.05,230.06
585,0,120.74,230
600,0,120.53,229.94
615,0,116.81,230.09
630,0,117.41,230.34
645,0,119.13,230.25
660,0,118.97,230.05
675,0,117.38,230.01
690,0,117.01,230.32
705,0,103.52,230.33
720,0,100.97,230.26
735,0,105.91,230.38
750,0,98.76,230.3
765,0,100.06,230.07
780,0,100.73,230.15
795,0,99.85,230.34
810,0,104.09,230.07
825,0,100.38,230.04
840,0,99.43,230.37
855,0,97.61,230.28
870,0,99.65,229.97
885,0,88.23,230.16
900,0,53.42,230.37
915,0,31.61,230.13
930,0,31.43,229.97
945,0,32.41,230.04
960,0,93.19,230.28
975,0,133.66,230.37
990,0,118.74,230.37
1005,0,114.53,230.38
1020,0,114.64,230.37
1035,0,112.27,230.36
1050,0,114.52,230.35
1065,0,114.68,230.4
1080,0,113.52,230.46
1095,0,114.92,230.32
1110,0,115.01,230.39
1125,0,113.27,230.26
1140,0,111.24,230.12
1155,0,100.99,230.25
1170,0,99.03,230.29
1185,0,98.8,230.37
1200,0,97.57,230.21
1215,0,97.9,230.01
1230,0,101.58,229.98
1245,0,98.06,230
1260,0,97.36,230
1275,0,96.15,230
1290,0,98.69,229.98
1305,0,101.88,230
1320,0,100.92,229.94
1335,0,80.23,230.21
1350,0,46.34,230.32
1365,0,30.83,230.48
1380,0,31,230.48
1395,0,47.25,230.34
1410,0,103.46,230.33
1425,0,140.26,230.39
1440,0,114.65,230.23
1455,0,113.62,230.15
1470,0,114.67,230.16
1485,0,115.8,230.28
1500,0,114.26,230.3
1515,0,113.48,230.15
1530,0,110.79,229.98
1545,0,112.14,229.95
1560,0,113.81,230.03
1575,0,112.3,230.09
1590,0,107.41,230.34
1605,0,95.38,230.39
1620,0,98.95,230.14
1635,0,100.27,229.78
1650,0,97.09,229.92
1665,0,98.21,229.92
1680,0,98.9,230.13
1695,0,103.43,230.07
1710,0,101.18,229.93
1725,0,99.69,229.99
1740,0,97.56,230.14
1755,0,100.15,230.32
1770,0,95.35,230.13
1785,0,69.44,229.92
1800,0,39.29,229.81
1815,0,19.38,229.95
1830,0,19.91,230.07
1845,0,19.86,230.12
1860,0,19.43,229.96
1875,0,18.93,229.77
1890,0,19.58,230.04
1905,0,19.56,230.13
1920,0,20.19,230.11
1935,0,19.45,230.25
1950,0,19.77,230.33
1965,0,92.97,230.3
1980,0,63.59,230.29
1995,0,72.42,230.08
2010,0,108.44,230.02
2025,0,97.26,230.05
2040,0,84.46,230.15
2055,0,30.82,230.27
2070,0,31.03,230.33
2085,0,19.94,230.25
2100,0,19.61,230.06
2115,0,90.31,230.31
2130,0,89.42,230.45
2145,0,104.98,230.47
2160,0,76.64,230.23
2175,NaN,491.63,230.16
2190,1.76,664.31,230.08
2205,1.53,651.95,230.23
2220,1.61,626.41,230.28
2235,1.24,554.33,230.35
2250,0.93,446.46,230.35
2265,0.51,261.47,230.36
2280,0.22,236.83,230.15
2295,0.34,235.4,230.01
2310,0.43,235.62,229.99
2325,0,20.73,230.33
2340,0,20.55,230.18
2355,0,19.99,229.97
2370,0,50.4,229.99
2385,0,58.4,230.34
2400,0,85.02,230.48
2415,0,111.47,230.27
2430,0,121.04,230.09
2445,0,122.34,230.24
2460,0,117.26,230.47
2475,0,120.66,230.16
2490,0,124.18,230.24
2505,0,122.5,230.28
2520,0,123.79,230.4
2535,0,122.93,230.34
2550,0,119.42,230.33
2565,0,120.9,230.31
2580,0,128.85,230.33
2595,0,122.1,230.21
2610,0,118.31,229.96
2625,0,118.38,230.15
2640,0,77.05,230.29
2655,0,31.09,230.09
2670,0,31.52,230.02
2685,0,30.77,230.51
2700,0,31.89,230.12
2715,0,31.26,230.38
2730,0,30.93,230.4
2745,0,75.71,230.2
2760,0,126.57,230.08
2775,0,73.43,230.34
2790,0,27.26,230.41
2805,0,31.43,230
2820,0,98.47,230.09
2835,0,74.33,230.35
2850,0,101.19,230.18
2865,0,97.42,230.05
2880,0,76.47,230.39
2895,0,90.26,229.99
2910,0,94.71,230.34
2925,0,20.43,230.26
2940,0,65.96,230.1
2955,0,62.9,230.41
2970,0,202.63,230.45
2985,0,241.16,230.11
3000,0.37,227.33,230.16
3015,0.46,222.8,230.35
3030,0.31,221.7,230.29
3045,0.45,223.01,230.33
3060,0,20.6,230.34
3075,0,20.58,230.24
3090,0,20.31,229.94
3105,0,47.18,230.32
3120,0,47.73,230.07
3135,0,77.47,230.23
3150,0,101.63,230.49
3165,0,108.56,230.38
3180,0,130.37,230.26
3195,0,142.81,230.08
3210,0,132.63,230.34
3225,0,134.03,230.33
3240,0,129.98,230.29
3255,0,132.65,230.09
3270,0,125.83,230.07
3285,0,134.93,230.19
3300,0,88.34,230.01
3315,0,32.05,229.93
3330,0,31.64,230.07
3345,0,31.04,230.27
3360,0,30.95,230.23
3375,0,31.59,229.93
3390,0,31.5,230.21
3405,0,31.17,230.44
3420,0,30.87,230.34
3435,0,31.86,230.11
3450,0,52.16,230.16
3465,0,140.77,230.34
3480,0,122.33,230.41
3495,0,71.73,230.32
3510,0,94.04,230.11
3525,0,19.91,229.96
3540,0,31.41,229.94
3555,0,101.76,230.18
3570,0,20.64,230.29
3585,0,20.81,230.28
3600,0,31.44,229.98
3615,0,88.07,229.99
3630,0,99.01,229.97
3645,0,76.35,230.16
3660,0,96.52,230.23
3675,0,90.94,230.15
3690,0,81.89,230.21
3705,0,84.98,230.11
3720,0,101.81,230.12
3735,0,102.01,230.16
3750,0,19.93,230.07
3765,0,71.47,230.13
3780,0,100.43,230.07
3795,NaN,408.42,230.18
3810,NaN,412.92,230.31
3825,0.35,243.1,230.17
3840,0.43,238.43,230.29
3855,0.36,236.83,230.34
3870,0.41,237.7,230.35
3885,0.28,236.35,230.33
3900,0.46,234.76,230.09
3915,0.32,232.43,230.1
3930,0.43,232.92,230.09
3945,0.52,232.5,230.17
3960,0.29,232.94,230.22
3975,0.5,231.23,230.12
3990,0.51,229.08,230.11
4005,0.27,231.47,230.01
4020,0.49,230.61,230.08
4035,0.47,231.43,230.35
4050,0.51,229.44,230.31
4065,0,20.36,230.14
4080,0,20.5,229.97
4095,0,32.03,229.97
4110,0,40.23,230.1
4125,0,51.13,230.07
4140,0,31.79,230.11
4155,0,31.74,230.12
4170,0,44.16,230.22
4185,0,30.91,230.38
4200,0,30.4,230.29
4215,0,48,230.18
4230,0,75.07,230.16
4245,0,30.78,230.22
4260,0,31.25,230.1
4275,0,51.07,230
4290,0,75.55,230.01
4305,0,31.64,230.02
