time_s,npv,P0,nqv,Q0,V0
0,1.98,1875.06,1.99,133.57,230.35
15,1.98,1871.74,1.99,133.5,230.18
30,1.98,1871.76,1.99,133.44,230.22
45,1.98,1871.29,2.0,133.43,230.21
60,1.99,1870.4,2.0,133.43,230.18
75,1.98,1870.82,1.99,133.68,230.21
90,1.98,1871.18,1.99,133.81,230.24
105,1.98,1871.93,2.0,133.49,230.32
120,1.98,1872.5,2.0,133.62,230.36
135,1.98,1875.83,1.99,134.34,230.58
150,1.99,1878.55,1.99,134.63,230.77
165,1.99,1876.51,2.0,134.0,230.66
180,1.99,1872.06,1.99,133.49,230.36
195,1.98,1874.43,1.99,134.35,230.48
210,1.99,1876.06,1.99,134.47,230.61
225,1.98,1874.4,1.99,134.03,230.52
240,1.98,1872.25,2.0,133.62,230.37
255,1.98,1869.96,1.99,133.34,230.21
